Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,4,Into the Unknown,Idina Menzel & Aurora,3,3691796,119.8%,https://www.youtube.com/watch?v=gIOyB9ZXn8s
2,1,Где же ты?,Anna Buturlina & Elizaveta Paschenko,2,3661840,-13.8%,https://www.youtube.com/watch?v=nrZxwPwmgrw
3,3,블루밍 (Blueming),IU,3,3439291,54%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
4,2,HIP,MAMAMOO,3,3152111,6.1%,https://www.youtube.com/watch?v=KhTeiaCezwM
5,,FEVER (feat. 수퍼수 & BIBI),J.Y. Park ,1,3129545,,https://www.youtube.com/watch?v=IePbjLAUvf0
6,13,Obsession,EXO,2,1680428,89%,https://www.youtube.com/watch?v=uxmP4b2a0uY
7,5,Into the Unknown,Panic! At The Disco,3,1324389,-8.4%,https://www.youtube.com/watch?v=jp-CVYGEsjg
8,7,All Is Found,Evan Rachel Wood,2,1134241,1.1%,https://www.youtube.com/watch?v=a1HL26K1nL0
9,10,Into the Unknown,Panic! At The Disco,3,997802,-1.6%,https://www.youtube.com/watch?v=jp-CVYGEsjg
10,6,LION,(G)I-DLE,6,947979,-28.5%,https://www.youtube.com/watch?v=6oanIo_2Z4Q
11,14,Feel Special,TWICE,11,888779,0.6%,https://www.youtube.com/watch?v=3ymwOvzhwHs
12,9,Love poem,IU,5,876215,-16.7%,https://www.youtube.com/watch?v=kcx0a2OAhN0
13,16,ICY,ITZY,19,742920,-10.1%,https://www.youtube.com/watch?v=zndvqTc4P9I
14,31,Memories,Maroon 5,9,664502,28.2%,https://www.youtube.com/watch?v=SlPhMPnQ58k
15,53,Some Things Never Change,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff & Cast of Frozen 2",2,649761,89.5%,https://www.youtube.com/watch?v=_a0PscfuhGo
16,15,Late Night(늦은 밤 너의 집 앞 골목길에서),Noel,4,647601,-22%,https://www.youtube.com/watch?v=kFhf7pjRRjA
17,12,시간의 바깥 (above the time),IU,3,614766,-32.6%,https://www.youtube.com/watch?v=R3Fwdnij49o
18,18,오늘도 빛나는 너에게 (To You My Light) (feat. Leeraon),Maktub,25,613539,-6.4%,https://www.youtube.com/watch?v=kNYA3H1jSSs
