Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Next Level,aespa,15,3884269,7.7%,https://www.youtube.com/watch?v=4TWR90KJl84
2,2,Queendom,Red Velvet,2,2944174,-8.3%,https://www.youtube.com/watch?v=c9RzZpV460k
3,3,DUMB DUMB,JEON SOMI,4,2514724,-19.9%,https://www.youtube.com/watch?v=tg2uF3R_Ozo
4,4,Permission to Dance,BTS,7,2190721,-8.2%,https://www.youtube.com/watch?v=CuklIb9d3fI
5,6,Weekend,TAEYEON,8,1654611,-8.4%,https://www.youtube.com/watch?v=RmuL-BPFi2Q
6,5,Butter,BTS,14,1653151,-12.6%,https://www.youtube.com/watch?v=WMweEpGlu_U
7,14,STAY,The Kid Laroi & Justin Bieber,7,1554155,38.6%,https://www.youtube.com/watch?v=kTJczUoc26U
8,7,낙하(NAKKA),AKMU & IU,5,1471492,-12.2%,https://www.youtube.com/watch?v=EtiPbWzUY9o
9,8,신호등,Lee Mujin,15,1420152,-4.8%,https://www.youtube.com/watch?v=9Ibf10h9U0c
10,10,OHAYO MY NIGHT,디핵 (D-Hack) & Pateko,12,1292312,-1.7%,https://www.youtube.com/watch?v=9Unrl9Yi55s
11,11,Dun Dun Dance,OH MY GIRL,16,1259613,-1.9%,https://www.youtube.com/watch?v=HzOjwL7IP_o
12,15,Celebrity,IU,31,1178952,12.5%,https://www.youtube.com/watch?v=0-q1KafFCLU
13,13,ASAP,STAYC,20,1114246,-1.8%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
14,12,Alcohol-Free,TWICE,12,1097887,-5.6%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
15,17,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,25,949247,-2.5%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
16,16,롤린 (Rollin'),Brave Girls,31,941312,-8.9%,https://www.youtube.com/watch?v=nw6mcjNlh8E
17,19,Black Mamba,aespa,41,903294,3.3%,https://www.youtube.com/watch?v=ZeerrnuLi5E
18,20,Bad Habits,Ed Sheeran,9,870162,1.8%,https://www.youtube.com/watch?v=orJSJGHjBLI
19,45,Pose,Red Velvet,2,839990,59.9%,https://www.youtube.com/watch?v=Xryh6KT9Cpg
20,32,LO$ER=LO♡ER,TOMORROW X TOGETHER,2,829021,19.9%,https://www.youtube.com/watch?v=JzODRUBBXpc
21,18,사이렌 (Siren) [Remix],Homies,32,820708,-7.9%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
22,21,LILAC,IU,23,803604,-5.2%,https://www.youtube.com/watch?v=v7bnOxV4jAc
23,26,좋아좋아 (I Like You),CHO JUNG SEOK,6,733541,-1.1%,https://www.youtube.com/watch?v=poiZpOXZXN8
24,27,HAPPEN (헤픈 우연),Heize,15,726021,-1.2%,https://www.youtube.com/watch?v=AJPLgrfBiBo
25,23,Lovesick Girls,BLACKPINK,47,719990,-11%,https://www.youtube.com/watch?v=dyRsYk0LyA8
26,28,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,23,709244,-3.4%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
27,33,비와 당신 (Rain and You),Lee Mujin,10,708737,8.5%,https://www.youtube.com/watch?v=sCmcSBsTxQc
28,25,Chi Mat Ba Ram,Brave Girls,10,627083,-15.7%,https://www.youtube.com/watch?v=e70PkoJhQYM
29,31,비가 오는 날엔,Heize,3,612598,-12.4%,https://www.youtube.com/watch?v=1ulChc11CJM
30,,소리꾼 (Thunderous),Stray Kids,1,595277,,https://www.youtube.com/watch?v=EaswWiwMVs8
31,22,Go Back (고백),10CM,3,585277,-29.3%,https://www.youtube.com/watch?v=X3PFu82F_S8
32,24,You can't sit with us,SUNMI,3,581093,-23.4%,https://www.youtube.com/watch?v=V0wInr_xATk
33,35,안녕 (Hello),JOY,13,573409,-9.6%,https://www.youtube.com/watch?v=lNvBbh5jDcA
34,40,다정히 내 이름을 부르면 (If you lovingly call my name),GyeongseoYeji & Gunho Jeon,10,572147,2.2%,https://www.youtube.com/watch?v=z127C11tKsg
35,38,WE GO,fromis_9,14,551991,-4.2%,https://www.youtube.com/watch?v=HM6UpQZvbhY
36,36,In the morning,ITZY,17,544030,-10.1%,https://www.youtube.com/watch?v=_ysomCGaZLw
37,34,Rumors (feat. Cardi B),Lizzo,2,526410,-17.6%,https://www.youtube.com/watch?v=4P9XUrniiK4
38,,자나깨나 (Feat. 조이 of Red Velvet) (feat. JOY),Crush,8,512288,,https://www.youtube.com/watch?v=29ycT6fA-Rs
39,42,Panorama,IZ*ONE,38,504871,-5%,https://www.youtube.com/watch?v=G8GaQdW2wHc
40,43,상상더하기,LABOUM,28,487737,-8.2%,https://www.youtube.com/watch?v=bkGRmSF0rKE
41,41,Ah puh,IU,22,484848,-12.1%,https://www.youtube.com/watch?v=7n9D8ZeOQv0
42,37,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5,471821,-18.9%,https://www.youtube.com/watch?v=UTHLKHL_whs
43,44,Foolish Love,MSG WANNABE,9,466196,-11.5%,https://www.youtube.com/watch?v=-UMAz1KMHuI
44,48,We Ride (운전만해),Brave Girls,24,465364,-5.1%,https://www.youtube.com/watch?v=4HjcypoChfQ
45,51,Burn The House Down,AJR,26,445210,3.1%,https://www.youtube.com/watch?v=UnyLfqpyi94
46,46,Go Back,Jang Beom June,6,436076,-13.9%,https://www.youtube.com/watch?v=RFMmK9E-cbc
47,49,멜로디,ASH ISLAND,26,433836,-3.2%,https://www.youtube.com/watch?v=NB8LX6A5BBM
48,,붉은 입술,Na Hoon-a,1,416423,,https://www.youtube.com/watch?v=PDqQqqRUrUA
49,50,Superstar,Mido and Falasol,5,413583,-7.1%,https://www.youtube.com/watch?v=URRimPZBHf8
50,29,THRILL RIDE,THE BOYZ,3,386017,-47.3%,https://www.youtube.com/watch?v=XMs2CIiqRDI
51,57,Kiss Me More (feat. SZA),Doja Cat,20,358306,-2.6%,https://www.youtube.com/watch?v=0EVVKs6DQLo
52,62,서울의 잠 못 이루는 밤 (feat. LEE SUHYUN),10CM,15,355709,2.2%,https://www.youtube.com/watch?v=_HFRhzwJjd8
53,59,Off My Face,Justin Bieber,18,351826,-2.7%,https://www.youtube.com/watch?v=AeZxDcjXbzE
54,71,In front of the Post Office in Autumn,Kim Dae-myung,9,350278,11.4%,https://www.youtube.com/watch?v=F5jrt858gYM
55,56,창귀,AHN YE EUN,4,346565,-7.9%,https://www.youtube.com/watch?v=Tc_CUhloyFs
56,47,"전쟁터 (Hey kid, Close your eyes) (feat. Lee Sun-hee)",AKMU,6,343087,-30.7%,https://www.youtube.com/watch?v=gMXXVS6Hil4
57,53,PTT (Paint The Town),Loona,9,342009,-12.9%,https://www.youtube.com/watch?v=_EEo-iE5u_A
58,55,Tiny Riot,Sam Ryder,5,319703,-15.4%,https://www.youtube.com/watch?v=KgSHOOKrZIg
59,66,Celebration,BewhY,4,319664,-4.3%,https://www.youtube.com/watch?v=9fqFprUfMHY
60,30,둘 중에 골라,Hyolyn & Dasom ,3,317797,-54.8%,https://www.youtube.com/watch?v=nBxnh010LU8
61,,Despacito (Sam Tsui & Alyson Stoner) (feat. Daddy Yankee),Luis Fonsi,35,316605,,https://www.youtube.com/watch?v=kJQP7kiw5Fk
62,,SPICY,CL,1,313906,,https://www.youtube.com/watch?v=QMwJtMJLXE0
63,,Reminiscence,Jung Kyung-ho,1,311977,,https://www.youtube.com/watch?v=5DU5lJd6mVI
64,76,오르골,NCT DREAM,2,308780,6.3%,https://www.youtube.com/watch?v=S8tM-emmsuc
65,,눈누난나 (NUNU NANA),Jessi,26,296153,,https://www.youtube.com/watch?v=tJQaUW36pMw
66,82,도망가자 (Run With Me),sunwoojunga,9,291736,6%,https://www.youtube.com/watch?v=0q6DR6EiPPo
67,,사진을 보다가,Davichi,1,287301,,https://www.youtube.com/watch?v=Ri7Y9NZPZ8g
68,68,Hello Future,NCT DREAM,9,287121,-12%,https://www.youtube.com/watch?v=QPUjV7epJqE
69,39,DNA (Remix),"Jay Park, YLN Foreign, D.Ark, 365LIT, pH-1, lIlBOI, Lee Young Ji, Ourealgoat, Choo & OSun",2,285493,-49.2%,https://www.youtube.com/watch?v=sP6y8aTE5NI
70,64,Is It Still Beautiful,SEVENTEEN,2,283979,-17%,https://www.youtube.com/watch?v=0buFXZatPiE
71,74,For you who’s like my galaxy (feat. Molly.D),GyeongseoYeji,5,279968,-4.1%,https://www.youtube.com/watch?v=rQDiyAc_Mz8
72,83,as you wish (추적이는 여름 비가 되어),Jang Beom June,11,279471,4.1%,https://www.youtube.com/watch?v=kL9_pN8MqdM
73,65,Already One Year (Drama Ver.),Mido and Falasol,3,275103,-18.5%,https://www.youtube.com/watch?v=PHhvGsaxia8
74,84,하루만 더,Big Mama,9,274077,2.1%,https://www.youtube.com/watch?v=6TO3bwChwao
