Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,In the morning,ITZY,1,7022889,,https://www.youtube.com/watch?v=_ysomCGaZLw
2,3,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,7,2524355,-7.4%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
3,6,ASAP,STAYC,4,2405330,15.7%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
4,2,롤린 (Rollin'),Brave Girls,15,2362612,-15.4%,https://www.youtube.com/watch?v=nw6mcjNlh8E
5,4,LILAC,IU,7,2057200,-13.9%,https://www.youtube.com/watch?v=v7bnOxV4jAc
6,9,사이렌 (Siren) [Remix],Homies,16,1860895,12.2%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
7,5,We Ride (운전만해),Brave Girls,9,1775669,-24.8%,https://www.youtube.com/watch?v=4HjcypoChfQ
8,1,내사람 (Partner for Life) (feat. Oak Joo Hyun),SG Wannabe,3,1738338,-40.5%,https://www.youtube.com/watch?v=7lT1Wt41gDs
9,7,Dynamite,BTS,37,1692564,-17.9%,https://www.youtube.com/watch?v=gdZLi9oWNZg
10,8,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,9,1589328,-5.9%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
11,11,Celebrity,IU,15,1275586,-3.4%,https://www.youtube.com/watch?v=0-q1KafFCLU
12,12,Coin,IU,6,1049206,-2.8%,https://www.youtube.com/watch?v=86BST8NIpNM
13,13,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,9,995923,-6.7%,https://www.youtube.com/watch?v=5_Esp-dXcOA
14,14,멜로디,ASH ISLAND,10,934659,1%,https://www.youtube.com/watch?v=NB8LX6A5BBM
15,17,Panorama,IZ*ONE,22,852385,3.6%,https://www.youtube.com/watch?v=G8GaQdW2wHc
16,16,Lovesick Girls,BLACKPINK,31,848839,1%,https://www.youtube.com/watch?v=dyRsYk0LyA8
17,15,Timeless,SG Wannabe,3,833509,-2.2%,https://www.youtube.com/watch?v=0pLa8NyS4Es
18,10,살다가 (Live),SG Wannabe,3,817545,-43.7%,https://www.youtube.com/watch?v=OEx1wcYIpwM
19,18,On The Ground,ROSÉ,8,759816,-4.8%,https://www.youtube.com/watch?v=CKZvWhCqx1s
20,19,Ah puh,IU,6,741747,-0.5%,https://www.youtube.com/watch?v=7n9D8ZeOQv0
21,20,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",9,690066,-3.6%,https://www.youtube.com/watch?v=adLGHcj_fmA
22,,NOT THE END (불어온다),Highlight,1,628523,,https://www.youtube.com/watch?v=5Kdl9uOmj34
23,26,How You Like That,Sup I'm Bianca,45,585157,8.5%,https://www.youtube.com/watch?v=ioNng23DkIM
24,55,Off My Face,Justin Bieber,2,558332,60.7%,https://www.youtube.com/watch?v=AeZxDcjXbzE
25,25,Why Not?,Loona,11,555787,1.1%,https://www.youtube.com/watch?v=b6li05zh3Kg
26,28,Black Mamba,aespa,25,549967,2.7%,https://www.youtube.com/watch?v=ZeerrnuLi5E
27,23,My sea (아이와 나의 바다),IU,6,533107,-6%,https://www.youtube.com/watch?v=TqIAndOnd74
28,24,라라라,SG Wannabe,4,519239,-6.8%,https://www.youtube.com/watch?v=hPoRgIzXm5o
29,31,Ashes,Stellar,15,500863,0%,https://www.youtube.com/watch?v=1NnT8RjQHg8
30,36,Burn The House Down,AJR,14,485001,1.5%,https://www.youtube.com/watch?v=UnyLfqpyi94
31,35,SO BAD,STAYC,23,484907,1%,https://www.youtube.com/watch?v=gMe1c4UegBY
32,,BAD SAD AND MAD,BIBI,1,483449,,https://www.youtube.com/watch?v=q36iGiqoCXM
33,38,I CAN'T STOP ME,TWICE,28,463446,2.7%,https://www.youtube.com/watch?v=CM4CkVFmTds
34,30,Kiss Me More (feat. SZA),Doja Cat,4,454662,-9.9%,https://www.youtube.com/watch?v=0EVVKs6DQLo
