Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,3,Dance The Night Away,TWICE,2,4905681,69.9%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
2,1,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,6,4015863,-25.2%,https://www.youtube.com/watch?v=IHNzOHi8sJs
3,2,BAAM,MOMOLAND,5,2431974,-18.3%,https://www.youtube.com/watch?v=txWmd7QKFe8
4,5,1도 없어(I'm so sick),Apink,5,1517109,-24.5%,https://www.youtube.com/watch?v=gQmw-Pmv5DQ
5,6,Travel(여행),BOL4,10,1512293,-19.4%,https://www.youtube.com/watch?v=xRbPAVnqtcs
6,33,Egotistic(너나 해),MAMAMOO,3,1246015,182%,https://www.youtube.com/watch?v=pHtxTSiPh5I
7,8,FAKE LOVE,BTS,9,1220440,-13.6%,https://www.youtube.com/watch?v=cibTjNJkaMk
8,10,LOVE SCENARIO,iKON,28,1160313,2.7%,https://www.youtube.com/watch?v=vecSVX1QYbQ
9,15,Love U,CHUNG HA,3,1020074,5.5%,https://www.youtube.com/watch?v=mtLgabce8KQ
10,9,Sunny Summer(여름여름해),GFRIEND  ,2,993934,-18.3%,https://www.youtube.com/watch?v=9iPLjmz3_U4
11,14,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,19,993297,0.2%,https://www.youtube.com/watch?v=1q_t6RNuH8c
12,7,"셋 셀테니 (1, 2, 3!)",SEUNGRI,2,973471,-35.5%,https://www.youtube.com/watch?v=Q7sHwg2Z21U
13,17,What is Love?,TWICE,17,953338,0.7%,https://www.youtube.com/watch?v=i0p1bmr0EmE
14,18,BBoom BBoom(뿜뿜),MOMOLAND,30,929165,0.6%,https://www.youtube.com/watch?v=JQGRg8XBnB4
15,11,지나오다,Nilo,18,882900,-17.2%,https://www.youtube.com/watch?v=
16,22,lie (미안해),Yang Da Il,20,855212,-1.1%,https://www.youtube.com/watch?v=1icPJAhI2TA
17,19,Tale(동화),MeloMance,4,843798,-6.7%,https://www.youtube.com/watch?v=FoYyqHqbnxc
18,12,LATATA,(G)I-DLE,6,829588,-20.8%,https://www.youtube.com/watch?v=9mQk7Evt6Vs
19,21,밤 (Time for the moon night),GFRIEND  ,14,743657,-14.4%,https://www.youtube.com/watch?v=_XyBa8QsVQU
20,16,너 없인 안 된다 (Only one for me),BTOB,5,735603,-22.3%,https://www.youtube.com/watch?v=fHQkdIGue3k
21,26,RETRO FUTURE,Triple H,2,682872,16.3%,https://www.youtube.com/watch?v=oT8eXpXymmA
22,20,Bingle Bangle(빙글뱅글),AOA,10,664186,-23.6%,https://www.youtube.com/watch?v=ntWSnDV0MYs
23,81,WHERE R U FROM (feat.MINO),SEUNGRI,2,622909,249.9%,https://www.youtube.com/watch?v=m2MtOeuCgh8
24,,Cereal (feat. ZICO),Crush,1,608279,,https://www.youtube.com/watch?v=106613NbPQ0
25,24,Shine(빛나리),PENTAGON,16,540829,-17.3%,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
26,27,넋두리,--,18,526745,-7.9%,https://www.youtube.com/watch?v=C2Joup07VbA
27,28,DNA,BTS,45,526654,-6.8%,https://www.youtube.com/watch?v=MBdVXkSdhwU
28,29,Miss Fortune(불행) (feat. VINXEN),OVAN,7,525279,-4.3%,https://www.youtube.com/watch?v=iD19FVcVBY4
29,37,Roller Coaster,CHUNG HA,29,476516,15.6%,https://www.youtube.com/watch?v=900X9fDFLc4
30,23,Oh My! (어쩌나 ),SEVENTEEN,3,475982,-29.9%,https://www.youtube.com/watch?v=_5PELxP8Udg
31,30,Bad Boy,Red Velvet,28,466302,-12.4%,https://www.youtube.com/watch?v=J_CFBjAyPWE
32,32,My Way,ISU,36,431562,-13.2%,https://www.youtube.com/watch?v=lXi8y3g4PP4
33,34,Heart Shaker,TWICE,35,428993,-0.1%,https://www.youtube.com/watch?v=rRzxEiBLQCA
34,35,Work Out,"Jvcki Wai, Kid Milli, NO:EL  , YANGHONGWON & Swings",5,426765,0.8%,https://www.youtube.com/watch?v=eeT87k7shpA
35,41,Likey,TWICE,40,380139,-2.5%,https://www.youtube.com/watch?v=V2hlQkVJZhE
36,36,가을 안부 (When Autumn Comes),Monday Kiz,33,379097,-8.7%,https://www.youtube.com/watch?v=rGVRvhm7ddk
37,39,그때 헤어지면 돼 (Only then),Roy Kim,21,373377,-7.4%,https://www.youtube.com/watch?v=SkN_hWI6n28
38,31,Starry Night(별이 빛나는 밤),MAMAMOO,22,363319,-29.6%,https://www.youtube.com/watch?v=LjUXm0Zy_dk
39,40,사랑했었다 (Still love you),Lee Hong Gi & --,10,357508,-9.9%,https://www.youtube.com/watch?v=oXCXlPJ57rE
40,47,그날처럼 (Good old days),Jang Deok Cheol,30,353676,1.3%,https://www.youtube.com/watch?v=v6_GwXU1lkg
41,56,폰서트,10CM,19,341661,11.7%,https://www.youtube.com/watch?v=mOo8bVzN9M8
42,58,Girls Like You (feat. Cardi B),Maroon 5,9,338139,17.8%,https://www.youtube.com/watch?v=aJOTlE1K90k
43,42,You,MeloMance,20,334715,-12.4%,https://www.youtube.com/watch?v=jG2YdnrYFdo
44,43,붕붕 (feat. Sik-K),HAON,16,331015,-10.5%,https://www.youtube.com/watch?v=cDq1vUwM21k
45,49,Havana (feat. Young Thug),Camila Cabello,40,323837,-5.1%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
46,38,SEE SEA(바다보러갈래),Hyolyn,2,320457,-21.9%,https://www.youtube.com/watch?v=PDAqx45Duqw
47,51,Believer,Imagine Dragons,12,320168,-4.4%,https://www.youtube.com/watch?v=7wtfhZwyrcc
48,46,피카부 (Peek-A-Boo),Red Velvet,33,317516,-10%,https://www.youtube.com/watch?v=6uJf2IT2Zh8
49,,HandClap,Fitz and The Tantrums,26,313207,,https://www.youtube.com/watch?v=Y2V6yjjPbX0
50,44,Anpanman,BTS,4,308625,-13.3%,https://www.youtube.com/watch?v=EBf6lwkChnQ
51,,"No Brainer (feat. Justin Bieber, Chance The Rapper & Quavo)",DJ Khaled,1,301414,,https://www.youtube.com/watch?v=kxloC1MKTpg
52,48,Lateness(지각),Jang Deok Cheol,4,299091,-12.6%,https://www.youtube.com/watch?v=zEVuAH8AUwY
53,52,그 날 (The Day),Park Hyo Shin,4,296778,-10.4%,https://www.youtube.com/watch?v=zwvUnK-agb4
54,65,비 (Rain),Paul Kim,6,291305,17.6%,https://www.youtube.com/watch?v=9jFZdu0zTEA
55,,소리,LEE SUHYUN,1,276567,,https://www.youtube.com/watch?v=WczI5vaARzg
56,53,Thinking Of (feat. OVAN & SUMIN),SHAUN,3,272270,-17.7%,https://www.youtube.com/watch?v=yuWDZIeS840
57,55,켜줘 (Light),Wanna One,9,260849,-18.1%,https://www.youtube.com/watch?v=J1L3nDC4mEk
58,68,Just Friends(욕심),MeloMance,14,254354,7.3%,https://www.youtube.com/watch?v=2N1Y9RxAsxg
59,61,보릿고개,Jin Sung,3,245784,-6.6%,https://www.youtube.com/watch?v=whSAYFi9KLs
60,78,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & --",6,240135,25.3%,https://www.youtube.com/watch?v=jd2DxTR0znU
61,63,홍연,AHN YE EUN,8,230403,-9%,https://www.youtube.com/watch?v=B61nm9OHt5A
62,66,호랑수월가 (feat. 나래),상록수,14,226064,-7.1%,https://www.youtube.com/watch?v=E73zqwpw0is
63,71,Chandelier,Sia,12,208082,-8.7%,https://www.youtube.com/watch?v=2vjPBrBU-TM
64,69,Hello,Huh Gak,6,207227,-12.3%,https://www.youtube.com/watch?v=yY7dRwJnJZ0
65,62,#Cookie Jar,Red Velvet,6,203349,-20.2%,https://www.youtube.com/watch?v=rRgTMs_bGuI
66,70,"Love, ing (열애중)",BEN,8,190657,-19.1%,https://www.youtube.com/watch?v=WBahioCWfFQ
67,,Natural,Imagine Dragons,1,190647,,https://www.youtube.com/watch?v=0I647GU3Jsc
68,,In My Feelings - 'KIKI! DO YOU LOVE ME!' [LOOP],Drake,1,181035,,https://www.youtube.com/watch?v=DRS_PpOrUZ4
69,97,Jasmine,DPR LIVE,3,180526,17.9%,https://www.youtube.com/watch?v=Jg9NbDizoPM
70,,Signal,f(x),1,175256,,https://www.youtube.com/watch?v=ruu50R3y9Zg
71,83,party (SHUT DOWN),Sik-K,2,174647,1.2%,https://www.youtube.com/watch?v=1_BTuzaRHYU
72,73,"다시, 우리",GB9,10,172519,-17.6%,https://www.youtube.com/watch?v=3h2GGnCX4Us
73,72,God is a woman,Ariana Grande,3,172134,-24.3%,https://www.youtube.com/watch?v=kHLHSlExFis
74,77,Faded,Alan Walker,17,170657,-12.6%,https://www.youtube.com/watch?v=60ItHLz5WEA
75,74,EVERYDAY,WINNER,18,170218,-14.9%,https://www.youtube.com/watch?v=d1D1SJ-KqaQ
76,82,Stay,Zedd & Alessia Cara,8,164665,-5.5%,https://www.youtube.com/watch?v=h--P8HzYZ74
77,59,Dance To This (feat. Ariana Grande),Troye Sivan,2,163473,-40.5%,https://www.youtube.com/watch?v=MrMAfMbZOmg
78,76,Way Back Home (feat. Conor Maynard),SHAUN,3,162459,-16.9%,https://www.youtube.com/watch?v=NyTH_U88bK0
79,,2002,Anne-Marie,2,162413,,https://www.youtube.com/watch?v=Il-an3K9pjg
80,45,Down,Jessi,4,155908,-56.1%,https://www.youtube.com/watch?v=ptCYIPQHoGA
81,89,BOOMERANG (부메랑),Wanna One,20,153754,-7.1%,https://www.youtube.com/watch?v=pmMjkMtpnTc
82,,죽겠다(KILLING ME),iKON,1,150516,,https://www.youtube.com/watch?v=RyVS7R9PN6U
83,90,One Call Away,Charlie Puth,12,150064,-9%,https://www.youtube.com/watch?v=BxuY9FET9Y4
84,94,Only we know…(우리 둘만 아는),Yoon Gun,12,148783,-7.4%,https://www.youtube.com/watch?v=atBmuNBtCcQ
85,,Darkside (feat. Au/Ra & Tomine Harket),Alan Walker,1,146271,,https://www.youtube.com/watch?v=M-P4QBt-FWw
86,,Nocturnal,Shaun,1,145127,,https://www.youtube.com/watch?v=vph0w-GqB2E
87,88,바코드  (Bar Code),HAON & VINXEN,18,144225,-13.1%,https://www.youtube.com/watch?v=dDeewpPQOK0
88,,사랑은 봄비처럼...이별은 겨울비처럼...,Lim Hyun Jung,5,142459,,https://www.youtube.com/watch?v=xkruFx9q9cs
89,79,캥거루 (Kangaroo),Wanna One,9,141132,-23.5%,https://www.youtube.com/watch?v=8S0iH0DtfVM
90,,Attention,Charlie Puth,9,140709,,https://www.youtube.com/watch?v=nfs8NYg7yQM
91,96,Sick Enough to Die (feat. Mellow),MC Mong,5,140275,-9%,https://www.youtube.com/watch?v=uJUzAMEeYfM
92,,Days Without Tears,Kim Yuna,1,137616,,https://www.youtube.com/watch?v=MvXksn0WSo4
93,98,Side To Side (feat. Nicki Minaj),Ariana Grande,7,135857,-8.4%,https://www.youtube.com/watch?v=SXiSVQZLje8
94,95,네 멋대로 (Get It),PRISTIN V,10,135514,-12.7%,https://www.youtube.com/watch?v=4CTGxKIzD7M
95,,no tears left to cry,Ariana Grande,13,132033,,https://www.youtube.com/watch?v=ffxKSjUwKdU
96,,I'm a Mess,Bebe Rexha,3,131046,,https://www.youtube.com/watch?v=LdH7aFjDzjI
97,,Ride on the wind,KARD,1,129936,,https://www.youtube.com/watch?v=6AZ3BAydZqI
98,,Martini Blue,DPR LIVE,1,128789,,https://www.youtube.com/watch?v=czftJ7E7wa4
99,,Sorry Not Sorry,Demi Lovato,1,128629,,https://www.youtube.com/watch?v=-MsvER1dpjM
100,,한숨 (BREATHE),Lee Hi,15,128188,,https://www.youtube.com/watch?v=5iSlfF8TQ9k
