Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Boy With Luv (feat. Halsey),BTS,2,4977474,-56.1%,https://www.youtube.com/watch?v=XsX3ATc3FbA
2,,FANCY,TWICE,1,4648897,,https://www.youtube.com/watch?v=kOHB85vDuow
3,2,Kill This Love,BLACKPINK,3,4381821,-40%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
4,3,달라달라(DALLA DALLA),ITZY,11,1615834,-13.5%,https://www.youtube.com/watch?v=pNfTK39k55U
5,4,Violeta (비올레타),IZ*ONE,4,1424884,-19.9%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
6,6,Rooftop (옥탑방),N.Flying,11,1087086,-14.4%,https://www.youtube.com/watch?v=VpaUh_BGqE0
7,9,2002,Anne-Marie,20,1023476,7.2%,https://www.youtube.com/watch?v=Il-an3K9pjg
8,5,"Bom(나만, 봄)",BOL4,4,997564,-24.1%,https://www.youtube.com/watch?v=AsXxuIdpkWM
9,7,사계 (Four Seasons),TAEYEON,5,919924,-17.7%,https://www.youtube.com/watch?v=4HG_CJzyX6A
10,14,벌써 12시 (Gotta Go),CHUNG HA,17,728754,7.4%,https://www.youtube.com/watch?v=HlN2BXNJzxA
11,8,노래방에서,--,5,714974,-28.2%,https://www.youtube.com/watch?v=BUzI-awsi1s
12,17,YES or YES,TWICE,25,657779,10%,https://www.youtube.com/watch?v=mAKsZ26SabQ
13,11,고고베베 (gogobebe),MAMAMOO,7,626136,-26.1%,https://www.youtube.com/watch?v=-iYg2atmA9w
14,12,IDOL,BTS,35,572804,-24%,https://www.youtube.com/watch?v=pBuZEGYXA6E
15,15,I'm So Hot,MOMOLAND,6,555410,-9%,https://www.youtube.com/watch?v=tsN-MkpiZB0
16,77,HERE (feat. VINXEN),Young Kay,2,545687,194.1%,https://www.youtube.com/watch?v=lYRe0lfx1SE
17,30,bad guy,Billie Eilish,4,544935,53.8%,https://www.youtube.com/watch?v=DyDfgMOUjCI
18,25,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,6,535355,18.6%,https://www.youtube.com/watch?v=t8P-zdkoeJA
19,20,SOLO,Jennie,24,490966,-10.3%,https://www.youtube.com/watch?v=b73BI9eUkjM
20,13,FAKE LOVE,BTS,42,487726,-33.8%,https://www.youtube.com/watch?v=7C2z4GqqS5E
21,,Love is so...,Jang Yoon Jeong,1,470220,,https://www.youtube.com/watch?v=Fhh_X9Q0BZg
