Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,7,We All Lie,Ha Jin,7,3097748,185.5%,https://www.youtube.com/watch?v=PdDfuWJc9dA
2,2,벌써 12시 (Gotta Go),CHUNG HA,6,1706197,29.4%,https://www.youtube.com/watch?v=HlN2BXNJzxA
3,3,YES or YES,TWICE,14,1288008,-2.1%,https://www.youtube.com/watch?v=mAKsZ26SabQ
4,4,신용재 (SHIN YONG JAE),HAEUN,13,1131910,-4.3%,https://www.youtube.com/watch?v=Y0rK7r-30hs
5,5,SOLO,Jennie,13,1104952,-2.8%,https://www.youtube.com/watch?v=b73BI9eUkjM
6,29,이 노래가 클럽에서 나온다면 (Fire up),Woody,2,1049098,103.7%,https://www.youtube.com/watch?v=MBSpoTozBdg
7,8,7 rings,Ariana Grande,3,985333,3.4%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
8,10,IDOL,BTS,24,910128,2.6%,https://www.youtube.com/watch?v=pBuZEGYXA6E
9,1,아낙네 (FIANCÉ),MINO,11,900995,-41.8%,https://www.youtube.com/watch?v=NY8VGNft-Zc
10,9,La Vie en Rose,--,15,834116,-8.1%,https://www.youtube.com/watch?v=WZwr2a_lFWY
11,6,해야 (Sunrise),GFRIEND  ,4,730312,-33.9%,https://www.youtube.com/watch?v=iciFwCnsyY4
12,13,180º,BEN,9,692684,-9.9%,https://www.youtube.com/watch?v=rDG9I9nx0QU
13,31,FAKE LOVE,BTS,36,664580,44.5%,https://www.youtube.com/watch?v=7C2z4GqqS5E
14,16,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,28,659107,-6.6%,https://www.youtube.com/watch?v=IHNzOHi8sJs
15,14,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,8,648915,-12.7%,https://www.youtube.com/watch?v=0IaUogNqQqA
16,,나의 땅,BewhY,1,645557,,https://www.youtube.com/watch?v=tdW8o1JWjcI
17,11,MILLIONS,WINNER,8,644062,-21%,https://www.youtube.com/watch?v=PALjhRpnfbk
18,35,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,46,629135,45.6%,https://www.youtube.com/watch?v=1q_t6RNuH8c
19,20,Love Shot,EXO,8,572372,-10.1%,https://www.youtube.com/watch?v=pSudEWBAYRE
20,19,Me After You (너를 만나),--,15,569515,-11.5%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
21,28,How about you(너는 어땠을까),--,13,532120,2.1%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
22,21,행복 (Happiness),OVAN,9,526419,-9.8%,https://www.youtube.com/watch?v=qGh0jk-f6to
23,24,Learn to love (그대가 내 안에 박혔다),Hwang Chi-yeul,11,522685,-5.2%,https://www.youtube.com/watch?v=
24,23,DDING (띵),"Jvcki Wai, YANGHONGWON, Osshun Gum & Han Yo-han",4,518125,-8.9%,https://www.youtube.com/watch?v=ir7G_H0LFJw
25,60,No,CLC,2,500440,91.9%,https://www.youtube.com/watch?v=ZvhpjERxJlQ
26,30,내 생에 아름다운 (Beautiful Moment),K.Will,15,491560,-2.1%,https://www.youtube.com/watch?v=1D17PdpGQBY
27,26,Dance The Night Away,TWICE,30,489751,-8%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
28,25,Bad Boy,Red Velvet,10,471449,-13%,https://www.youtube.com/watch?v=J_CFBjAyPWE
29,15,%%(응응),Apink,5,466222,-36%,https://www.youtube.com/watch?v=499YUeNoYVE
30,18,Song request(신청곡) (feat. SUGA),--,3,464509,-31%,https://www.youtube.com/watch?v=ij0SQZcqnPU
31,27,The Way To Say Goodbye(이별하러 가는 길),--,21,459930,-13.1%,https://www.youtube.com/watch?v=42iMZrYDEM4
32,22,After You’ve Gone(넘쳐흘러),M.C The Max,6,459055,-20.2%,https://www.youtube.com/watch?v=g27XtqR7B0c
33,32,What is Love?,TWICE,44,458288,0.7%,https://www.youtube.com/watch?v=i0p1bmr0EmE
34,34,Meet him among them(그 중에 그대를 만나),Lee Sun-hee,23,434895,-0.1%,https://www.youtube.com/watch?v=xkKo2nD8RTE
35,38,지나오다,Nilo,45,430873,0.1%,https://www.youtube.com/watch?v=
36,17,Heu !,SUPERBEE,3,402151,-42.6%,https://www.youtube.com/watch?v=wBbbfDIkrSw
37,37,Tempo,EXO,14,399345,-7.5%,https://www.youtube.com/watch?v=iwd8N6K-sLk
38,39,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",33,398510,-4.4%,https://www.youtube.com/watch?v=RL1QmNKVJSE
39,58,초록빛,Paul Kim,2,391653,47.5%,https://www.youtube.com/watch?v=GPLBLZ4GK-0
40,97,Now or Never,SF9,4,391523,163.5%,https://www.youtube.com/watch?v=rQ8MFfg3DHA
41,45,BBIBBI(삐삐),IU,17,388637,3.4%,https://www.youtube.com/watch?v=nM0xDI5R50E
