Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Kill This Love,BLACKPINK,1,11721550,,https://www.youtube.com/watch?v=2S24-y0Ij3Y
2,1,Violeta (비올레타),IZ*ONE,2,2677847,6.6%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
3,2,달라달라(DALLA DALLA),ITZY,9,2543478,7.2%,https://www.youtube.com/watch?v=pNfTK39k55U
4,10,"Bom(나만, 봄)",BOL4,2,1732075,95.3%,https://www.youtube.com/watch?v=AsXxuIdpkWM
5,3,Rooftop (옥탑방),N.Flying,9,1518597,-12.6%,https://www.youtube.com/watch?v=VpaUh_BGqE0
6,5,사계 (Four Seasons),TAEYEON,3,1380512,11.1%,https://www.youtube.com/watch?v=4HG_CJzyX6A
7,,Don’t Know What to Do,BLACKPINK,1,1289155,,https://www.youtube.com/watch?v=
8,4,고고베베 (gogobebe),MAMAMOO,5,1134178,-22%,https://www.youtube.com/watch?v=-iYg2atmA9w
9,8,노래방에서,--,3,1030655,3.7%,https://www.youtube.com/watch?v=BUzI-awsi1s
10,12,2002,Anne-Marie,18,836380,5.9%,https://www.youtube.com/watch?v=Il-an3K9pjg
11,6,I'm So Hot,MOMOLAND,4,825271,-28.1%,https://www.youtube.com/watch?v=tsN-MkpiZB0
12,11,벌써 12시 (Gotta Go),CHUNG HA,15,769776,-5.5%,https://www.youtube.com/watch?v=HlN2BXNJzxA
13,9,Senorita,(G)I-DLE,7,750089,-19%,https://www.youtube.com/watch?v=2cevbhEqQF4
14,22,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,37,672706,45.8%,https://www.youtube.com/watch?v=IHNzOHi8sJs
15,15,YES or YES,TWICE,23,651571,4.2%,https://www.youtube.com/watch?v=mAKsZ26SabQ
16,37,Stars over me (별 보러 갈래?),BOL4,2,623378,115.9%,https://www.youtube.com/watch?v=8n9wklIG9qU
17,16,SOLO,Jennie,22,617767,7.3%,https://www.youtube.com/watch?v=b73BI9eUkjM
18,13,every moment with you (당신과는 천천히),Jang Beom June,3,594056,-20.1%,https://www.youtube.com/watch?v=yOZNN5xrK2o
19,18,IDOL,BTS,33,534120,2.9%,https://www.youtube.com/watch?v=pBuZEGYXA6E
20,17,TWIT (멍청이),Hwa Sa,9,528478,-7.7%,https://www.youtube.com/watch?v=ScSn235gQx0
21,7,Spring(봄) (feat. Sandara Park),박봄 (Park Bom),4,429190,-60.2%,https://www.youtube.com/watch?v=
22,20,La Vie en Rose,--,24,420128,-14.6%,https://www.youtube.com/watch?v=WZwr2a_lFWY
23,29,"여자친구(Girlfriend) (HAEUN, YOSEP)",HAEUN,5,410488,8.1%,https://www.youtube.com/watch?v=B2Zwi7gRA88
24,,FAKE LOVE,BTS,40,391096,,https://www.youtube.com/watch?v=7C2z4GqqS5E
25,26,신용재 (SHIN YONG JAE),HAEUN,22,376286,-5.8%,https://www.youtube.com/watch?v=Y0rK7r-30hs
26,19,Maybe It's Not Our Fault(그건 아마 우리의 잘못은 아닐 거야),Yerin Baek,4,364971,-28.5%,https://www.youtube.com/watch?v=IRNBtocmQ58
27,23,7 rings,Ariana Grande,12,363095,-16%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
28,24,Me After You (너를 만나),--,24,359996,-13.8%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
29,28,벚꽃 엔딩,Busker Busker,21,351526,-7.9%,https://www.youtube.com/watch?v=tXV7dfvSefo
30,21,CROWN (어느날 머리에서 뿔이 자랐다),TOMORROW X TOGETHER,6,343064,-29%,https://www.youtube.com/watch?v=W3iSnJ663II
31,33,bad guy,Billie Eilish,2,335141,-0.4%,https://www.youtube.com/watch?v=DyDfgMOUjCI
32,32,Meet him among them(그 중에 그대를 만나),Lee Sun-hee,31,326341,-4.7%,https://www.youtube.com/watch?v=xkKo2nD8RTE
33,,눈 Snow,Lil Tachi & Hotchkiss,1,318151,,https://www.youtube.com/watch?v=-ZZ90fD86ok
34,45,Travel(여행),BOL4,27,317457,19.8%,https://www.youtube.com/watch?v=xRbPAVnqtcs
35,27,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,4,297835,-23.4%,https://www.youtube.com/watch?v=t8P-zdkoeJA
36,36,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",42,292380,-4.1%,https://www.youtube.com/watch?v=RL1QmNKVJSE
37,31,How about you(너는 어땠을까),--,22,289864,-20.8%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
38,46,Girls Like You (feat. Cardi B),Maroon 5,36,282671,8.7%,https://www.youtube.com/watch?v=aJOTlE1K90k
39,47,DDING (띵),"Jvcki Wai, YANGHONGWON, Osshun Gum & Han Yo-han",13,281546,10%,https://www.youtube.com/watch?v=ir7G_H0LFJw
40,40,IMJMWDP,IMJMWDP,7,277431,-0.1%,https://www.youtube.com/watch?v=uwy5hGT6i7Q
41,25,Dance The Night Away,TWICE,2,276903,-31.2%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
42,39,BAAM,MOMOLAND,37,268798,-3.5%,https://www.youtube.com/watch?v=txWmd7QKFe8
43,,Sugar,Maroon 5,26,259858,,https://www.youtube.com/watch?v=09R8_2nJtjg
44,60,Love Shot,EXO,17,257953,19.9%,https://www.youtube.com/watch?v=pSudEWBAYRE
45,35,SHE'S FINE,Heize,4,256037,-20.9%,https://www.youtube.com/watch?v=EREAScyThOM
46,,Believer,Imagine Dragons,24,255258,,https://www.youtube.com/watch?v=7wtfhZwyrcc
47,34,이 노래가 클럽에서 나온다면 (Fire up),Woody,11,252529,-23%,https://www.youtube.com/watch?v=MBSpoTozBdg
48,56,comethru,Jeremy Zucker,3,250671,10.8%,https://www.youtube.com/watch?v=jO2viLEW-1A
49,,You&I,A-YEON,1,248795,,https://www.youtube.com/watch?v=0wtXDvWT_SY
50,53,Paris in the Rain,Lauv,10,239654,-0.2%,https://www.youtube.com/watch?v=kOCkne-Bku4
51,58,Sunflower,Post Malone & Swae Lee,19,235592,5.9%,https://www.youtube.com/watch?v=ApXoWvfEYVU
52,83,Viva La Vida,Coldplay,15,232311,41.4%,https://www.youtube.com/watch?v=dvgZkm1xWPE
53,38,If I Knew…(알았다면),Jang Deok Cheol,16,223941,-22.2%,https://www.youtube.com/watch?v=3lr0q5jcDSY
54,,Kick It,BLACKPINK,1,222832,,https://www.youtube.com/watch?v=QO5jGAvgf5M
55,61,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",3,218798,2.6%,https://www.youtube.com/watch?v=dhYOPzcsbGM
56,76,If there was practice in love(사랑에 연습이 있었다면),"Lim JaeHyun, Moon SeongWook",2,213325,21.8%,https://www.youtube.com/watch?v=JRdykduaHG0
57,51,봄봄봄,Roy Kim,20,211190,-15%,https://www.youtube.com/watch?v=k3-BDy55tq4
58,49,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,17,210925,-17%,https://www.youtube.com/watch?v=0IaUogNqQqA
59,,Dancing With A Stranger,Sam Smith & Normani,9,209789,,https://www.youtube.com/watch?v=av5JD1dfj_c
60,50,일산으로,--,3,198545,-21.5%,https://www.youtube.com/watch?v=ScJ4m-qXWuw
61,57,행복 (Happiness),OVAN,18,195956,-12%,https://www.youtube.com/watch?v=qGh0jk-f6to
62,44,Lovedrunk (술이 달다) (feat. Crush),EPIK HIGH,5,195118,-26.5%,https://www.youtube.com/watch?v=47Vz-ptyKbQ
63,64,The Vow (서약),ALi,18,192464,-3.4%,https://www.youtube.com/watch?v=l8DW837R9xw
64,48,However (그러나),10CM,5,188996,-25.9%,https://www.youtube.com/watch?v=hNnoi32CyrA
65,74,스토커 (Stalker) (라이브),10CM,4,184459,4.4%,https://www.youtube.com/watch?v=Iu-NVopNDKU
66,55,누아르(Noir),SUNMI,6,183558,-19.3%,https://www.youtube.com/watch?v=CNeNwplE_aw
67,42,봉봉쇼콜라 (Bon Bon Chocolat),EVERGLOW,2,181584,-31.8%,https://www.youtube.com/watch?v=HvGql8HwOIM
68,54,180º,BEN,18,178640,-24%,https://www.youtube.com/watch?v=rDG9I9nx0QU
69,,Freedumb (feat. HAON),sokodomo,1,178354,,https://www.youtube.com/watch?v=Yjqa_8d2j3Q
70,65,Song request(신청곡) (feat. SUGA),--,12,175918,-10.3%,https://www.youtube.com/watch?v=ij0SQZcqnPU
