Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,1,3331338,,https://www.youtube.com/watch?v=oQW9lY1ZAJA
2,,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,1,2515068,,https://www.youtube.com/watch?v=5_Esp-dXcOA
3,5,롤린 (Rollin'),Brave Girls,7,2440638,72.8%,https://www.youtube.com/watch?v=nw6mcjNlh8E
4,1,Celebrity,IU,7,2152573,-8%,https://www.youtube.com/watch?v=0-q1KafFCLU
5,2,Dynamite,BTS,29,1842180,-11.7%,https://www.youtube.com/watch?v=gdZLi9oWNZg
6,3,팅커벨 (Tinker Bell),APRIL,2,1735031,-9.5%,https://www.youtube.com/watch?v=B9FTAcOK3cA
7,,어디에도 (No matter where),Khristian Zometta,25,1324907,,https://www.youtube.com/watch?v=nKAgxBf91m0
8,4,꼬리 (TAIL),SUNMI,3,1241227,-17.9%,https://www.youtube.com/watch?v=Aui0ZKIaXVc
9,7,Lovesick Girls,BLACKPINK,23,1115729,-2%,https://www.youtube.com/watch?v=dyRsYk0LyA8
10,6,Don't Call Me,SHINee,3,920942,-21.5%,https://www.youtube.com/watch?v=p6OoY6xneI0
11,9,Panorama,IZ*ONE,14,907408,-0.1%,https://www.youtube.com/watch?v=G8GaQdW2wHc
12,27,WHY DON'T WE (feat. CHUNG HA),Rain,2,881254,83.2%,https://www.youtube.com/watch?v=srWfDwiRVgQ
13,11,I’m Not Cool,HyunA,7,688744,-8.8%,https://www.youtube.com/watch?v=_yXEnhyOTQo
14,16,Black Mamba,aespa,17,626633,-0.2%,https://www.youtube.com/watch?v=ZeerrnuLi5E
15,10,FRIENDS,-- & Wonstein,2,619477,-22.1%,https://www.youtube.com/watch?v=IabVAAbTIro
16,15,I CAN'T STOP ME,TWICE,20,612959,-5.1%,https://www.youtube.com/watch?v=CM4CkVFmTds
17,17,How You Like That,Sup I'm Bianca,37,610074,-1.9%,https://www.youtube.com/watch?v=ioNng23DkIM
18,19,살짝 설렜어 (Nonstop),OH MY GIRL,46,594776,2%,https://www.youtube.com/watch?v=iDjQSdN_ig8
19,22,Ashes,Stellar,7,573143,4.4%,https://www.youtube.com/watch?v=1NnT8RjQHg8
20,14,Life Goes On,BTS,16,571940,-15.3%,https://www.youtube.com/watch?v=-5q5mZbe3V8
21,13,화 (火花) [HWAA],(G)I-DLE,9,555853,-22.3%,https://www.youtube.com/watch?v=z3szNvgQxHo
22,20,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,21,546601,-3.4%,https://www.youtube.com/watch?v=YJInKpVsBQA
23,23,잠이 오질 않네요,Jang Beom June,20,544221,3.2%,https://www.youtube.com/watch?v=K0qKtn5VPUE
24,26,취기를 빌려 (Slightly Tipsy),Sandeul,33,529980,9.9%,https://www.youtube.com/watch?v=2COAu1l6hUQ
25,25,멜로디,ASH ISLAND,2,522378,3.9%,https://www.youtube.com/watch?v=NB8LX6A5BBM
26,18,Bicycle,CHUNG HA,4,520771,-15.9%,https://www.youtube.com/watch?v=_waD9YW8Pa8
27,21,밤하늘의 별을 (Shiny Star),KyoungSeo,17,516421,-7.6%,https://www.youtube.com/watch?v=NuTNPV72rFo
28,24,에잇 (feat. SUGA of BTS),IU,45,496860,-2.4%,https://www.youtube.com/watch?v=TgOu00Mf3kI
29,41,밝게 빛나는 별이 되어 비춰줄게 (I will be your shining star),Song I Han,6,490007,28.9%,https://www.youtube.com/watch?v=hhTk3l9UfW0
30,90,왜왜왜 (Why Why Why),iKON,2,482195,138%,https://www.youtube.com/watch?v=DslHQto2V7I
31,55,Oh! my mistake (예쁜 게 죄),APRIL,22,442132,44.9%,https://www.youtube.com/watch?v=wX-e5rvmtas
32,,We Ride (운전만해),Brave Girls,1,431900,,https://www.youtube.com/watch?v=4HjcypoChfQ
33,,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",1,423476,,https://www.youtube.com/watch?v=adLGHcj_fmA
34,36,Burn The House Down,AJR,6,421749,2.1%,https://www.youtube.com/watch?v=UnyLfqpyi94
35,29,테스형!,Na Hoon-a,24,410160,-10.9%,https://www.youtube.com/watch?v=MRrXRlVd0P0
36,,FLYING HIGH WITH U,VINXEN,1,409494,,https://www.youtube.com/watch?v=rGwK6uNIEEk
37,39,그날에 나는 맘이 편했을까 (On That Day),Lee Ye Joon,5,404747,4.1%,https://www.youtube.com/watch?v=Jqbe1Wdlkt4
38,40,MAGO,GFRIEND  ,18,390369,2.6%,https://www.youtube.com/watch?v=LmBYPXGqtss
39,34,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,7,390261,-8.2%,https://www.youtube.com/watch?v=Y_8aUSyNM9Y
40,38,Pretty Savage,BLACKPINK,23,388225,-1%,https://www.youtube.com/watch?v=F8c8f2nK82w
41,,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,1,375877,,https://www.youtube.com/watch?v=5_Esp-dXcOA
42,42,사이렌 (Siren) [Remix],Homies,8,375867,-1%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
43,54,"GO HIGH (feat. Woo, CHANGMO & The Quiett)",Lee Young Ji,28,369812,14.7%,https://www.youtube.com/watch?v=cDq1vUwM21k
