Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,화 (火花) [HWAA],(G)I-DLE,2,3172613,-9.1%,https://www.youtube.com/watch?v=z3szNvgQxHo
2,2,Dynamite,BTS,22,2705627,0.5%,https://www.youtube.com/watch?v=gdZLi9oWNZg
3,3,Lovesick Girls,BLACKPINK,16,1340621,-6.5%,https://www.youtube.com/watch?v=dyRsYk0LyA8
4,4,Panorama,IZ*ONE,7,1225833,-11.6%,https://www.youtube.com/watch?v=G8GaQdW2wHc
5,5,Black Mamba,aespa,10,996338,-19.4%,https://www.youtube.com/watch?v=ZeerrnuLi5E
6,7,I CAN'T STOP ME,TWICE,13,839493,-5.5%,https://www.youtube.com/watch?v=CM4CkVFmTds
7,9,How You Like That,Sup I'm Bianca,30,803971,3.5%,https://www.youtube.com/watch?v=ioNng23DkIM
8,6,"존시나 (feat. Northfacegawd, JUSTHIS & Layone)",YUMDDA,7,761729,-22.7%,https://www.youtube.com/watch?v=KT5nEChOISs
9,8,테스형!,Na Hoon-a,17,747972,-9.5%,https://www.youtube.com/watch?v=MRrXRlVd0P0
10,10,Life Goes On,BTS,9,743292,-4.1%,https://www.youtube.com/watch?v=-5q5mZbe3V8
11,11,밤하늘의 별을 (Shiny Star),KyoungSeo,10,698922,-3.5%,https://www.youtube.com/watch?v=NuTNPV72rFo
12,,Rosario (feat. CL & ZICO),EPIK HIGH,1,687589,,https://www.youtube.com/watch?v=FCsLikmxhV0
13,18,"Achoo Remix (feat. pH-1, Muchman, Skinny Brown, Louie, Leellamarz, Ourealgoat & Dbo)",Groovy Room & JUSTHIS,2,619979,14.8%,https://www.youtube.com/watch?v=P2ICs5maFM0
14,14,잠이 오질 않네요,Jang Beom June,13,611805,1.3%,https://www.youtube.com/watch?v=K0qKtn5VPUE
15,13,MAGO,GFRIEND  ,11,608288,-0.6%,https://www.youtube.com/watch?v=LmBYPXGqtss
16,15,취기를 빌려 (Slightly Tipsy),Sandeul,26,584862,1.6%,https://www.youtube.com/watch?v=2COAu1l6hUQ
17,16,Sequence,IZ*ONE,5,579013,3.3%,https://www.youtube.com/watch?v=xond2K-7fjQ
18,12,나로 바꾸자 (Switch to me) (feat. J.Y. Park ),Rain,4,576792,-19.1%,https://www.youtube.com/watch?v=-Bf_BB9iTNI
19,,Cha Cha (Live),Eugene,1,569838,,https://www.youtube.com/watch?v=rsm8DSuppeg
20,19,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,14,556602,6%,https://www.youtube.com/watch?v=YJInKpVsBQA
21,17,살짝 설렜어 (Nonstop),OH MY GIRL,39,553127,1.2%,https://www.youtube.com/watch?v=iDjQSdN_ig8
22,29,옜다 (Take It),MUSHVENOM & JUSTHIS,2,537360,25.5%,https://www.youtube.com/watch?v=THRvS3lHIAo
23,22,에잇 (feat. SUGA of BTS),IU,38,515773,5.2%,https://www.youtube.com/watch?v=TgOu00Mf3kI
24,,00:00 (Zero O’Clock),BTS,9,509873,,https://www.youtube.com/watch?v=K7BMF0ozFS0
25,20,Make A Wish (Birthday Song),NCT U,15,481894,-5.3%,https://www.youtube.com/watch?v=tyrVtwE8Gv0
26,24,WANNABE,ITZY,46,476650,-1%,https://www.youtube.com/watch?v=fE2h3lGlOsk
27,28,HERO,Lim Young-woong,12,463453,8.1%,https://www.youtube.com/watch?v=4jXLHKMRA-E
28,38,BAD,Christopher,34,438895,22.9%,https://www.youtube.com/watch?v=Ty8UzZlO1EE
29,23,さくらんぼ,Ai Otsuka,9,434422,-11.3%,https://www.youtube.com/watch?v=upODO6OuOOk
30,25,When We Disco,J.Y. Park  & SUNMI,24,428308,-8.4%,https://www.youtube.com/watch?v=zrsBjYukE8s
31,,Yes No Maybe,SUZY,6,422846,,https://www.youtube.com/watch?v=zuQ9Mo_EQNA
32,33,Your Lights,ISU,2,401378,-2.2%,https://www.youtube.com/watch?v=4m5af6FFHtg
33,,사이렌 (Siren) [Remix],Homies,1,373594,,https://www.youtube.com/watch?v=vvTO3c-h0ZI
34,35,시작,Gaho,39,372009,-1.8%,https://www.youtube.com/watch?v=O0StKlRHVeE
35,36,어떻게 지내 (I Need You),OVAN,46,371440,-0.6%,https://www.youtube.com/watch?v=rVXeArOQIs4
36,26,SO BAD,STAYC,11,369875,-15.6%,https://www.youtube.com/watch?v=gMe1c4UegBY
