Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,짐살라빔 (Zimzalabim),Red Velvet,1,3992950,,https://www.youtube.com/watch?v=YBnGBb1wg98
2,1,2002,Anne-Marie,29,2452642,-13.1%,https://www.youtube.com/watch?v=Il-an3K9pjg
3,4,Speechless (Full),Naomi Scott,5,2302382,66.5%,https://www.youtube.com/watch?v=mw5VIEIvuMI
4,2,Birthday,JEON SOMI,2,1700093,-18.8%,https://www.youtube.com/watch?v=oDJ4ct59NC4
5,3,FANCY,TWICE,10,1616275,-5.5%,https://www.youtube.com/watch?v=kOHB85vDuow
6,5,Kill This Love,BLACKPINK,12,1237970,-1.3%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
7,6,bad guy,Billie Eilish,13,1236398,-0.9%,https://www.youtube.com/watch?v=DyDfgMOUjCI
8,7,Boy With Luv (feat. Halsey),BTS,11,1230432,0.1%,https://www.youtube.com/watch?v=XsX3ATc3FbA
9,10,A Whole New World,Mena Massoud & Naomi Scott,5,1032439,0.4%,https://www.youtube.com/watch?v=eitDnP0_83k
10,9,If there was practice in love(사랑에 연습이 있었다면),"Lim JaeHyun, Moon SeongWook",13,984035,-8.8%,https://www.youtube.com/watch?v=JRdykduaHG0
11,11,달라달라(DALLA DALLA),ITZY,20,931175,-2.3%,https://www.youtube.com/watch?v=pNfTK39k55U
12,,Señorita,Shawn Mendes & Camila Cabello,1,808233,,https://www.youtube.com/watch?v=Pkh8UtuejGw
13,13,'너에게 못했던 내 마지막 말은,Davichi,6,686409,-4.1%,https://www.youtube.com/watch?v=Jov5h_DuED4
14,,술이 문제야 (Drunk On Love),Jang Hye-jin & Yoon Min Soo,1,592619,,https://www.youtube.com/watch?v=XcbEM7j_ARQ
15,14,Violeta (비올레타),IZ*ONE,13,583836,-10.9%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
16,12,The fifth season(다섯 번째 계절) (SSFWL),OH MY GIRL,8,575350,-20.9%,https://www.youtube.com/watch?v=udGwca1HBM4
17,8,누구 없소 (NO ONE) (feat. B.I),Lee Hi,4,567983,-49.8%,https://www.youtube.com/watch?v=GQqyCeKf8rw
18,,Sunny Side Up!,Red Velvet,1,507041,,https://www.youtube.com/watch?v=2QbenuWsG8o
19,15,Rooftop (옥탑방),N.Flying,20,501252,-12.3%,https://www.youtube.com/watch?v=VpaUh_BGqE0
20,16,눈 Snow,Lil Tachi & Hotchkiss,12,496968,-11.7%,https://www.youtube.com/watch?v=-ZZ90fD86ok
