Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,WANNABE,ITZY,7,2476719,-9.5%,https://www.youtube.com/watch?v=fE2h3lGlOsk
2,4,덤더럼 (Dumhdurum),Apink,2,2095473,30.1%,https://www.youtube.com/watch?v=WqzTRK5GPWQ
3,2,돌덩이,Ha Hyun Woo,9,1664468,-16.4%,https://www.youtube.com/watch?v=kmUBHak9HD4
4,5,시작,Gaho,11,1379312,-10.6%,https://www.youtube.com/watch?v=O0StKlRHVeE
5,11,아로하 (Aloha),CHO JUNG SEOK,4,1321881,26.7%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
6,3,Oh my god,(G)I-DLE,3,1315257,-20.9%,https://www.youtube.com/watch?v=om3n2ni8luE
7,6,DANCE MONKEY,Tones and I,22,1143660,-13%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
8,7,ON,BTS,9,1104037,-11.4%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
9,9,"그때 그 아인 (Someday, The Boy)",Kim Feel,9,1028367,-8.6%,https://www.youtube.com/watch?v=qho6wWlsANw
10,8,FIESTA,IZ*ONE,10,950808,-17.8%,https://www.youtube.com/watch?v=eDEFolvLn0A
11,10,Any song,ZICO,15,924993,-15.4%,https://www.youtube.com/watch?v=UuV2BmJ1p_I
12,14,METEOR,CHANGMO,20,853542,-3.1%,https://www.youtube.com/watch?v=abuTb3qMOsY
13,13,Psycho,Red Velvet,18,851621,-4.7%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
14,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,27,820324,-11.2%,https://www.youtube.com/watch?v=YBEUXfT7_48
15,15,블루밍 (Blueming),IU,23,766558,-4.9%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
16,16,HIP,MAMAMOO,23,599554,-17.8%,https://www.youtube.com/watch?v=KhTeiaCezwM
17,19,니가 왜 거기서 나와,Young Tak,16,566025,-3.7%,https://www.youtube.com/watch?v=Y3s_GYdceVg
18,29,폰서트 (Phonecert),10CM,33,543921,11.3%,https://www.youtube.com/watch?v=mOo8bVzN9M8
19,25,좋은 사람 있으면 소개시켜줘,JOY,5,512356,2%,https://www.youtube.com/watch?v=hoLzH1revMg
20,18,BLOOM (처음처럼),M.C The Max,5,500671,-20.5%,https://www.youtube.com/watch?v=3XUe2PsadEk
21,24,오늘도 빛나는 너에게 (To You My Light) (feat. Leeraon),Maktub,45,491700,-2.8%,https://www.youtube.com/watch?v=kNYA3H1jSSs
22,21,Don't Start Now,Dua Lipa,25,491407,-9%,https://www.youtube.com/watch?v=oygrmJFKYZY
23,23,Half (반만),Jin Minho,9,487535,-3.8%,https://www.youtube.com/watch?v=HrUz_D0lfI4
24,27,Memories,Maroon 5,29,485340,-1.1%,https://www.youtube.com/watch?v=SlPhMPnQ58k
25,,9월의 바캉스 (Vacance in September),Kim Jae-hwan & Stella Jang,1,473708,,https://www.youtube.com/watch?v=oWrcy6M6Usk
26,20,영웅 (英雄; Kick It),NCT 127,7,471869,-19.1%,https://www.youtube.com/watch?v=2OvyA2__Eas
27,22,Say So,Doja Cat,8,460024,-14.7%,https://www.youtube.com/watch?v=pok8H_KF1FA
28,26,Physical (feat. Hwa Sa),Dua Lipa,7,453595,-7.6%,https://www.youtube.com/watch?v=L6nrMAFCzhg
29,30,Feel Special,TWICE,31,439000,-8.5%,https://www.youtube.com/watch?v=3ymwOvzhwHs
30,31,깡 GANG,Rain,8,432582,-9%,https://www.youtube.com/watch?v=xqFvYsy4wE4
31,47,Painkiller,Ruel,25,403271,19.8%,https://www.youtube.com/watch?v=dTwj7PhpY9M
32,17,우리집 (My House),2PM,14,396376,-39.5%,https://www.youtube.com/watch?v=u2pFB1dCSo4
33,28,LION,(G)I-DLE,25,388899,-20.7%,https://www.youtube.com/watch?v=6oanIo_2Z4Q
34,42,"야망 (AMBITION) (feat. ASH ISLAND, Keem Hyo-eun, Hash Swan & CHANGMO)",Leellamarz,40,383102,7.1%,https://www.youtube.com/watch?v=K7o4nYV0ns4
35,33,Blinding Lights,The Weeknd,7,374904,-9%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
36,37,Give You My Heart (마음을 드려요),IU,10,369657,-3.7%,https://www.youtube.com/watch?v=euI-C1YONaU
37,35,ICY,ITZY,39,367244,-9.8%,https://www.youtube.com/watch?v=zndvqTc4P9I
38,,Despacito (Sam Tsui & Alyson Stoner) (feat. Daddy Yankee),Luis Fonsi,34,359032,,https://www.youtube.com/watch?v=kJQP7kiw5Fk
39,39,어떻게 지내 (I Need You),OVAN,7,351170,-3.9%,https://www.youtube.com/watch?v=rVXeArOQIs4
40,54,빌었어,CHANGMO,19,343368,15.3%,https://www.youtube.com/watch?v=M2qpnwmpipI
41,45,Uh-Oh,(G)I-DLE,39,340458,-0.4%,https://www.youtube.com/watch?v=I66oFXdf0KU
42,41,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,31,336290,-6.1%,https://www.youtube.com/watch?v=t8P-zdkoeJA
43,43,BAD,Christopher,13,330416,-4.4%,https://www.youtube.com/watch?v=Ty8UzZlO1EE
