Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Dynamite,BTS,6,8128093,-19%,https://www.youtube.com/watch?v=gdZLi9oWNZg
2,2,Ice Cream,BLACKPINK & Selena Gomez,5,1602704,-11.3%,https://www.youtube.com/watch?v=vRXZj0DzXIA
3,3,Not Shy,ITZY,7,1428647,-17.3%,https://www.youtube.com/watch?v=wTowEKjDGkU
4,4,How You Like That,BLACKPINK,14,1407315,0.2%,https://www.youtube.com/watch?v=ioNng23DkIM
5,5,숲의 아이 (Bon voyage),YooA,4,1383021,2.6%,https://www.youtube.com/watch?v=AAOOKbk-knM
6,6,When We Disco,J.Y. Park  & SUNMI,8,1300215,-0.9%,https://www.youtube.com/watch?v=zrsBjYukE8s
7,7,취기를 빌려 (Slightly Tipsy),Sandeul,10,1100608,-4.9%,https://www.youtube.com/watch?v=2COAu1l6hUQ
8,8,눈누난나 (NUNU NANA),Jessi,9,1035462,-3.8%,https://www.youtube.com/watch?v=tJQaUW36pMw
9,10,Maria (마리아),Hwa Sa,14,895776,-3.5%,https://www.youtube.com/watch?v=tDukIfFzX18
10,11,WAP (feat. Megan Thee Stallion),Cardi B,8,876808,-3.9%,https://www.youtube.com/watch?v=hsm4poTWjMs
11,9,덤디덤디 (DUMDi DUMDi),(G)I-DLE,9,820491,-12.3%,https://www.youtube.com/watch?v=HPQ5mqovXHo
12,12,mad at disney,salem ilese,4,798839,-7%,https://www.youtube.com/watch?v=uJbooOYyBCA
13,13,블루밍 (Blueming),IU,46,782361,-6.1%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
14,76,Bad Boy,CHUNG HA & Christopher,2,776642,253.8%,https://www.youtube.com/watch?v=8WOawEvEGWc
15,15,살짝 설렜어 (Nonstop),OH MY GIRL,23,758234,-1.7%,https://www.youtube.com/watch?v=iDjQSdN_ig8
16,19,Dolphin,OH MY GIRL,23,741944,15%,https://www.youtube.com/watch?v=oaRTMjLdiDw
17,16,에잇 (feat. SUGA of BTS),IU,22,713157,-0.6%,https://www.youtube.com/watch?v=TgOu00Mf3kI
18,25,DANCE MONKEY,Tones and I,45,698567,37.6%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
19,18,ON,BTS,32,685837,4.2%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
20,20,METEOR,CHANGMO,43,653574,5%,https://www.youtube.com/watch?v=abuTb3qMOsY
21,17,다시 여기 바닷가 (Beach Again),싹쓰리,11,631878,-6.9%,https://www.youtube.com/watch?v=JAy88PDxMIM
22,21,WANNABE,ITZY,30,598566,-1.4%,https://www.youtube.com/watch?v=fE2h3lGlOsk
23,37,곡예사 (Acrobat),Gwangil Jo,20,516966,35.6%,https://www.youtube.com/watch?v=aKuS6T2SZoI
24,22,Psycho,Red Velvet,41,512016,-2.9%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
25,14,Feel Good (Secret Code),fromis_9,3,486128,-41.4%,https://www.youtube.com/watch?v=jLmJhjCzOTw
26,35,LA DI DA,EVERGLOW,2,482174,24.4%,https://www.youtube.com/watch?v=jeI992mvlEY
27,,Anpanman,BTS,23,464763,,https://www.youtube.com/watch?v=EBf6lwkChnQ
28,26,아로하 (Aloha),CHO JUNG SEOK,27,460126,-1.4%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
29,,테스형!,Na Hoon-a,1,451861,,https://www.youtube.com/watch?v=MRrXRlVd0P0
30,34,BAD,Christopher,27,447227,14.2%,https://www.youtube.com/watch?v=Ty8UzZlO1EE
31,30,어떻게 지내 (I Need You),OVAN,30,439794,0.9%,https://www.youtube.com/watch?v=rVXeArOQIs4
32,,One (Monster & Infinity),SuperM,1,434969,,https://www.youtube.com/watch?v=-MyvZMiRGvE
33,32,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,50,425686,2.9%,https://www.youtube.com/watch?v=YBEUXfT7_48
34,27,오래된 노래,Standing Egg,17,421450,-9.6%,https://www.youtube.com/watch?v=JVIKowQZEdk
35,41,Any song,ZICO,38,405225,12%,https://www.youtube.com/watch?v=UuV2BmJ1p_I
36,29,MORE & MORE,TWICE,18,398869,-12.5%,https://www.youtube.com/watch?v=mH0_XpSHkZo
37,23,Holy (feat. Chance The Rapper),Justin Bieber,2,391949,-24.1%,https://www.youtube.com/watch?v=pvPsJFRGleA
38,43,Memories,Maroon 5,52,379385,6.9%,https://www.youtube.com/watch?v=SlPhMPnQ58k
39,36,PLAY (feat. CHANGMO),CHUNG HA,13,372359,-3.5%,https://www.youtube.com/watch?v=UsvoDgmfUwc
40,52,The Stealer,THE BOYZ,2,363172,13.6%,https://www.youtube.com/watch?v=c_e-IC0VwZM
41,44,돌덩이,Ha Hyun Woo,32,358313,1.1%,https://www.youtube.com/watch?v=kmUBHak9HD4
42,38,환상동화 (Secret Story of the Swan),IZ*ONE,16,354131,-6.7%,https://www.youtube.com/watch?v=nnVjsos40qk
43,60,Freak,Doja Cat,2,349842,26.9%,https://www.youtube.com/watch?v=Wc9_dsv5YYA
44,40,보라빛 밤 (pporappippam),SUNMI,14,347542,-6.4%,https://www.youtube.com/watch?v=Is7glC9Jp7Q
45,49,FIESTA,IZ*ONE,33,341447,3.1%,https://www.youtube.com/watch?v=eDEFolvLn0A
46,,Tight,10CM,1,338909,,https://www.youtube.com/watch?v=-xm5GpFwHw4
47,75,범 내려 온다 (Tiger is Coming) [Live],LEENALCHI,3,336252,52%,https://www.youtube.com/watch?v=t0BHhqw_Ecc
48,,시작,Gaho,30,335141,,https://www.youtube.com/watch?v=O0StKlRHVeE
49,28,호랑이 (Tiger Inside),SuperM,5,333155,-27.8%,https://www.youtube.com/watch?v=jUsUzbmSLow
50,42,What You Waiting For,JEON SOMI,11,327448,-8.3%,https://www.youtube.com/watch?v=lBYyAQ99ZFI
51,50,사랑하게 될 줄 알았어 (I Knew I Love),전미도,19,317779,-2.1%,https://www.youtube.com/watch?v=rOCymN-Rwiw
52,45,Obliviate,LOVELYZ,5,308859,-11.2%,https://www.youtube.com/watch?v=TArBtJ0IwCc
53,,우리집 (My House),2PM,25,306975,,https://www.youtube.com/watch?v=u2pFB1dCSo4
54,39,축하해,OVAN,3,295869,-20.9%,https://www.youtube.com/watch?v=RyxHYTwqLXw
