Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Butter,BTS,3,8524693,-37.3%,https://www.youtube.com/watch?v=WMweEpGlu_U
2,2,Next Level,aespa,4,5255761,-17.8%,https://www.youtube.com/watch?v=4TWR90KJl84
3,4,Dun Dun Dance,OH MY GIRL,5,3407546,14.2%,https://www.youtube.com/watch?v=HzOjwL7IP_o
4,3,ASAP,STAYC,9,2836560,-9.8%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
5,5,In the morning,ITZY,6,2124691,-14.9%,https://www.youtube.com/watch?v=_ysomCGaZLw
6,6,사이렌 (Siren) [Remix],Homies,21,2086596,4.3%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
7,7,Dynamite,BTS,42,1924662,0.2%,https://www.youtube.com/watch?v=gdZLi9oWNZg
8,8,HAPPEN (헤픈 우연),Heize,4,1729936,-8.8%,https://www.youtube.com/watch?v=AJPLgrfBiBo
9,,Alcohol-Free,TWICE,1,1664020,,https://www.youtube.com/watch?v=XA2YEHn-A8Q
10,9,롤린 (Rollin'),Brave Girls,20,1549515,-10%,https://www.youtube.com/watch?v=nw6mcjNlh8E
11,11,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,12,1544845,-2.5%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
12,10,상상더하기,LABOUM,17,1475150,-12.6%,https://www.youtube.com/watch?v=bkGRmSF0rKE
13,12,LILAC,IU,12,1457015,-5.4%,https://www.youtube.com/watch?v=v7bnOxV4jAc
14,13,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,14,1314725,-6.8%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
15,16,WE GO,fromis_9,3,1208632,10.8%,https://www.youtube.com/watch?v=HM6UpQZvbhY
16,19,안녕 (Hello),JOY,2,1169582,23%,https://www.youtube.com/watch?v=lNvBbh5jDcA
17,17,맛 (Hot Sauce),NCT DREAM,5,1127509,15.9%,https://www.youtube.com/watch?v=PkKnp4SdE-w
18,15,Celebrity,IU,20,1124679,2.8%,https://www.youtube.com/watch?v=0-q1KafFCLU
19,14,We Ride (운전만해),Brave Girls,14,1058937,-6.2%,https://www.youtube.com/watch?v=4HjcypoChfQ
20,18,Black Mamba,aespa,30,963274,-0%,https://www.youtube.com/watch?v=ZeerrnuLi5E
21,21,멜로디,ASH ISLAND,15,845462,-1%,https://www.youtube.com/watch?v=NB8LX6A5BBM
22,22,Lovesick Girls,BLACKPINK,36,814163,0.8%,https://www.youtube.com/watch?v=dyRsYk0LyA8
23,51,0X1=LOVESONG (I Know I Love You) (feat. Seori),TOMORROW X TOGETHER,2,810600,91.2%,https://www.youtube.com/watch?v=d5bbqKYu51w
24,,야생화 (Wild Flower),Park Hyo Shin,27,730780,,https://www.youtube.com/watch?v=OxgiiyLp5pk
25,23,Panorama,IZ*ONE,27,711004,-4.2%,https://www.youtube.com/watch?v=G8GaQdW2wHc
26,40,Save Your Tears,The Weeknd,7,702503,41.1%,https://www.youtube.com/watch?v=XXYlFuWEuKI
27,,Save,NCT 127,1,701858,,https://www.youtube.com/watch?v=O8Xq4xfH2ro
28,20,If You Love Me (feat. Jay Park),NS Yoon-G,3,693784,-24.3%,https://www.youtube.com/watch?v=1H4ViIioCAs
29,,Don't fight the feeling,EXO,1,680931,,https://www.youtube.com/watch?v=2IkoKhr6Tss
30,24,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,14,656372,-5.8%,https://www.youtube.com/watch?v=5_Esp-dXcOA
31,28,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",14,588365,-3.8%,https://www.youtube.com/watch?v=adLGHcj_fmA
32,26,On The Ground,ROSÉ,13,587730,-8.9%,https://www.youtube.com/watch?v=CKZvWhCqx1s
33,29,서울의 잠 못 이루는 밤 (feat. LEE SUHYUN),10CM,4,549806,-8.2%,https://www.youtube.com/watch?v=_HFRhzwJjd8
34,31,Coin,IU,11,547212,-5.8%,https://www.youtube.com/watch?v=86BST8NIpNM
35,34,Ashes,Stellar,20,543514,-2.4%,https://www.youtube.com/watch?v=1NnT8RjQHg8
36,30,"존시나 (feat. Northfacegawd, JUSTHIS & Layone)",YUMDDA,25,521214,-13%,https://www.youtube.com/watch?v=KT5nEChOISs
37,37,How You Like That,Sup I'm Bianca,50,494936,-2.6%,https://www.youtube.com/watch?v=ioNng23DkIM
38,41,After School,Weeekly,10,494297,0%,https://www.youtube.com/watch?v=qfVuRQX0ydQ
39,,Bicycle,RM,1,485682,,https://www.youtube.com/watch?v=6uq3P7zeYyU
40,61,Kiss Me More (feat. SZA),Doja Cat,9,482416,31.6%,https://www.youtube.com/watch?v=0EVVKs6DQLo
41,67,Where Are We Now,MAMAMOO,2,480619,54.2%,https://www.youtube.com/watch?v=zzk09ESX7e0
42,52,RAMIRANI,Ra Mi-ran & Mirani,2,476941,20.4%,https://www.youtube.com/watch?v=WpOdu4B1wTc
43,45,Burn The House Down,AJR,19,473688,1.4%,https://www.youtube.com/watch?v=UnyLfqpyi94
44,44,Don't Call Me,SHINee,16,472985,0%,https://www.youtube.com/watch?v=p6OoY6xneI0
45,39,Off My Face,Justin Bieber,7,472627,-5.4%,https://www.youtube.com/watch?v=AeZxDcjXbzE
46,25,Good-bye Baby,miss A,2,467457,-32%,https://www.youtube.com/watch?v=EYKO1za5mX0
47,36,Timeless,SG Wannabe,8,461645,-10%,https://www.youtube.com/watch?v=0pLa8NyS4Es
48,43,Ah puh,IU,11,460536,-2.6%,https://www.youtube.com/watch?v=7n9D8ZeOQv0
49,47,HERO,Lim Young-woong,27,460275,3.4%,https://www.youtube.com/watch?v=4jXLHKMRA-E
50,50,I CAN'T STOP ME,TWICE,33,450816,4.2%,https://www.youtube.com/watch?v=CM4CkVFmTds
51,53,GAMBLER,MONSTA X,2,431505,9.7%,https://www.youtube.com/watch?v=yY13X0BKaUw
52,35,Build a Bitch,Bella Poarch,3,427796,-18.5%,https://www.youtube.com/watch?v=FLGCGc7sAUw
53,27,good 4 u,Olivia Rodrigo,2,427699,-33.5%,https://www.youtube.com/watch?v=gNi_6U5Pm_o
54,,좋을텐데 (If Only) [Live] (feat. Paul Kim),JOY,1,410247,,https://www.youtube.com/watch?v=M0OA_7RmE9M
55,38,BOMAYE,SILKYBOIS,2,380181,-24.3%,https://www.youtube.com/watch?v=mNhjRXfSRC8
