Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,깡 GANG,Rain,13,3197712,-12.7%,https://www.youtube.com/watch?v=xqFvYsy4wE4
2,,대취타(Daechwita),Agust D,1,3117258,,https://www.youtube.com/watch?v=qGjAWJ2zWWI
3,3,살짝 설렜어 (Nonstop),OH MY GIRL,5,2567964,5%,https://www.youtube.com/watch?v=iDjQSdN_ig8
4,2,에잇 (feat. SUGA of BTS),IU,4,2306120,-23.2%,https://www.youtube.com/watch?v=TgOu00Mf3kI
5,,사랑하게 될 줄 알았어 (I Knew I Love),전미도,1,2031046,,https://www.youtube.com/watch?v=rOCymN-Rwiw
6,5,아로하 (Aloha),CHO JUNG SEOK,9,1564361,5.7%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
7,4,WANNABE,ITZY,12,1402862,-9.1%,https://www.youtube.com/watch?v=fE2h3lGlOsk
8,,Candy,BAEKHYUN,1,1122253,,https://www.youtube.com/watch?v=gmgcRWxhmqY
9,6,돌덩이,Ha Hyun Woo,14,1008856,-2.9%,https://www.youtube.com/watch?v=kmUBHak9HD4
10,9,시작,Gaho,16,964965,2.5%,https://www.youtube.com/watch?v=O0StKlRHVeE
11,19,Dolphin,OH MY GIRL,5,920644,26.9%,https://www.youtube.com/watch?v=oaRTMjLdiDw
12,11,ON,BTS,14,873774,-6.2%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
13,8,Stay Tonight,CHUNG HA,5,869212,-9.7%,https://www.youtube.com/watch?v=YPFIh0dfYfw
14,10,블루밍 (Blueming),IU,28,869084,-7.2%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
15,7,덤더럼 (Dumhdurum),Apink,7,847766,-18.2%,https://www.youtube.com/watch?v=WqzTRK5GPWQ
16,13,Psycho,Red Velvet,23,813869,-3.8%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
17,14,DANCE MONKEY,Tones and I,27,805702,0%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
18,15,FIESTA,IZ*ONE,15,776322,2.9%,https://www.youtube.com/watch?v=eDEFolvLn0A
19,16,METEOR,CHANGMO,25,750416,-0.5%,https://www.youtube.com/watch?v=abuTb3qMOsY
20,12,LALALILALA,APRIL,6,739922,-15%,https://www.youtube.com/watch?v=cO9DbwTF7rY
21,17,Any song,ZICO,20,715536,-4.3%,https://www.youtube.com/watch?v=UuV2BmJ1p_I
22,,자나깨나 (Feat. 조이 of Red Velvet) (feat. JOY),Crush,1,710537,,https://www.youtube.com/watch?v=29ycT6fA-Rs
23,,Rain On Me,Lady Gaga & Ariana Grande,1,696515,,https://www.youtube.com/watch?v=AoAm4om0wTs
24,20,Memories,Maroon 5,34,679067,0.3%,https://www.youtube.com/watch?v=SlPhMPnQ58k
25,70,스물셋,IU,14,648636,155.7%,https://www.youtube.com/watch?v=42Gtm4-Ax2U
26,21,"그때 그 아인 (Someday, The Boy)",Kim Feel,14,635766,-4.5%,https://www.youtube.com/watch?v=qho6wWlsANw
27,26,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,32,623096,3%,https://www.youtube.com/watch?v=YBEUXfT7_48
28,25,Say So,Doja Cat,13,620381,-3%,https://www.youtube.com/watch?v=pok8H_KF1FA
29,18,나비와 고양이 (Leo) (feat. BAEKHYUN),BOL4,3,617622,-15.4%,https://www.youtube.com/watch?v=L8UUYfe6-UA
30,29,좋은 사람 있으면 소개시켜줘,JOY,10,573549,10.4%,https://www.youtube.com/watch?v=hoLzH1revMg
31,22,Punch,NCT 127,2,561817,-15.3%,https://www.youtube.com/watch?v=U08OSl3V4po
32,79,Juice,Lizzo,3,552988,139.1%,https://www.youtube.com/watch?v=XaCrQL_8eMY
33,31,니가 왜 거기서 나와,Young Tak,21,503283,-1.5%,https://www.youtube.com/watch?v=Y3s_GYdceVg
34,39,화려하지 않은 고백 (Confession Is Not Flashy),KYUHYUN,7,500060,14.8%,https://www.youtube.com/watch?v=03xSD1o-ivk
35,30,오늘도 빛나는 너에게 (To You My Light) (feat. Leeraon),Maktub,50,491064,-4.8%,https://www.youtube.com/watch?v=kNYA3H1jSSs
36,40,Sorry,Justin Bieber,4,466827,7.6%,https://www.youtube.com/watch?v=fRh_vgS2dFE
37,35,비밀정원 (Secret Garden),OH MY GIRL,27,463368,2.4%,https://www.youtube.com/watch?v=QIN5_tJRiyY
38,32,Feel Special,TWICE,36,462519,-9%,https://www.youtube.com/watch?v=3ymwOvzhwHs
39,36,너를 그린 우주 (Insomnia2020) (Feat. 이라온),MAKTUB,5,457274,2.2%,https://www.youtube.com/watch?v=EWRUm52agrk
40,33,Remember Me (불꽃놀이),OH MY GIRL,30,456072,-7.6%,https://www.youtube.com/watch?v=RrvdjyIL0fA
41,23,트로트랩,"SUPERBEE, Uneducated Kid, twlv & Yuzion",3,451002,-30.4%,https://www.youtube.com/watch?v=4aiMshK0tZg
42,24,품(Hug),BOL4,3,448075,-30.3%,https://www.youtube.com/watch?v=qfeoX17dav0
