Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,FAKE LOVE,BTS,2,4092087,-55.1%,https://www.youtube.com/watch?v=cibTjNJkaMk
2,2,밤 (Time for the moon night),GFRIEND  ,5,3313446,-20.6%,https://www.youtube.com/watch?v=_XyBa8QsVQU
3,,Travel(여행),BOL4,1,2718700,,https://www.youtube.com/watch?v=xRbPAVnqtcs
4,3,What is Love?,TWICE,8,2292303,-31.5%,https://www.youtube.com/watch?v=i0p1bmr0EmE
5,7,Shine(빛나리),PENTAGON,7,2137385,52.4%,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
6,5,BBoom BBoom(뿜뿜),MOMOLAND,21,1710170,-6%,https://www.youtube.com/watch?v=JQGRg8XBnB4
7,4,LOVE SCENARIO,iKON,19,1573630,-14.6%,https://www.youtube.com/watch?v=vecSVX1QYbQ
8,6,지나오다,Nilo,9,1427203,-11%,https://www.youtube.com/watch?v=
9,,Bingle Bangle(빙글뱅글),AOA,1,1329970,,https://www.youtube.com/watch?v=ntWSnDV0MYs
10,21,SELFISH (feat. Seulgi),Moonbyul,2,1149719,108.6%,https://www.youtube.com/watch?v=QG8bUKBT9FI
11,8,붕붕 (feat. Sik-K),HAON,7,970139,-24%,https://www.youtube.com/watch?v=cDq1vUwM21k
12,10,You,MeloMance,11,873150,-16.5%,https://www.youtube.com/watch?v=jG2YdnrYFdo
13,12,Starry Night(별이 빛나는 밤),MAMAMOO,13,799089,-7.8%,https://www.youtube.com/watch?v=LjUXm0Zy_dk
14,11,My Way,ISU,27,778242,-20.7%,https://www.youtube.com/watch?v=lXi8y3g4PP4
15,13,Bad Boy,Red Velvet,19,756221,-9.6%,https://www.youtube.com/watch?v=J_CFBjAyPWE
16,14,Roller Coaster,CHUNG HA,20,727347,1.3%,https://www.youtube.com/watch?v=900X9fDFLc4
17,,데리러 가 (Good Evening),SHINee,1,716659,,https://www.youtube.com/watch?v=7dGwk5-QMpc
18,,Starlight(야경),BOL4,1,715419,,https://www.youtube.com/watch?v=0o6TvZRVLYo
19,,E.N.C (feat. Kisum),RISABAE,1,703655,,https://www.youtube.com/watch?v=wUXHxNROfU0
20,,Bingle Bangle (빙글뱅글),AOA,1,663337,,https://www.youtube.com/watch?v=zF1GHwqPZaw
21,19,마지막처럼 (As If It's Your Last),BLACKPINK,50,650493,11.9%,https://www.youtube.com/watch?v=Amq-qlqbjYA
22,18,넋두리,--,9,564252,-5.5%,https://www.youtube.com/watch?v=C2Joup07VbA
23,22,Heart Shaker,TWICE,26,525991,-3.2%,https://www.youtube.com/watch?v=rRzxEiBLQCA
24,,Lip & Hip,HyunA,18,512528,,https://www.youtube.com/watch?v=vcqImqOVE2U
