Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Permission to Dance,BTS,2,8274859,-39.9%,https://www.youtube.com/watch?v=CuklIb9d3fI
2,2,Next Level,aespa,10,5875948,-5.9%,https://www.youtube.com/watch?v=4TWR90KJl84
3,3,Butter,BTS,9,3479578,-28.9%,https://www.youtube.com/watch?v=WMweEpGlu_U
4,5,Alcohol-Free,TWICE,7,2579693,6.3%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
5,4,Weekend,TAEYEON,3,2021095,-22.6%,https://www.youtube.com/watch?v=RmuL-BPFi2Q
6,6,Chi Mat Ba Ram,Brave Girls,5,1868371,-20.4%,https://www.youtube.com/watch?v=e70PkoJhQYM
7,8,Dun Dun Dance,OH MY GIRL,11,1765139,-9%,https://www.youtube.com/watch?v=HzOjwL7IP_o
8,7,Dynamite,BTS,48,1759263,-9.9%,https://www.youtube.com/watch?v=gdZLi9oWNZg
9,9,ASAP,STAYC,15,1694739,-0.8%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
10,10,신호등,Lee Mujin,10,1605856,4.6%,https://www.youtube.com/watch?v=9Ibf10h9U0c
11,11,롤린 (Rollin'),Brave Girls,26,1480233,-2.1%,https://www.youtube.com/watch?v=nw6mcjNlh8E
12,15,Celebrity,IU,26,1241150,3.2%,https://www.youtube.com/watch?v=0-q1KafFCLU
13,19,OHAYO MY NIGHT,디핵 (D-Hack) & Pateko,7,1226450,12.5%,https://www.youtube.com/watch?v=9Unrl9Yi55s
14,12,사이렌 (Siren) [Remix],Homies,27,1214513,-10.4%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
15,18,LILAC,IU,18,1042515,-6.3%,https://www.youtube.com/watch?v=v7bnOxV4jAc
16,23,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,20,991817,-1.8%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
17,20,상상더하기,LABOUM,23,982701,-4.2%,https://www.youtube.com/watch?v=bkGRmSF0rKE
18,14,HAPPEN (헤픈 우연),Heize,10,977479,-19.4%,https://www.youtube.com/watch?v=AJPLgrfBiBo
19,28,Black Mamba,aespa,36,969705,3.2%,https://www.youtube.com/watch?v=ZeerrnuLi5E
20,16,Foolish Love,MSG WANNABE,4,914678,-20.7%,https://www.youtube.com/watch?v=-UMAz1KMHuI
21,21,WE GO,fromis_9,9,912399,-10%,https://www.youtube.com/watch?v=HM6UpQZvbhY
22,26,In the morning,ITZY,12,896000,-8.4%,https://www.youtube.com/watch?v=_ysomCGaZLw
