Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,헤어져줘서 고마워,벤 BEN,3,1685427,-18.4%,https://www.youtube.com/watch?v=KJ1IY9D_Nn8
2,3,Snapping,CHUNG HA,4,1609565,-6.9%,https://www.youtube.com/watch?v=deV_DmHKwjc
3,10,bad guy,Billie Eilish,17,1524496,39.2%,https://www.youtube.com/watch?v=DyDfgMOUjCI
4,4,2002,Anne-Marie,33,1512892,-7%,https://www.youtube.com/watch?v=Il-an3K9pjg
5,8,Phocha,Hwang In Wook,5,1460106,24.3%,https://www.youtube.com/watch?v=g6uvXiLNrxM
6,2,Speechless (Full),Naomi Scott,9,1383822,-26.3%,https://www.youtube.com/watch?v=mw5VIEIvuMI
7,5,술이 문제야 (Drunk On Love),Jang Hye-jin & Yoon Min Soo,5,1358462,-13.2%,https://www.youtube.com/watch?v=XcbEM7j_ARQ
8,6,FANCY,TWICE,14,1304438,0.2%,https://www.youtube.com/watch?v=kOHB85vDuow
9,11,Boy With Luv (feat. Halsey),BTS,15,1157133,8.3%,https://www.youtube.com/watch?v=XsX3ATc3FbA
10,9,짐살라빔 (Zimzalabim),Red Velvet,5,1087910,-2.5%,https://www.youtube.com/watch?v=YBnGBb1wg98
11,7,Uh-Oh,(G)I-DLE,4,1070950,-13.2%,https://www.youtube.com/watch?v=I66oFXdf0KU
12,12,Señorita,Shawn Mendes & Camila Cabello,5,1043098,-0.7%,https://www.youtube.com/watch?v=Pkh8UtuejGw
13,,SHOWER,Norazo,1,952917,,https://www.youtube.com/watch?v=FaHAi8bMBjw
14,18,오늘도 빛나는 너에게 (To You My Light) (feat. Raon Lee),Maktub,6,920986,19.9%,https://www.youtube.com/watch?v=kNYA3H1jSSs
15,13,Kill This Love,BLACKPINK,16,915733,-1%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
16,16,달라달라(DALLA DALLA),ITZY,24,880478,8.6%,https://www.youtube.com/watch?v=pNfTK39k55U
17,15,A Whole New World,Mena Massoud & Naomi Scott,9,776381,-12.1%,https://www.youtube.com/watch?v=eitDnP0_83k
18,78,니 소식,Ha Yea Song(송하예),6,648120,255.4%,https://www.youtube.com/watch?v=eMZmNisWFvM
19,17,Fever(열대야),GFRIEND  ,3,632810,-20.7%,https://www.youtube.com/watch?v=Zll7O1v63aY
20,14,Birthday,JEON SOMI,6,607177,-31.3%,https://www.youtube.com/watch?v=oDJ4ct59NC4
21,,How Do You Sleep?,Sam Smith,1,519107,,https://www.youtube.com/watch?v=PmYypVozQb4
22,22,Violeta (비올레타),IZ*ONE,17,516772,5%,https://www.youtube.com/watch?v=6eEZ7DJMzuk
23,,Chica,CHUNG HA,1,490171,,https://www.youtube.com/watch?v=cXEwBtC5CcE
24,24,YES or YES,TWICE,38,480103,-0.4%,https://www.youtube.com/watch?v=mAKsZ26SabQ
25,23,'너에게 못했던 내 마지막 말은,Davichi,10,454915,-6.3%,https://www.youtube.com/watch?v=Jov5h_DuED4
26,26,U GOT IT,GOT U,3,454154,-0.5%,https://www.youtube.com/watch?v=SkG2EALh3gE
27,37,IDOL,BTS,48,453270,29%,https://www.youtube.com/watch?v=pBuZEGYXA6E
28,,What a life,EXO-SC,1,437127,,https://www.youtube.com/watch?v=AtNBhPxVwh0
29,21,We don't talk together (feat. GIRIBOY),Heize,3,436898,-12.7%,https://www.youtube.com/watch?v=ByHNlfmmT-w
30,20,If there was practice in love(사랑에 연습이 있었다면),"Lim JaeHyun, Moon SeongWook",17,421526,-18.7%,https://www.youtube.com/watch?v=JRdykduaHG0
31,25,You&I 인사,MeloMance,2,409853,-14.3%,https://www.youtube.com/watch?v=-zVL1JRDYxg
32,30,Rooftop (옥탑방),N.Flying,24,408935,-3.6%,https://www.youtube.com/watch?v=VpaUh_BGqE0
33,27,벌써 12시 (Gotta Go),CHUNG HA,30,408613,-8.1%,https://www.youtube.com/watch?v=HlN2BXNJzxA
34,31,La Vie en Rose,--,39,401648,7%,https://www.youtube.com/watch?v=WZwr2a_lFWY
35,35,눈 Snow,Lil Tachi & Hotchkiss,16,389915,8.1%,https://www.youtube.com/watch?v=-ZZ90fD86ok
36,52,Another Day,Monday Kiz & Punch,2,388398,32.3%,https://www.youtube.com/watch?v=G6tW8eKUR1E
