Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,달라달라(DALLA DALLA),ITZY,3,3225426,-40.9%,https://www.youtube.com/watch?v=pNfTK39k55U
2,2,TWIT (멍청이),Hwa Sa,3,1846620,-30%,https://www.youtube.com/watch?v=ScSn235gQx0
3,,Senorita,(G)I-DLE,1,1391639,,https://www.youtube.com/watch?v=2cevbhEqQF4
4,17,Rooftop (옥탑방),N.Flying,3,1294025,124.5%,https://www.youtube.com/watch?v=VpaUh_BGqE0
5,5,벌써 12시 (Gotta Go),CHUNG HA,9,1195904,11.8%,https://www.youtube.com/watch?v=HlN2BXNJzxA
6,3,YES or YES,TWICE,17,1079086,-9.5%,https://www.youtube.com/watch?v=mAKsZ26SabQ
7,4,이 노래가 클럽에서 나온다면 (Fire up),Woody,5,930847,-15.8%,https://www.youtube.com/watch?v=MBSpoTozBdg
8,6,SOLO,Jennie,16,869428,-11.4%,https://www.youtube.com/watch?v=b73BI9eUkjM
9,8,La Vie en Rose,--,18,755561,-11%,https://www.youtube.com/watch?v=WZwr2a_lFWY
10,7,신용재 (SHIN YONG JAE),HAEUN,16,739359,-19.3%,https://www.youtube.com/watch?v=Y0rK7r-30hs
11,10,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,49,704155,-5%,https://www.youtube.com/watch?v=1q_t6RNuH8c
12,11,IDOL,BTS,27,674845,-6.6%,https://www.youtube.com/watch?v=pBuZEGYXA6E
13,,IMJMWDP,IMJMWDP,1,656247,,https://www.youtube.com/watch?v=uwy5hGT6i7Q
14,12,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,11,628574,-3.9%,https://www.youtube.com/watch?v=0IaUogNqQqA
15,14,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,31,591297,-0.4%,https://www.youtube.com/watch?v=IHNzOHi8sJs
16,16,7 rings,Ariana Grande,6,520136,-10.3%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
17,21,What is Love?,TWICE,47,509259,3.6%,https://www.youtube.com/watch?v=i0p1bmr0EmE
18,9,We All Lie,Ha Jin,10,497445,-37.2%,https://www.youtube.com/watch?v=PdDfuWJc9dA
19,13,Dance The Night Away,TWICE,33,493548,-17.5%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
20,18,Me After You (너를 만나),--,18,488272,-13.1%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
21,20,How about you(너는 어땠을까),--,16,488105,-5%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
22,15,해야 (Sunrise),GFRIEND  ,7,456482,-22.4%,https://www.youtube.com/watch?v=iciFwCnsyY4
23,19,MILLIONS,WINNER,11,443352,-20.6%,https://www.youtube.com/watch?v=PALjhRpnfbk
24,23,Love Shot,EXO,11,441441,-6.3%,https://www.youtube.com/watch?v=pSudEWBAYRE
25,22,행복 (Happiness),OVAN,12,422183,-13.5%,https://www.youtube.com/watch?v=qGh0jk-f6to
