Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Psycho,Red Velvet,4,3445134,10.1%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
2,1,METEOR,CHANGMO,6,2037006,-47.6%,https://www.youtube.com/watch?v=abuTb3qMOsY
3,,Any song,ZICO,1,1932509,,https://www.youtube.com/watch?v=UuV2BmJ1p_I
4,3,HIP,MAMAMOO,9,1518861,-13.6%,https://www.youtube.com/watch?v=KhTeiaCezwM
5,4,블루밍 (Blueming),IU,9,1334908,-14.3%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
6,5,Где же ты?,Anna Buturlina & Elizaveta Paschenko,8,1055839,13.1%,https://www.youtube.com/watch?v=nrZxwPwmgrw
7,8,Feel Special,TWICE,17,688888,-6.1%,https://www.youtube.com/watch?v=3ymwOvzhwHs
8,6,Into the Unknown,Idina Menzel & Aurora,9,677952,-12.6%,https://www.youtube.com/watch?v=gIOyB9ZXn8s
9,9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey) (feat. Halsey),BTS,40,643727,5.5%,https://www.youtube.com/watch?v=XsX3ATc3FbA
10,7,LION,(G)I-DLE,12,607441,-19.4%,https://www.youtube.com/watch?v=6oanIo_2Z4Q
11,10,오늘도 빛나는 너에게 (To You My Light) (feat. Leeraon),Maktub,31,548037,-4.2%,https://www.youtube.com/watch?v=kNYA3H1jSSs
12,13,빌었어,CHANGMO,5,520060,-0.9%,https://www.youtube.com/watch?v=M2qpnwmpipI
13,11,FANCY,TWICE,39,484044,-9.6%,https://www.youtube.com/watch?v=kOHB85vDuow
14,14,Late Night(늦은 밤 너의 집 앞 골목길에서),Noel,10,476888,-8.9%,https://www.youtube.com/watch?v=kFhf7pjRRjA
15,15,Kill This Love,BLACKPINK,41,472850,-4.9%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
16,17,ICY,ITZY,25,465968,-1.5%,https://www.youtube.com/watch?v=zndvqTc4P9I
17,46,Yummy,Justin Bieber,2,457458,46.3%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
18,,Rebecca,Yang Joon-il,4,445055,,https://www.youtube.com/watch?v=izVhp8acB54
19,20,DALLA DALLA (달라달라),ITZY,49,441851,-3.4%,https://www.youtube.com/watch?v=pNfTK39k55U
20,25,Memories,Maroon 5,15,426387,3.1%,https://www.youtube.com/watch?v=SlPhMPnQ58k
21,16,Into the Unknown,Panic! At The Disco,9,417367,-15.4%,https://www.youtube.com/watch?v=jp-CVYGEsjg
22,29,Square (2017),Yerin Baek,6,412405,2.3%,https://www.youtube.com/watch?v=4iFP_wd6QU8
23,49,9와 4분의 3 승강장에서 너를 기다려 (Run Away),TOMORROW X TOGETHER,13,403154,33.2%,https://www.youtube.com/watch?v=6yWPfUz0z94
24,23,Love poem,IU,11,398992,-7.1%,https://www.youtube.com/watch?v=kcx0a2OAhN0
25,18,Come See Me,AOA,8,388971,-17.4%,https://www.youtube.com/watch?v=ixxWWKX4S_8
26,22,"I'MMA DO 아마두 (feat. Woo, Keem Hyo-eun, Nucksal & Huckleberry P)","YUMDDA, Deepflow, Paloalto, The Quiett & Simon Dominic",6,379179,-12%,https://www.youtube.com/watch?v=1Bv8MmIb9Mo
27,30,Daredevil(천둥벌거숭이) (feat. Jvcki Wai & YUMDDA),ZICO,16,376057,-4.9%,https://www.youtube.com/watch?v=yp26FJduCFc
28,24,Phocha,NC.A,30,374029,-12.5%,https://www.youtube.com/watch?v=wDq2W1fAnq4
29,32,"야망 (AMBITION) (feat. ASH ISLAND, Keem Hyo-eun, Hash Swan & CHANGMO)",Leellamarz,27,351201,-7.9%,https://www.youtube.com/watch?v=K7o4nYV0ns4
30,38,마음이 말하는 행복 (Happy Ending) (feat. Raon Lee),MAKTUB,3,348723,2.1%,https://www.youtube.com/watch?v=6whdylCWcr8
31,43,DANCE MONKEY,Tones and I,8,348529,6.7%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
32,55,Dark Cloud (먹구름),Younha,2,344763,23.6%,https://www.youtube.com/watch?v=hrO-BgLjJ-Q
33,26,Obsession,EXO,8,343029,-16.8%,https://www.youtube.com/watch?v=uxmP4b2a0uY
34,35,bad guy,Billie Eilish,42,341962,-5.9%,https://www.youtube.com/watch?v=DyDfgMOUjCI
