Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,How You Like That,BLACKPINK,4,4449472,-12.2%,https://www.youtube.com/watch?v=ioNng23DkIM
2,3,Maria (마리아),Hwa Sa,4,2451961,44%,https://www.youtube.com/watch?v=tDukIfFzX18
3,,여름 안에서 (feat. 황광희),SSAK3,1,2150556,,https://www.youtube.com/watch?v=OWo0iOkI_Zk
4,2,Monster,"Red Velvet, Irene & SEULGI",3,1527586,-36.6%,https://www.youtube.com/watch?v=Ujb-gvqsoi0
5,5,보라빛 밤 (pporappippam),SUNMI,4,1357328,-1.8%,https://www.youtube.com/watch?v=Is7glC9Jp7Q
6,6,PLAY (feat. CHANGMO),CHUNG HA,3,1165705,-8.1%,https://www.youtube.com/watch?v=UsvoDgmfUwc
7,7,Summer Hate (Feat. Rain(비)) (feat. Rain(비)),Zico,4,1156469,-0.6%,https://www.youtube.com/watch?v=oKUEbsJDvuo
8,8,살짝 설렜어 (Nonstop),OH MY GIRL,13,1041979,-7.8%,https://www.youtube.com/watch?v=iDjQSdN_ig8
9,14,곡예사 (Acrobat),Gwangil Jo,10,955910,15.7%,https://www.youtube.com/watch?v=aKuS6T2SZoI
10,9,에잇 (feat. SUGA of BTS),IU,12,949498,-4.8%,https://www.youtube.com/watch?v=TgOu00Mf3kI
11,10,Dolphin,OH MY GIRL,13,820597,-15.1%,https://www.youtube.com/watch?v=oaRTMjLdiDw
12,4,Apple,GFRIEND  ,2,780891,-48%,https://www.youtube.com/watch?v=XQSse3b2ge4
13,11,MORE & MORE,TWICE,8,769893,-19.8%,https://www.youtube.com/watch?v=mH0_XpSHkZo
14,,What You Waiting For,JEON SOMI,1,763736,,https://www.youtube.com/watch?v=lBYyAQ99ZFI
15,16,DANCE MONKEY,Tones and I,35,762048,0.2%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
16,13,WANNABE,ITZY,20,750233,-11.6%,https://www.youtube.com/watch?v=fE2h3lGlOsk
17,18,블루밍 (Blueming),IU,36,749330,7.5%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
18,12,환상동화 (Secret Story of the Swan),IZ*ONE,6,747948,-19%,https://www.youtube.com/watch?v=nnVjsos40qk
19,24,Left & Right,SEVENTEEN,5,628676,1.7%,https://www.youtube.com/watch?v=HdZdxocqzq4
20,17,Error (feat. Loopy),ASH ISLAND,3,625773,-14.6%,https://www.youtube.com/watch?v=JMw_cyEjNUw
21,21,아로하 (Aloha),CHO JUNG SEOK,17,602819,-4.7%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
22,25,METEOR,CHANGMO,33,599620,-1.7%,https://www.youtube.com/watch?v=abuTb3qMOsY
23,39,Make you happy,NiziU,4,594763,54.7%,https://www.youtube.com/watch?v=QW28YKqdxe0
24,20,ON,BTS,22,594292,-6.2%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
25,19,Psycho,Red Velvet,31,592944,-6.7%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
26,26,Any song,ZICO,28,575175,-3.5%,https://www.youtube.com/watch?v=UuV2BmJ1p_I
27,,우리집 (My House),2PM,21,562346,,https://www.youtube.com/watch?v=u2pFB1dCSo4
28,27,Memories,Maroon 5,42,541313,-4.2%,https://www.youtube.com/watch?v=SlPhMPnQ58k
29,29,사랑하게 될 줄 알았어 (I Knew I Love),전미도,9,517312,-6.8%,https://www.youtube.com/watch?v=rOCymN-Rwiw
30,,놀이 (Naughty),Red Velvet - IRENE & SEULGI,1,506692,,https://www.youtube.com/watch?v=wCWoUUWwdqg
31,31,어떻게 지내 (I Need You),OVAN,20,504829,0.6%,https://www.youtube.com/watch?v=rVXeArOQIs4
32,28,돌덩이,Ha Hyun Woo,22,499637,-10.7%,https://www.youtube.com/watch?v=kmUBHak9HD4
33,23,깡 GANG,Rain,21,492382,-21.1%,https://www.youtube.com/watch?v=xqFvYsy4wE4
34,30,Into the I-LAND,IU,5,476520,-11.4%,https://www.youtube.com/watch?v=QYNwbZHmh8g
35,22,Downtown Baby,BLOO,6,471792,-24.6%,https://www.youtube.com/watch?v=P07XG1P0ums
36,32,FIESTA,IZ*ONE,23,460434,-7.7%,https://www.youtube.com/watch?v=eDEFolvLn0A
37,33,시작,Gaho,24,432895,-9.9%,https://www.youtube.com/watch?v=O0StKlRHVeE
38,37,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,40,400611,2.8%,https://www.youtube.com/watch?v=YBEUXfT7_48
39,44,오래된 노래,Standing Egg,7,394335,9%,https://www.youtube.com/watch?v=JVIKowQZEdk
40,40,웨이백홈 (Way Back Home),SHAUN,33,385555,0.6%,https://www.youtube.com/watch?v=amOSaNX7KJg
41,36,"너에게 난, 나에게 넌",Mido and Falasol,8,378818,-8.6%,https://www.youtube.com/watch?v=tLGHKyZs0Gk
42,47,덤더럼 (Dumhdurum),Apink,15,378459,8.3%,https://www.youtube.com/watch?v=WqzTRK5GPWQ
43,43,HIP,MAMAMOO,36,361682,-0.1%,https://www.youtube.com/watch?v=KhTeiaCezwM
44,,왜 Keep Your Head Down,TVXQ!,1,358827,,https://www.youtube.com/watch?v=djJb5iSL0Do
45,,Sorry,Justin Bieber,5,358787,,https://www.youtube.com/watch?v=fRh_vgS2dFE
46,,Y,MBLAQ,1,340955,,https://www.youtube.com/watch?v=9hRAETYJ7-4
47,73,OHIO,Crush,2,340459,47.4%,https://www.youtube.com/watch?v=aHiRDqsz7uI
48,50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak, you`re the one I love)",AKMU,24,338374,9.5%,https://www.youtube.com/watch?v=m3DZsBw5bnE
49,,다시 여기 바닷가 (Beach Again),싹쓰리,1,337478,,https://www.youtube.com/watch?v=JAy88PDxMIM
50,15,To You 2020,TEEN TOP,2,336608,-57.5%,https://www.youtube.com/watch?v=raxSZ4XEVnc
