Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,FAKE LOVE,BTS,1,9103847,,https://www.youtube.com/watch?v=cibTjNJkaMk
2,2,밤 (Time for the moon night),GFRIEND  ,4,4172870,21.1%,https://www.youtube.com/watch?v=_XyBa8QsVQU
3,1,What is Love?,TWICE,7,3348457,-17.7%,https://www.youtube.com/watch?v=i0p1bmr0EmE
4,5,LOVE SCENARIO,iKON,18,1842585,1.1%,https://www.youtube.com/watch?v=vecSVX1QYbQ
5,3,BBoom BBoom(뿜뿜),MOMOLAND,20,1819246,-11.7%,https://www.youtube.com/watch?v=JQGRg8XBnB4
6,6,지나오다,Nilo,8,1603399,4.1%,https://www.youtube.com/watch?v=
7,8,Shine(빛나리),PENTAGON,6,1402602,4.8%,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
8,7,붕붕 (feat. Sik-K),HAON,6,1276924,-7%,https://www.youtube.com/watch?v=cDq1vUwM21k
9,,The Truth Untold (feat. Steve Aoki),BTS,1,1270052,,https://www.youtube.com/watch?v=ITc-om9SVr4
10,9,You,MeloMance,10,1045352,-5%,https://www.youtube.com/watch?v=jG2YdnrYFdo
11,11,My Way,ISU,26,981371,-2.9%,https://www.youtube.com/watch?v=lXi8y3g4PP4
12,10,Starry Night(별이 빛나는 밤),MAMAMOO,12,866663,-20.5%,https://www.youtube.com/watch?v=LjUXm0Zy_dk
13,13,Bad Boy,Red Velvet,18,836091,5.9%,https://www.youtube.com/watch?v=J_CFBjAyPWE
14,12,Roller Coaster,CHUNG HA,19,717741,-10.9%,https://www.youtube.com/watch?v=900X9fDFLc4
15,14,EVERYDAY,WINNER,8,695182,-8.8%,https://www.youtube.com/watch?v=d1D1SJ-KqaQ
16,36,DNA,BTS,36,656608,86.4%,https://www.youtube.com/watch?v=MBdVXkSdhwU
17,27,BOOMERANG (부메랑),Wanna One,10,624678,50.6%,https://www.youtube.com/watch?v=pmMjkMtpnTc
18,20,넋두리,--,8,596789,10.1%,https://www.youtube.com/watch?v=C2Joup07VbA
19,17,마지막처럼 (As If It's Your Last),BLACKPINK,49,581548,-0.7%,https://www.youtube.com/watch?v=Amq-qlqbjYA
20,,Anpanman,BTS,1,559502,,https://www.youtube.com/watch?v=EBf6lwkChnQ
21,,SELFISH (feat. Seulgi),Moonbyul,1,551223,,https://www.youtube.com/watch?v=QG8bUKBT9FI
22,18,Heart Shaker,TWICE,25,543588,-1.3%,https://www.youtube.com/watch?v=rRzxEiBLQCA
23,24,그날처럼 (Good old days),Jang Deok Cheol,21,533002,17.4%,https://www.youtube.com/watch?v=v6_GwXU1lkg
24,16,Just Friends(욕심),MeloMance,4,509605,-19.5%,https://www.youtube.com/watch?v=2N1Y9RxAsxg
25,21,그때 헤어지면 돼 (Only then),Roy Kim,11,494526,-1.3%,https://www.youtube.com/watch?v=SkN_hWI6n28
26,15,This Is America,Childish Gambino,3,487148,-23.9%,https://www.youtube.com/watch?v=VYOjWnS4cMY
27,,Magic Shop,BTS,1,484324,,https://www.youtube.com/watch?v=38k5zr1e0HI
28,23,Likey,TWICE,30,466064,-3.2%,https://www.youtube.com/watch?v=V2hlQkVJZhE
29,29,결혼 (Marriage),MoonMoon,10,451451,12.3%,https://www.youtube.com/watch?v=TAnNI_m36YY
30,32,달리 (Dally) (feat. GRAY),Hyolyn,4,440658,15.2%,https://www.youtube.com/watch?v=AoZFLCy-P-8
31,,Pied Piper,BTS,1,440423,,https://www.youtube.com/watch?v=Aaoi8KfLYEg
32,31,Havana (feat. Young Thug),Camila Cabello,30,425790,8.5%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
33,25,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,9,419966,-5.3%,https://www.youtube.com/watch?v=1q_t6RNuH8c
34,,134340,BTS,1,418508,,https://www.youtube.com/watch?v=lu0XVRP_Bfc
35,34,HandClap,Fitz and The Tantrums,18,418416,15.7%,https://www.youtube.com/watch?v=Y2V6yjjPbX0
36,,Love Maze,BTS,1,385764,,https://www.youtube.com/watch?v=n_R0-YosZ3g
37,33,Red Flavor (빨간 맛),Red Velvet,46,383984,2%,https://www.youtube.com/watch?v=WyiIGEHQP8o
38,41,가을 안부 (When Autumn Comes),Monday Kiz,23,374651,8.8%,https://www.youtube.com/watch?v=rGVRvhm7ddk
39,39,비행운 (Contrail),MoonMoon,27,371570,6.6%,https://www.youtube.com/watch?v=FvOBwRWaGZg
40,26,꽃 길 (FLOWER ROAD),BIGBANG,11,355817,-19.2%,https://www.youtube.com/watch?v=VWqxvBQKwKQ
41,22,잊을만하면,Crush,3,355191,-28.4%,https://www.youtube.com/watch?v=13xy-si_o6c
42,46,이 별 (Star),GB9,25,353864,17.1%,https://www.youtube.com/watch?v=kgspMLLZosE
43,,So What,BTS,1,343179,,https://www.youtube.com/watch?v=zdLvqiOmWq4
44,,불타오르네 (FIRE),BTS,38,337103,,https://www.youtube.com/watch?v=cbSy36fu6Pk
45,38,It's Not Love If It Hurts Too Much,Čo U-džong,18,334943,-4.1%,https://www.youtube.com/watch?v=
46,44,all of my life,PARK WON,34,334282,8.8%,https://www.youtube.com/watch?v=CbNmRJCkwQs
47,40,바코드  (Bar Code),HAON & VINXEN,8,332934,-4.1%,https://www.youtube.com/watch?v=dDeewpPQOK0
48,35,피카부 (Peek-A-Boo),Red Velvet,27,332699,-6.6%,https://www.youtube.com/watch?v=6uJf2IT2Zh8
49,49,시차 (We Are) (feat. Loco & GRAY),Woo,29,326670,12.5%,https://www.youtube.com/watch?v=RsHq6Q-7NsU
50,42,선물 (Gift),MeloMance,33,314746,-8.5%,https://www.youtube.com/watch?v=qYYJqWsBb1U
51,19,SINKING DOWN WITH U,VINXEN,3,313388,-42.5%,https://www.youtube.com/watch?v=Wfg2tclBraQ
52,,Like OOH-AHH(OOH-AHH하게),TWICE,49,309928,,https://www.youtube.com/watch?v=0rtV5esQT6I
53,51,Havana,J.Fla,8,306542,6.9%,https://www.youtube.com/watch?v=i1R4R84-EPA
54,57,어린 왕자 (The Little Prince),HAON & PULLIK (Park Jun Ho),8,300817,12.2%,https://www.youtube.com/watch?v=Wd4M_r4cDYQ
55,50,lie (미안해),Yang Da Il,10,294780,1.9%,https://www.youtube.com/watch?v=1icPJAhI2TA
56,47,눈 떠보니 이별이더라 (Break Up In The Morning),4MEN,19,294256,0.2%,https://www.youtube.com/watch?v=3nqkdt2vvME
57,,DOPE(쩔어),BTS,29,293181,,https://www.youtube.com/watch?v=BVwAVbKYYeM
58,43,no tears left to cry,Ariana Grande,5,289870,-13.9%,https://www.youtube.com/watch?v=ffxKSjUwKdU
59,63,Palette(팔레트) (feat. G-DRAGON),IU,27,288241,28.7%,https://www.youtube.com/watch?v=d9IxdwEFk1c
60,52,Rolling in the Deep,Adele,11,284131,2.2%,https://www.youtube.com/watch?v=rYEDA3JcQqw
61,85,북,Rohann & Chin Chillah,8,271122,67%,https://www.youtube.com/watch?v=T4XkrOz4tnY
62,,Rookie,Red Velvet,31,260190,,https://www.youtube.com/watch?v=J0h8-OTC38I
63,37,그날의 너 (That day),LOVELYZ,5,258748,-26.1%,https://www.youtube.com/watch?v=40Z9-kr504w
64,53,셀럽파이브 (셀럽이 되고 싶어),Celeb Five,18,255152,-7.7%,https://www.youtube.com/watch?v=mmEmYdnGKdY
65,54,바나나 알러지 원숭이,Oh My Girl Banhana,8,252435,-8.1%,https://www.youtube.com/watch?v=kaXXmahtxXQ
66,,OUTRO.,BTS,1,238827,,https://www.youtube.com/watch?v=LKyZeS85aLM
67,78,FRIENDS,Marshmello & Anne-Marie,13,233018,28%,https://www.youtube.com/watch?v=jzD_yyEcp0M
68,48,花요일 (Blooming Day),EXO-CBX,7,232316,-20.5%,https://www.youtube.com/watch?v=Ib674A1yMtg
69,72,Counting Stars,OneRepublic,12,231956,15.6%,https://www.youtube.com/watch?v=hT_nvWreIhg
70,68,"눈, 코, 입 (EYES, NOSE, LIPS)",TAEYANG,21,228776,10.9%,https://www.youtube.com/watch?v=UwuAPyOImoI
71,56,위아래 (Up & Down),EXID,20,217422,-19.1%,https://www.youtube.com/watch?v=hfXZ6ydgZyo
72,74,Thunder,Imagine Dragons,18,216382,10.4%,https://www.youtube.com/watch?v=fKopy74weus
