Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,How You Like That,BLACKPINK,7,2346766,-24.4%,https://www.youtube.com/watch?v=ioNng23DkIM
2,3,덤디덤디 (DUMDi DUMDi),(G)I-DLE,2,2337075,-16.3%,https://www.youtube.com/watch?v=HPQ5mqovXHo
3,2,눈누난나 (NUNU NANA),Jessi,2,2120703,-29.1%,https://www.youtube.com/watch?v=tJQaUW36pMw
4,4,다시 여기 바닷가 (Beach Again),싹쓰리,4,1871778,-23%,https://www.youtube.com/watch?v=JAy88PDxMIM
5,5,Maria (마리아),Hwa Sa,7,1491188,-23.9%,https://www.youtube.com/watch?v=tDukIfFzX18
6,7,살짝 설렜어 (Nonstop),OH MY GIRL,16,1061900,0.6%,https://www.youtube.com/watch?v=iDjQSdN_ig8
7,,When We Disco,J.Y. Park  & SUNMI,1,1017541,,https://www.youtube.com/watch?v=zrsBjYukE8s
8,8,Dolphin,OH MY GIRL,16,950625,4.2%,https://www.youtube.com/watch?v=oaRTMjLdiDw
9,12,블루밍 (Blueming),IU,39,864504,7.2%,https://www.youtube.com/watch?v=D1PvIWdJ8xo
10,11,에잇 (feat. SUGA of BTS),IU,15,766137,-10.3%,https://www.youtube.com/watch?v=TgOu00Mf3kI
11,16,WANNABE,ITZY,23,750131,5.5%,https://www.youtube.com/watch?v=fE2h3lGlOsk
12,6,PLAY (feat. CHANGMO),CHUNG HA,6,711271,-35.4%,https://www.youtube.com/watch?v=UsvoDgmfUwc
13,10,Summer Hate (Feat. Rain(비)) (feat. Rain(비)),Zico,7,710373,-20.8%,https://www.youtube.com/watch?v=oKUEbsJDvuo
14,9,여름 안에서 (feat. 황광희),SSAK3,4,657423,-27.9%,https://www.youtube.com/watch?v=OWo0iOkI_Zk
15,15,Monster,"Red Velvet, Irene & SEULGI",6,647625,-16.5%,https://www.youtube.com/watch?v=Ujb-gvqsoi0
16,14,보라빛 밤 (pporappippam),SUNMI,7,625230,-21%,https://www.youtube.com/watch?v=Is7glC9Jp7Q
17,18,What You Waiting For,JEON SOMI,4,625153,-5.4%,https://www.youtube.com/watch?v=lBYyAQ99ZFI
18,20,곡예사 (Acrobat),Gwangil Jo,13,610250,-5.9%,https://www.youtube.com/watch?v=aKuS6T2SZoI
19,23,DANCE MONKEY,Tones and I,38,600246,-2.1%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
20,19,MORE & MORE,TWICE,11,599522,-8.9%,https://www.youtube.com/watch?v=mH0_XpSHkZo
21,17,ON,BTS,25,599257,-14.9%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
22,13,홀로 (HOLO),Lee Hi,3,580200,-27%,https://www.youtube.com/watch?v=VdeK_VsG9U0
23,,WAP (feat. Megan Thee Stallion),Cardi B,1,576664,,https://www.youtube.com/watch?v=hsm4poTWjMs
24,91,LINDA (feat. Yoon Mi-rae),LINDA.G,2,571379,206%,https://www.youtube.com/watch?v=ydEBMtdKuAA
25,25,아로하 (Aloha),CHO JUNG SEOK,20,550040,-5.1%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
26,26,Psycho,Red Velvet,34,530342,-1.7%,https://www.youtube.com/watch?v=uR8Mrt1IpXg
27,27,METEOR,CHANGMO,36,508322,-2.1%,https://www.youtube.com/watch?v=abuTb3qMOsY
28,24,환상동화 (Secret Story of the Swan),IZ*ONE,9,495955,-17.5%,https://www.youtube.com/watch?v=nnVjsos40qk
29,,FAKE LOVE,BTS,49,476617,,https://www.youtube.com/watch?v=7C2z4GqqS5E
30,33,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,Jang Beom June,43,469936,3.7%,https://www.youtube.com/watch?v=YBEUXfT7_48
31,34,취기를 빌려 (Slightly Tipsy),Sandeul,3,459998,2.3%,https://www.youtube.com/watch?v=2COAu1l6hUQ
32,,아틀란티스 소녀 (Atlantis Princess),BOL4,1,451967,,https://www.youtube.com/watch?v=5GF7sjWcKko
33,32,돌덩이,Ha Hyun Woo,25,441603,-3%,https://www.youtube.com/watch?v=kmUBHak9HD4
34,30,어떻게 지내 (I Need You),OVAN,23,440706,-7.1%,https://www.youtube.com/watch?v=rVXeArOQIs4
35,28,Any song,ZICO,31,438500,-13%,https://www.youtube.com/watch?v=UuV2BmJ1p_I
36,35,FIESTA,IZ*ONE,26,423221,-3.4%,https://www.youtube.com/watch?v=eDEFolvLn0A
37,53,오래된 노래,Standing Egg,10,413320,27.5%,https://www.youtube.com/watch?v=JVIKowQZEdk
38,31,Error (feat. Loopy),ASH ISLAND,6,409861,-11.2%,https://www.youtube.com/watch?v=JMw_cyEjNUw
39,38,사랑하게 될 줄 알았어 (I Knew I Love),전미도,12,406864,-4.9%,https://www.youtube.com/watch?v=rOCymN-Rwiw
40,37,시작,Gaho,27,401416,-6.7%,https://www.youtube.com/watch?v=O0StKlRHVeE
41,29,Now or Never,APRIL,2,390030,-19.5%,https://www.youtube.com/watch?v=i0bA3fFmIMY
42,40,Memories,Maroon 5,45,378934,-8.9%,https://www.youtube.com/watch?v=SlPhMPnQ58k
43,50,DESSERT (feat. Loopy & Soyeon),HYO,4,376295,7.5%,https://www.youtube.com/watch?v=4VmLuWDkHYQ
44,39,깡 GANG,Rain,24,357654,-15.6%,https://www.youtube.com/watch?v=xqFvYsy4wE4
45,62,신난다 (feat. MAMAMOO),B.RYONG,2,356550,43.2%,https://www.youtube.com/watch?v=tX8CrN7gvuU
46,45,비밀정원 (Secret Garden),OH MY GIRL,35,350282,-4.1%,https://www.youtube.com/watch?v=QIN5_tJRiyY
47,,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak, you`re the one I love)",AKMU,26,343215,,https://www.youtube.com/watch?v=m3DZsBw5bnE
