Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,LALISA,LISA,1,5241811,,https://www.youtube.com/watch?v=awkkyBH2zEo
2,1,Next Level,aespa,18,3348666,-12.6%,https://www.youtube.com/watch?v=4TWR90KJl84
3,2,Butter,BTS,17,2528000,-3.2%,https://www.youtube.com/watch?v=WMweEpGlu_U
4,5,색안경 (STEREOTYPE),STAYC,2,2436477,10.2%,https://www.youtube.com/watch?v=Xmxcnf2v_gs
5,4,STAY,The Kid Laroi & Justin Bieber,10,2171712,-4.4%,https://www.youtube.com/watch?v=kTJczUoc26U
6,3,Queendom,Red Velvet,5,2171347,-13.2%,https://www.youtube.com/watch?v=c9RzZpV460k
7,86,PING PONG,HyunA & 던 Dawn,2,1704327,552.6%,https://www.youtube.com/watch?v=0aaeUI1ucfQ
8,7,DUMB DUMB,JEON SOMI,7,1599008,-7.4%,https://www.youtube.com/watch?v=tg2uF3R_Ozo
9,6,Permission to Dance,BTS,10,1591422,-10.3%,https://www.youtube.com/watch?v=CuklIb9d3fI
10,,빨간 립스틱 (feat. Yoon Mi-rae),Lee Hi,1,1546190,,https://www.youtube.com/watch?v=GLlP-CNlY9I
11,9,Weekend,TAEYEON,11,1452153,-2.4%,https://www.youtube.com/watch?v=RmuL-BPFi2Q
12,10,신호등,Lee Mujin,18,1356264,-2.2%,https://www.youtube.com/watch?v=9Ibf10h9U0c
13,12,OHAYO MY NIGHT,디핵 (D-Hack) & Pateko,15,1300362,2.7%,https://www.youtube.com/watch?v=9Unrl9Yi55s
14,8,은근히 낯가려요 (feat. RAVI),BOOKKU DDOONG,3,1296007,-15.2%,https://www.youtube.com/watch?v=DtTejicVcv0
15,14,낙하(NAKKA),AKMU & IU,8,1139720,-1.1%,https://www.youtube.com/watch?v=EtiPbWzUY9o
16,13,ASAP,STAYC,23,1130162,-2.3%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
17,18,시간을 거슬러 (낮에 뜨는 달 X 케이윌),K.Will,2,1075305,13.3%,https://www.youtube.com/watch?v=kkM3aNP3YbQ
18,15,Dun Dun Dance,OH MY GIRL,19,1035779,-9.2%,https://www.youtube.com/watch?v=HzOjwL7IP_o
19,16,롤린 (Rollin'),Brave Girls,34,901210,-8.6%,https://www.youtube.com/watch?v=nw6mcjNlh8E
20,17,Celebrity,IU,34,894404,-7.1%,https://www.youtube.com/watch?v=0-q1KafFCLU
21,19,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,28,877736,-5.5%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
22,23,다정히 내 이름을 부르면 (If you lovingly call my name),GyeongseoYeji & Gunho Jeon,13,858590,8%,https://www.youtube.com/watch?v=z127C11tKsg
23,49,Better,BoA,6,841363,91.7%,https://www.youtube.com/watch?v=fOxl2OIOVII
24,21,Bad Habits,Ed Sheeran,12,831758,-0.4%,https://www.youtube.com/watch?v=orJSJGHjBLI
25,25,Lovesick Girls,BLACKPINK,50,810524,3.1%,https://www.youtube.com/watch?v=dyRsYk0LyA8
26,24,LILAC,IU,26,806113,2.4%,https://www.youtube.com/watch?v=v7bnOxV4jAc
27,27,사이렌 (Siren) [Remix],Homies,35,766417,3.7%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
28,22,Alcohol-Free,TWICE,15,753055,-8.6%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
29,20,Convenience store (편의점),Lee Chanwon,3,738383,-14.9%,https://www.youtube.com/watch?v=eOGWrABwPSE
30,26,Black Mamba,aespa,44,723260,-6.6%,https://www.youtube.com/watch?v=ZeerrnuLi5E
31,29,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,26,692627,-5.1%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
32,,Lemonade,NCT 127,1,666819,,https://www.youtube.com/watch?v=MmUNXU77waQ
33,30,비와 당신 (Rain and You),Lee Mujin,13,660900,-4.4%,https://www.youtube.com/watch?v=sCmcSBsTxQc
34,31,HAPPEN (헤픈 우연),Heize,18,622834,-8.5%,https://www.youtube.com/watch?v=AJPLgrfBiBo
35,34,좋아좋아 (I Like You),CHO JUNG SEOK,9,617277,3.8%,https://www.youtube.com/watch?v=poiZpOXZXN8
36,35,고백,MeloMance,3,556823,-4.8%,https://www.youtube.com/watch?v=IgPcbE--mMA
37,,산책,Yerin Baek,1,537844,,https://www.youtube.com/watch?v=t9aZFgD0mic
38,42,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,30,532527,12.9%,https://www.youtube.com/watch?v=YJInKpVsBQA
39,39,In the morning,ITZY,20,510752,2.4%,https://www.youtube.com/watch?v=_ysomCGaZLw
40,33,소리꾼 (Thunderous),Stray Kids,4,500076,-22.9%,https://www.youtube.com/watch?v=EaswWiwMVs8
41,37,안녕 (Hello),JOY,16,486796,-4.8%,https://www.youtube.com/watch?v=lNvBbh5jDcA
42,,머리어깨무릎발 (H.S.K.T.) (feat. Wonstein),Lee Hi,1,486770,,https://www.youtube.com/watch?v=ww9hZfgC2d8
