Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Celebrity,IU,2,8197645,101.4%,https://www.youtube.com/watch?v=0-q1KafFCLU
2,7,I’m Not Cool,HyunA,2,3003196,259.7%,https://www.youtube.com/watch?v=_yXEnhyOTQo
3,2,Dynamite,BTS,24,2326847,1%,https://www.youtube.com/watch?v=gdZLi9oWNZg
4,3,화 (火花) [HWAA],(G)I-DLE,4,1570616,-8.9%,https://www.youtube.com/watch?v=z3szNvgQxHo
5,4,Lovesick Girls,BLACKPINK,18,1428157,-0.9%,https://www.youtube.com/watch?v=dyRsYk0LyA8
6,5,Panorama,IZ*ONE,9,1333203,3.7%,https://www.youtube.com/watch?v=G8GaQdW2wHc
7,6,Black Mamba,aespa,12,857979,-4.1%,https://www.youtube.com/watch?v=ZeerrnuLi5E
8,,GOOD GIRL,HyunA,1,826904,,https://www.youtube.com/watch?v=1scbHXpB6OM
9,9,I CAN'T STOP ME,TWICE,15,815095,8%,https://www.youtube.com/watch?v=CM4CkVFmTds
10,10,밤하늘의 별을 (Shiny Star),KyoungSeo,12,744838,5.6%,https://www.youtube.com/watch?v=NuTNPV72rFo
11,8,How You Like That,Sup I'm Bianca,32,744738,-9.4%,https://www.youtube.com/watch?v=ioNng23DkIM
12,25,WANNABE,ITZY,48,726278,37.3%,https://www.youtube.com/watch?v=fE2h3lGlOsk
13,18,에잇 (feat. SUGA of BTS),IU,40,717424,22.7%,https://www.youtube.com/watch?v=TgOu00Mf3kI
14,12,Life Goes On,BTS,11,701592,2.4%,https://www.youtube.com/watch?v=-5q5mZbe3V8
15,14,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,16,637784,2.5%,https://www.youtube.com/watch?v=YJInKpVsBQA
16,11,테스형!,Na Hoon-a,19,628154,-9.6%,https://www.youtube.com/watch?v=MRrXRlVd0P0
17,22,34+35,Ariana Grande,13,617331,12.2%,https://www.youtube.com/watch?v=B6_iQvaIjXw
18,30,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,2,600263,32.7%,https://www.youtube.com/watch?v=Y_8aUSyNM9Y
19,17,잠이 오질 않네요,Jang Beom June,15,583593,-1.5%,https://www.youtube.com/watch?v=K0qKtn5VPUE
20,32,HERO,Lim Young-woong,14,578734,29.5%,https://www.youtube.com/watch?v=4jXLHKMRA-E
21,20,취기를 빌려 (Slightly Tipsy),Sandeul,28,569782,0.6%,https://www.youtube.com/watch?v=2COAu1l6hUQ
22,27,D-D-DANCE,IZ*ONE,2,564404,15.9%,https://www.youtube.com/watch?v=BzVCaXkR6Gc
23,23,살짝 설렜어 (Nonstop),OH MY GIRL,41,545349,-0.7%,https://www.youtube.com/watch?v=iDjQSdN_ig8
24,19,MAGO,GFRIEND  ,13,534742,-6.8%,https://www.youtube.com/watch?v=LmBYPXGqtss
25,13,"존시나 (feat. Northfacegawd, JUSTHIS & Layone)",YUMDDA,9,514736,-23.9%,https://www.youtube.com/watch?v=KT5nEChOISs
26,66,Ashes,Stellar,2,501757,106.6%,https://www.youtube.com/watch?v=1NnT8RjQHg8
27,15,Sequence,IZ*ONE,7,442744,-26.6%,https://www.youtube.com/watch?v=xond2K-7fjQ
28,34,When We Disco,J.Y. Park  & SUNMI,26,431377,2.7%,https://www.youtube.com/watch?v=zrsBjYukE8s
29,16,Not Shy,ITZY,24,405628,-31.6%,https://www.youtube.com/watch?v=wTowEKjDGkU
30,63,소우주 (Mikrokosmos),BTS,8,404204,62.6%,https://www.youtube.com/watch?v=Fw7C6IsDYgI
31,37,사이렌 (Siren) [Remix],Homies,3,399170,2.5%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
32,21,시작,Gaho,41,395709,-28.5%,https://www.youtube.com/watch?v=O0StKlRHVeE
33,52,Pretty Savage,BLACKPINK,18,392553,26.9%,https://www.youtube.com/watch?v=F8c8f2nK82w
34,,Madeleine Love,CHEEZE,1,387248,,https://www.youtube.com/watch?v=r6KCneCFVRs
35,41,범 내려 온다 (Tiger is Coming) [Live],LEENALCHI,21,370990,0.3%,https://www.youtube.com/watch?v=t0BHhqw_Ecc
36,38,어떻게 지내 (I Need You),OVAN,48,366754,-3.1%,https://www.youtube.com/watch?v=rVXeArOQIs4
37,81,Odd Eye,Dreamcatcher,2,354706,63%,https://www.youtube.com/watch?v=1QD0FeZyDtQ
38,46,딩가딩가 (Dingga),MAMAMOO,16,354171,2.8%,https://www.youtube.com/watch?v=dfl9KIX1WpU
39,,덤디덤디 (DUMDi DUMDi),(G)I-DLE,24,351886,,https://www.youtube.com/watch?v=HPQ5mqovXHo
40,39,아로하 (Aloha),CHO JUNG SEOK,42,346407,-8.2%,https://www.youtube.com/watch?v=3DOkxQ3HDXE
41,60,What Do I Call You,TAEYEON,8,339930,28.5%,https://www.youtube.com/watch?v=5LbFdY6vGsQ
42,47,Maria (마리아),Hwa Sa,30,336295,-1.7%,https://www.youtube.com/watch?v=tDukIfFzX18
43,28,Make A Wish (Birthday Song),NCT U,17,335100,-28%,https://www.youtube.com/watch?v=tyrVtwE8Gv0
44,49,Ice Cream,BLACKPINK & Selena Gomez,22,334837,1%,https://www.youtube.com/watch?v=vRXZj0DzXIA
45,45,ON,BTS,50,331549,-4.9%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
46,79,Burn The House Down,AJR,2,331086,50.4%,https://www.youtube.com/watch?v=UnyLfqpyi94
47,,Play With Life,Hwa Sa,1,328367,,https://www.youtube.com/watch?v=Z7eKVpkATo8
48,24,Rosario (feat. CL & ZICO),EPIK HIGH,3,326399,-39%,https://www.youtube.com/watch?v=FCsLikmxhV0
49,42,Your Lights,ISU,4,325234,-9.8%,https://www.youtube.com/watch?v=4m5af6FFHtg
50,80,곡예사 (Acrobat),Gwangil Jo,31,323397,47.3%,https://www.youtube.com/watch?v=aKuS6T2SZoI
51,33,나로 바꾸자 (Switch to me) (feat. J.Y. Park ),Rain,6,317228,-25.8%,https://www.youtube.com/watch?v=-Bf_BB9iTNI
52,,Killer,Valerie Broussard,1,310155,,https://www.youtube.com/watch?v=HBuyabH6F-0
53,43,SO BAD,STAYC,13,307653,-13.4%,https://www.youtube.com/watch?v=gMe1c4UegBY
54,,Eat My Love (사랑의 묘약),BIBI,1,306810,,https://www.youtube.com/watch?v=efVP-awtMMc
55,29,"Achoo Remix (feat. pH-1, Muchman, Skinny Brown, Louie, Leellamarz, Ourealgoat & Dbo)",Groovy Room & JUSTHIS,4,301945,-34.7%,https://www.youtube.com/watch?v=P2ICs5maFM0
56,53,AYA,MAMAMOO,14,300359,-1.4%,https://www.youtube.com/watch?v=UoI9riNffEU
57,48,잊었니,Sohyang,4,299625,-12%,https://www.youtube.com/watch?v=s0hVHvBSd_w
58,40,さくらんぼ,Ai Otsuka,11,292310,-21%,https://www.youtube.com/watch?v=upODO6OuOOk
59,35,drivers license,Olivia Rodrigo,3,282645,-32.2%,https://www.youtube.com/watch?v=ZmDBbnmKpqQ
60,93,시간의 바깥 (above the time),IU,21,276713,37.8%,https://www.youtube.com/watch?v=R3Fwdnij49o
61,36,야 우냐 (U MAD),BOBBY,2,276136,-30.6%,https://www.youtube.com/watch?v=jz5gZeDgiPs
62,,MORE & MORE,TWICE,23,273932,,https://www.youtube.com/watch?v=mH0_XpSHkZo
63,31,With and Without You (그대 없이 그대와),HYNN,2,272603,-39.4%,https://www.youtube.com/watch?v=RFv04309fXk
64,58,힘든 건 사랑이 아니다,Im Chang-jung,16,264845,-3.8%,https://www.youtube.com/watch?v=JsCaNB_uSpc
65,,마지막 날에 (Moving On),KYUHYUN,1,255272,,https://www.youtube.com/watch?v=gXwVNwdOFhk
66,86,게인 주의 (Gainism),알라리깡숑,2,255188,21.9%,https://www.youtube.com/watch?v=aYFx7cy036g
67,75,How did we (우린 어쩌다 헤어진 걸까),Huh Gak,5,250303,7.8%,https://www.youtube.com/watch?v=yRwmTXUeONE
68,67,혼술하고 싶은 밤 (Lonely night),BEN,9,242375,-0.1%,https://www.youtube.com/watch?v=NYdakl7RF38
69,57,90's Love,NCT U,11,236362,-18.5%,https://www.youtube.com/watch?v=A5H8zBb3iao
70,87,Love Is Gone (Acoustic) (feat. Dylan Matthew),SLANDER,4,236165,13.4%,https://www.youtube.com/watch?v=hCrtcVDgCGw
71,61,Mood (Live),24kGoldn & Iann Dior,15,235547,-10.2%,https://www.youtube.com/watch?v=GrAchTdepsU
72,74,Once in a December (12월의 어느 겨울…),YoonDo,5,233927,0.4%,https://www.youtube.com/watch?v=YTo3gDuytKY
73,,F the World,Mommy Son,1,232971,,https://www.youtube.com/watch?v=xKRYKEUwS0E
74,,나랑 같이 걸을래 (바른연애 길잡이 X 적재),Jukjae,9,232121,,https://www.youtube.com/watch?v=cn8gCkw6H5A
75,,숲의 아이 (Bon voyage),YooA,21,228287,,https://www.youtube.com/watch?v=AAOOKbk-knM
76,56,Savage Love (Karaoke),"Jawsh 685, Jason Derulo & Sing King",19,224515,-23.2%,https://www.youtube.com/watch?v=gUci-tsiU4I
77,,Friday (금요일에 만나요) (feat. Jang Yi-jeong of History),IU,12,223620,,https://www.youtube.com/watch?v=EiVmQZwJhsA
78,,Fine,TAEYEON,15,223619,,https://www.youtube.com/watch?v=NHXUM-6a3dU
79,,밝게 빛나는 별이 되어 비춰줄게 (I will be your shining star),Song I Han,1,222961,,https://www.youtube.com/watch?v=hhTk3l9UfW0
80,89,ALIEN,LEE SUHYUN,16,221221,6.8%,https://www.youtube.com/watch?v=GywDFkY3z-c
