Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,YES or YES,TWICE,2,6725692,19.9%,https://www.youtube.com/watch?v=mAKsZ26SabQ
2,3,"POP/STARS (feat. Madison Beer, (G)I-DLE & Jaira Burns)",K-Da,2,4407838,13.1%,https://www.youtube.com/watch?v=UOxkGD8qRB4
3,,SOLO,Jennie,1,4074011,,https://www.youtube.com/watch?v=b73BI9eUkjM
4,1,La Vie en Rose,--,3,3262672,-43.8%,https://www.youtube.com/watch?v=WZwr2a_lFWY
5,4,Tempo,EXO,2,2333863,-36.3%,https://www.youtube.com/watch?v=iwd8N6K-sLk
6,5,BBIBBI(삐삐),IU,5,1929860,-22.4%,https://www.youtube.com/watch?v=nM0xDI5R50E
7,6,Me After You (너를 만나),--,3,1503087,15.7%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
8,7,"가을 타나 봐 유스케( LIVE )( VIBE ,MAJOR9)",VIBE,7,1359478,15.5%,https://www.youtube.com/watch?v=EIQNCiIZQRg
9,8,IDOL,BTS,12,1102664,-5.9%,https://www.youtube.com/watch?v=pBuZEGYXA6E
10,9,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,34,1077966,-6%,https://www.youtube.com/watch?v=1q_t6RNuH8c
11,10,하루도 그대를 사랑하지 않은 적이 없었다,Im Chang-jung,9,896748,-16.3%,https://www.youtube.com/watch?v=Xaqpvy-ZbMg
12,21,Bohemian Rhapsody,Queen,3,887588,43.3%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
13,11,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & --",21,841680,-9.9%,https://www.youtube.com/watch?v=jd2DxTR0znU
14,18,수퍼비와 SUPERBEEWHY (feat. BewhY),SUPERBEE,2,790273,17.7%,https://www.youtube.com/watch?v=d3oqjZUmvwQ
15,12,It Takes Time(시간이 들겠지) (feat. Colde),Loco,6,764727,-8.7%,https://www.youtube.com/watch?v=YfQzz00Oc_M
16,15,sorry(고백),Yang Da Il,5,716108,-2.7%,https://www.youtube.com/watch?v=Uvnru8qalXQ
17,13,Dance The Night Away,TWICE,18,708707,-11.2%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
18,,Beautiful Pain,BTOB,1,702558,,https://www.youtube.com/watch?v=KLNr84h5qL4
19,14,Power Up,Red Velvet,15,672346,-10.6%,https://www.youtube.com/watch?v=aiHSVQy9xN8
20,70,Love Of My Life,Queen,2,634968,158%,https://www.youtube.com/watch?v=sUJkCXE4sAA
21,17,Siren (사이렌),SUNMI,11,576090,-15.2%,https://www.youtube.com/watch?v=TNWMZIf7eSg
22,44,Don't Stop Me Now,Queen,2,542991,45.4%,https://www.youtube.com/watch?v=HgzGwKwLmgM
23,19,BAAM,MOMOLAND,20,538235,-15.8%,https://www.youtube.com/watch?v=txWmd7QKFe8
24,26,LOVE SCENARIO,iKON,43,538144,-5%,https://www.youtube.com/watch?v=vecSVX1QYbQ
25,24,BBoom BBoom(뿜뿜),MOMOLAND,45,533142,-10.9%,https://www.youtube.com/watch?v=JQGRg8XBnB4
26,29,FAKE LOVE,BTS,24,527904,-3.5%,https://www.youtube.com/watch?v=cibTjNJkaMk
27,22,What is Love?,TWICE,32,522454,-14.4%,https://www.youtube.com/watch?v=i0p1bmr0EmE
28,25,lie (미안해),Yang Da Il,35,521699,-11.2%,https://www.youtube.com/watch?v=1icPJAhI2TA
29,33,내 생에 아름다운 (Beautiful Moment),K.Will,3,518743,11.3%,https://www.youtube.com/watch?v=1D17PdpGQBY
30,31,The Way To Say Goodbye(이별하러 가는 길),--,9,509239,3.9%,https://www.youtube.com/watch?v=42iMZrYDEM4
31,28,Meet him among them(그 중에 그대를 만나),Lee Sun-hee,11,501382,-8.7%,https://www.youtube.com/watch?v=xkKo2nD8RTE
32,27,Bad Boy,Red Velvet,43,492572,-12.3%,https://www.youtube.com/watch?v=J_CFBjAyPWE
33,34,지나오다,Nilo,33,467174,2.3%,https://www.youtube.com/watch?v=
34,55,Save (Prod. 코드 쿤스트 CODE KUNST) (feat. Paloalto),Loopy,2,460588,44.9%,https://www.youtube.com/watch?v=aSPcjkRK0ZQ
35,20,Oh! my mistake (예쁜 게 죄),APRIL,4,432749,-31.6%,https://www.youtube.com/watch?v=wX-e5rvmtas
36,23,Kiss and Make Up,Dua Lipa & BLACKPINK,4,426088,-29.4%,https://www.youtube.com/watch?v=AX3Bsiq-13k
37,50,Waste It On Me (feat. BTS),Steve Aoki,3,422390,19.1%,https://www.youtube.com/watch?v=bIv16itYi_0
38,16,LOVE BOMB,fromis_9,6,421121,-38.8%,https://www.youtube.com/watch?v=-SK6cvkK4c0
39,38,비 (Rain),Paul Kim,21,420306,-2.1%,https://www.youtube.com/watch?v=9jFZdu0zTEA
40,30,GOODBYE ROAD (이별길),iKON,7,413896,-18.7%,https://www.youtube.com/watch?v=2O6dRaBbFoo
41,48,LATATA,(G)I-DLE,21,406209,12.8%,https://www.youtube.com/watch?v=9mQk7Evt6Vs
42,36,우리 그만하자 (The Hardest Part),Roy Kim,9,389632,-11.1%,https://www.youtube.com/watch?v=fB406grTgz4
43,32,"Airplane, pt.2",BTS,2,389015,-16.7%,https://www.youtube.com/watch?v=CxnJf0tWu48
44,39,가을 안부 (When Autumn Comes),Monday Kiz,48,387011,-8.2%,https://www.youtube.com/watch?v=rGVRvhm7ddk
45,40,HANN (Alone) (한) (一),(G)I-DLE,14,385139,-4.3%,https://www.youtube.com/watch?v=OKNXn2qCEws
