Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,고고베베 (gogobebe),MAMAMOO,3,2605041,-14.4%,https://www.youtube.com/watch?v=-iYg2atmA9w
2,3,달라달라(DALLA DALLA),ITZY,7,2538233,31.4%,https://www.youtube.com/watch?v=pNfTK39k55U
3,,사계 (Four Seasons),TAEYEON,1,2510584,,https://www.youtube.com/watch?v=4HG_CJzyX6A
4,16,I'm So Hot,MOMOLAND,2,2152797,257.7%,https://www.youtube.com/watch?v=tsN-MkpiZB0
5,2,Rooftop (옥탑방),N.Flying,7,2109137,-6.4%,https://www.youtube.com/watch?v=VpaUh_BGqE0
6,5,Senorita,(G)I-DLE,5,1469304,-2.6%,https://www.youtube.com/watch?v=2cevbhEqQF4
7,,every moment with you (당신과는 천천히),Jang Beom June,1,1294578,,https://www.youtube.com/watch?v=yOZNN5xrK2o
8,,노래방에서,--,1,1051053,,https://www.youtube.com/watch?v=BUzI-awsi1s
9,8,벌써 12시 (Gotta Go),CHUNG HA,13,881108,-9%,https://www.youtube.com/watch?v=HlN2BXNJzxA
10,12,Maybe It's Not Our Fault(그건 아마 우리의 잘못은 아닐 거야),Yerin Baek,2,757143,7.9%,https://www.youtube.com/watch?v=IRNBtocmQ58
11,4,CROWN (어느날 머리에서 뿔이 자랐다),TOMORROW X TOGETHER,4,733266,-51.9%,https://www.youtube.com/watch?v=W3iSnJ663II
12,9,TWIT (멍청이),Hwa Sa,7,726355,-21.6%,https://www.youtube.com/watch?v=ScSn235gQx0
13,17,2002,Anne-Marie,16,685278,15.8%,https://www.youtube.com/watch?v=Il-an3K9pjg
14,10,YES or YES,TWICE,21,676954,-6%,https://www.youtube.com/watch?v=mAKsZ26SabQ
15,13,SOLO,Jennie,20,667939,-4.7%,https://www.youtube.com/watch?v=b73BI9eUkjM
16,18,IDOL,BTS,31,540133,-8.6%,https://www.youtube.com/watch?v=pBuZEGYXA6E
17,21,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,35,523268,2.3%,https://www.youtube.com/watch?v=IHNzOHi8sJs
18,15,Dance The Night Away,TWICE,37,517108,-16.4%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
19,19,La Vie en Rose,--,22,517076,-3.2%,https://www.youtube.com/watch?v=WZwr2a_lFWY
20,49,우와(WOOWA),DIA,2,503251,91.2%,https://www.youtube.com/watch?v=UnXIPDp9xIM
21,29,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,2,486229,11.3%,https://www.youtube.com/watch?v=t8P-zdkoeJA
22,26,Me After You (너를 만나),--,22,462339,-0.6%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
23,28,What is Love?,TWICE,51,443542,0.3%,https://www.youtube.com/watch?v=i0p1bmr0EmE
24,20,이 노래가 클럽에서 나온다면 (Fire up),Woody,9,428730,-17.1%,https://www.youtube.com/watch?v=MBSpoTozBdg
25,24,신용재 (SHIN YONG JAE),HAEUN,20,426116,-12.4%,https://www.youtube.com/watch?v=Y0rK7r-30hs
26,23,"여자친구(Girlfriend) (HAEUN, YOSEP)",HAEUN,3,422398,-13.7%,https://www.youtube.com/watch?v=B2Zwi7gRA88
27,11,Lovedrunk (술이 달다) (feat. Crush),EPIK HIGH,3,420897,-40.2%,https://www.youtube.com/watch?v=47Vz-ptyKbQ
28,27,How about you(너는 어땠을까),--,20,412129,-7.1%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
29,22,7 rings,Ariana Grande,10,405917,-19.4%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
30,,Like,BTS,1,385634,,https://www.youtube.com/watch?v=QeVDNPspKJE
31,36,SHE'S FINE,Heize,2,374316,13.7%,https://www.youtube.com/watch?v=EREAScyThOM
32,32,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,15,352018,-12.8%,https://www.youtube.com/watch?v=0IaUogNqQqA
33,,일산으로,--,1,351882,,https://www.youtube.com/watch?v=ScJ4m-qXWuw
34,25,However (그러나),10CM,3,343742,-29.3%,https://www.youtube.com/watch?v=hNnoi32CyrA
35,,Meet him among them(그 중에 그대를 만나),Lee Sun-hee,29,334483,,https://www.youtube.com/watch?v=xkKo2nD8RTE
36,34,If I Knew…(알았다면),Jang Deok Cheol,14,333993,0.4%,https://www.youtube.com/watch?v=3lr0q5jcDSY
37,33,BAAM,MOMOLAND,35,327094,-6%,https://www.youtube.com/watch?v=txWmd7QKFe8
38,35,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",40,315660,-5.1%,https://www.youtube.com/watch?v=RL1QmNKVJSE
39,39,The Way To Say Goodbye(이별하러 가는 길),--,28,300481,-2.7%,https://www.youtube.com/watch?v=42iMZrYDEM4
40,66,벚꽃 엔딩,Busker Busker,19,292919,57.9%,https://www.youtube.com/watch?v=tXV7dfvSefo
41,30,누아르(Noir),SUNMI,4,286238,-33.3%,https://www.youtube.com/watch?v=CNeNwplE_aw
42,31,180º,BEN,16,273963,-34.4%,https://www.youtube.com/watch?v=rDG9I9nx0QU
43,40,Love Shot,EXO,15,272251,-10.7%,https://www.youtube.com/watch?v=pSudEWBAYRE
44,38,IMJMWDP,IMJMWDP,5,271889,-13.1%,https://www.youtube.com/watch?v=uwy5hGT6i7Q
45,45,Girls Like You (feat. Cardi B),Maroon 5,34,270143,-3.6%,https://www.youtube.com/watch?v=aJOTlE1K90k
46,51,행복 (Happiness),OVAN,16,257919,1.9%,https://www.youtube.com/watch?v=qGh0jk-f6to
47,47,전혀 (feat. Woo),VINXEN,17,257878,-5.3%,https://www.youtube.com/watch?v=TKAGKFBh4W8
48,37,Home,SEVENTEEN,8,256686,-18.6%,https://www.youtube.com/watch?v=R9VDPMk5ls0
49,,L.O.V.E,Park Ji-Hoon,1,253338,,https://www.youtube.com/watch?v=4VRrQf_BSxQ
50,46,BBIBBI(삐삐),IU,24,253112,-7.5%,https://www.youtube.com/watch?v=nM0xDI5R50E
51,,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",1,246012,,https://www.youtube.com/watch?v=dhYOPzcsbGM
52,41,초록빛,Paul Kim,9,244048,-18.3%,https://www.youtube.com/watch?v=GPLBLZ4GK-0
53,44,해야 (Sunrise),GFRIEND  ,11,240224,-15.6%,https://www.youtube.com/watch?v=iciFwCnsyY4
54,42,Song request(신청곡) (feat. SUGA),--,10,235435,-18.4%,https://www.youtube.com/watch?v=ij0SQZcqnPU
55,52,Paris in the Rain,Lauv,8,233989,-5.3%,https://www.youtube.com/watch?v=kOCkne-Bku4
56,91,FRIENDS,Marshmello & Anne-Marie,26,233784,62.4%,https://www.youtube.com/watch?v=jzD_yyEcp0M
57,43,It's been a while (오랜만이야) (feat. Zion.T),Loco,7,232611,-19.1%,https://www.youtube.com/watch?v=paFGJV0vFx4
58,56,Sunflower,Post Malone & Swae Lee,17,230057,-0.8%,https://www.youtube.com/watch?v=ApXoWvfEYVU
59,,RUN,BTS,1,225014,,https://www.youtube.com/watch?v=CRS8sYM5YBI
60,48,MILLIONS,WINNER,15,221779,-16.9%,https://www.youtube.com/watch?v=PALjhRpnfbk
61,,"So, it ends? (feat. Colde)",Heize,1,218020,,https://www.youtube.com/watch?v=ZslOvUUUZns
62,76,DDING (띵),"Jvcki Wai, YANGHONGWON, Osshun Gum & Han Yo-han",11,216822,24.2%,https://www.youtube.com/watch?v=ir7G_H0LFJw
63,,Anpanman,BTS,22,214478,,https://www.youtube.com/watch?v=EBf6lwkChnQ
64,,그모습 그대로,--,1,209172,,https://www.youtube.com/watch?v=srsoCYGtjyc
65,,First Marriage,Jung Seo Young,1,206598,,https://www.youtube.com/watch?v=HHXNS24vihY
66,,Lullaby For A Cat,EPIK HIGH,1,204774,,https://www.youtube.com/watch?v=1q-CN-FInuU
67,54,꽃 FLOWER,HAON,9,203121,-14.8%,https://www.youtube.com/watch?v=i5ipWolnryQ
68,64,The Vow (서약),ALi,16,195926,2.2%,https://www.youtube.com/watch?v=l8DW837R9xw
69,,Who's Your Mama? (feat. Jessi),J.Y. Park ,2,195073,,https://www.youtube.com/watch?v=kUGQ7Tz4os0
