Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,SOLO,Jennie,7,2879711,2.8%,https://www.youtube.com/watch?v=b73BI9eUkjM
2,1,YES or YES,TWICE,8,2481721,-17.3%,https://www.youtube.com/watch?v=mAKsZ26SabQ
3,,Love Shot,EXO,2,1678164,,https://www.youtube.com/watch?v=pSudEWBAYRE
4,3,아낙네 (FIANCÉ),MINO,5,1626060,-35.8%,https://www.youtube.com/watch?v=NY8VGNft-Zc
5,13,MILLIONS,WINNER,2,1580739,92.3%,https://www.youtube.com/watch?v=PALjhRpnfbk
6,9,180º,BEN,3,1451244,30.9%,https://www.youtube.com/watch?v=rDG9I9nx0QU
7,18,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,22,1316479,83.9%,https://www.youtube.com/watch?v=IHNzOHi8sJs
8,8,신용재 (SHIN YONG JAE),HAEUN,7,1311367,13%,https://www.youtube.com/watch?v=Y0rK7r-30hs
9,7,Me After You (너를 만나),--,9,1241873,3.5%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
10,6,La Vie en Rose,--,9,1206492,-14.5%,https://www.youtube.com/watch?v=WZwr2a_lFWY
11,4,Bad Boy,Red Velvet,4,1048991,-45.6%,https://www.youtube.com/watch?v=J_CFBjAyPWE
12,14,IDOL,BTS,18,810972,-0.5%,https://www.youtube.com/watch?v=pBuZEGYXA6E
13,15,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,40,807491,-0%,https://www.youtube.com/watch?v=1q_t6RNuH8c
14,5,I LOVE YOU (알러뷰),EXID,6,743010,-48.7%,https://www.youtube.com/watch?v=SAdmzjsFVQo
15,10,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",27,740004,-26.3%,https://www.youtube.com/watch?v=RL1QmNKVJSE
16,11,첫눈에 (First Sight),Heize,2,708687,-28.9%,https://www.youtube.com/watch?v=hhXDFl6tmVY
17,19,Tempo,EXO,8,696143,-1%,https://www.youtube.com/watch?v=iwd8N6K-sLk
18,17,BBIBBI(삐삐),IU,11,669582,-9.5%,https://www.youtube.com/watch?v=nM0xDI5R50E
19,16,"thank u, next",Ariana Grande,7,653549,-17.6%,https://www.youtube.com/watch?v=gl1aHhXnN1k
20,20,"가을 타나 봐 유스케( LIVE )( VIBE ,MAJOR9)",VIBE,13,610878,-4.7%,https://www.youtube.com/watch?v=EIQNCiIZQRg
21,33,Dance The Night Away,TWICE,24,603507,26.9%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
22,51,All I Want for Christmas Is You,Mariah Carey,15,603402,70.9%,https://www.youtube.com/watch?v=yXQViqx6GMY
23,23,The Way To Say Goodbye(이별하러 가는 길),--,15,601361,-4%,https://www.youtube.com/watch?v=42iMZrYDEM4
24,28,행복 (Happiness),OVAN,3,596513,6.2%,https://www.youtube.com/watch?v=qGh0jk-f6to
25,30,How about you(너는 어땠을까),--,7,596169,8.9%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
26,24,Bohemian Rhapsody,Queen,9,593141,-3.8%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
27,49,Santa Tell Me,Ariana Grande,10,588535,63.1%,https://www.youtube.com/watch?v=nlR0MkrRklg
28,27,BBoom BBoom(뿜뿜),MOMOLAND,51,568114,-1.2%,https://www.youtube.com/watch?v=JQGRg8XBnB4
29,29,What is Love?,TWICE,38,558823,1.7%,https://www.youtube.com/watch?v=i0p1bmr0EmE
30,38,LOVE SCENARIO,iKON,49,547452,21.9%,https://www.youtube.com/watch?v=vecSVX1QYbQ
31,31,Empty words (흔한 이별),Huh Gak,4,541848,-0.4%,https://www.youtube.com/watch?v=taCzp52XCEQ
32,22,"POP/STARS (feat. Madison Beer, (G)I-DLE & Jaira Burns)",K-Da,8,527798,-16.3%,https://www.youtube.com/watch?v=UOxkGD8qRB4
33,36,내 생에 아름다운 (Beautiful Moment),K.Will,9,523521,12.4%,https://www.youtube.com/watch?v=1D17PdpGQBY
34,32,Meet him among them(그 중에 그대를 만나),Lee Sun-hee,17,508403,-1.9%,https://www.youtube.com/watch?v=xkKo2nD8RTE
35,35,봄바람 (Spring Breeze),Wanna One,5,488440,3.8%,https://www.youtube.com/watch?v=FD2mik4V5EE
36,12,The Best Thing I Ever Did(올해 제일 잘한 일),TWICE,3,484887,-43.9%,https://www.youtube.com/watch?v=CfUGjK6gGgs
37,34,Don't Stop Me Now,Queen,8,469683,-0.5%,https://www.youtube.com/watch?v=HgzGwKwLmgM
38,26,Wind flower,MAMAMOO,5,456965,-21.4%,https://www.youtube.com/watch?v=uOZ2r_UAfdc
39,25,FAKE LOVE,BTS,30,444477,-24.7%,https://www.youtube.com/watch?v=7C2z4GqqS5E
40,21,Bad Boy,Red Velvet,48,421446,-33.5%,https://www.youtube.com/watch?v=J_CFBjAyPWE
41,,If I Knew…(알았다면),Jang Deok Cheol,1,413085,,https://www.youtube.com/watch?v=3lr0q5jcDSY
42,39,sorry(고백),Yang Da Il,11,408795,-3.3%,https://www.youtube.com/watch?v=Uvnru8qalXQ
43,44,지나오다,Nilo,39,395141,-1.4%,https://www.youtube.com/watch?v=
44,64,Snowman,Sia,4,388220,65.4%,https://www.youtube.com/watch?v=J_QGZspO4gg
45,37,Love Of My Life,Queen,8,386820,-15.4%,https://www.youtube.com/watch?v=sUJkCXE4sAA
46,41,하루도 그대를 사랑하지 않은 적이 없었다,Im Chang-jung,15,382938,-7%,https://www.youtube.com/watch?v=Xaqpvy-ZbMg
47,46,lie (미안해),Yang Da Il,41,376234,-0.9%,https://www.youtube.com/watch?v=1icPJAhI2TA
48,45,Roller Coaster,CHUNG HA,43,374172,-6.1%,https://www.youtube.com/watch?v=900X9fDFLc4
49,,BAAM,MOMOLAND,22,352687,,https://www.youtube.com/watch?v=txWmd7QKFe8
50,42,수퍼비와 SUPERBEEWHY (feat. BewhY),SUPERBEE,8,352540,-12.9%,https://www.youtube.com/watch?v=d3oqjZUmvwQ
51,43,It Takes Time(시간이 들겠지) (feat. Colde),Loco,12,352264,-12.5%,https://www.youtube.com/watch?v=YfQzz00Oc_M
52,54,Power Up,Red Velvet,21,347817,16.4%,https://www.youtube.com/watch?v=aiHSVQy9xN8
53,47,Learn to love,Hwang Chi-yeul,5,322071,-12.7%,https://www.youtube.com/watch?v=
54,53,Siren (사이렌),SUNMI,17,314085,-2.9%,https://www.youtube.com/watch?v=TNWMZIf7eSg
55,50,Beautiful Pain,BTOB,6,293549,-18%,https://www.youtube.com/watch?v=KLNr84h5qL4
56,,Believer,Imagine Dragons,22,282340,,https://www.youtube.com/watch?v=7wtfhZwyrcc
57,82,Last Christmas,Wham!,4,282129,56.8%,https://www.youtube.com/watch?v=E8gmARGvPlI
58,48,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,2,260825,-28.8%,https://www.youtube.com/watch?v=0IaUogNqQqA
59,40,Fairy tale (동화) (feat. IU),Kim Dong-ryul,3,257126,-38%,https://www.youtube.com/watch?v=OM_QECPyIUg
60,,We All Lie,Ha Jin,1,252283,,https://www.youtube.com/watch?v=PdDfuWJc9dA
61,55,Save (feat. Paloalto),Loopy,8,250673,-11.4%,https://www.youtube.com/watch?v=aSPcjkRK0ZQ
