Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,달라달라(DALLA DALLA),ITZY,5,1932434,-8.5%,https://www.youtube.com/watch?v=pNfTK39k55U
2,3,Rooftop (옥탑방),N.Flying,5,1894824,22.7%,https://www.youtube.com/watch?v=VpaUh_BGqE0
3,2,Senorita,(G)I-DLE,3,1418407,-32.2%,https://www.youtube.com/watch?v=2cevbhEqQF4
4,5,어느날머리에서뿔이자랐다,TOMORROW X TOGETHER,2,1190463,-6.4%,https://www.youtube.com/watch?v=YPGJoDIx45o
5,6,벌써 12시 (Gotta Go),CHUNG HA,11,959622,-16%,https://www.youtube.com/watch?v=HlN2BXNJzxA
6,7,TWIT (멍청이),Hwa Sa,5,935743,-5.8%,https://www.youtube.com/watch?v=ScSn235gQx0
7,9,YES or YES,TWICE,19,905400,-5.2%,https://www.youtube.com/watch?v=mAKsZ26SabQ
8,,Lovedrunk (술이 달다) (feat. Crush),EPIK HIGH,1,762918,,https://www.youtube.com/watch?v=47Vz-ptyKbQ
9,4,누아르(Noir),SUNMI,2,747216,-44.4%,https://www.youtube.com/watch?v=CNeNwplE_aw
10,10,SOLO,Jennie,18,705769,-4%,https://www.youtube.com/watch?v=b73BI9eUkjM
11,,Spring(봄) (feat. Sandara Park),박봄 (Park Bom),1,681729,,https://www.youtube.com/watch?v=
12,12,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,51,679838,11.4%,https://www.youtube.com/watch?v=1q_t6RNuH8c
13,14,IDOL,BTS,29,592944,2.7%,https://www.youtube.com/watch?v=pBuZEGYXA6E
14,11,이 노래가 클럽에서 나온다면 (Fire up),Woody,7,570122,-13.7%,https://www.youtube.com/watch?v=MBSpoTozBdg
15,13,La Vie en Rose,--,20,555579,-7.9%,https://www.youtube.com/watch?v=WZwr2a_lFWY
16,16,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,33,550340,7.9%,https://www.youtube.com/watch?v=IHNzOHi8sJs
17,17,Dance The Night Away,TWICE,35,512460,2%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
18,15,신용재 (SHIN YONG JAE),HAEUN,18,496964,-6.9%,https://www.youtube.com/watch?v=Y0rK7r-30hs
19,,However (그러나),10CM,1,482530,,https://www.youtube.com/watch?v=hNnoi32CyrA
20,,"여자친구(Girlfriend) (HAEUN, YOSEP)",HAEUN,1,476056,,https://www.youtube.com/watch?v=B2Zwi7gRA88
21,21,7 rings,Ariana Grande,8,441541,7.3%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
22,22,Me After You (너를 만나),--,20,426956,6.9%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
23,20,How about you(너는 어땠을까),--,18,425710,2.5%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
24,19,What is Love?,TWICE,49,423482,-1%,https://www.youtube.com/watch?v=i0p1bmr0EmE
