Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Dance The Night Away,TWICE,2,6378176,137%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
2,1,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,4,5973282,-0.4%,https://www.youtube.com/watch?v=IHNzOHi8sJs
3,,BAAM,MOMOLAND,3,3283998,,https://www.youtube.com/watch?v=txWmd7QKFe8
4,3,1도 없어(I'm so sick),Apink,3,2489767,-6.4%,https://www.youtube.com/watch?v=gQmw-Pmv5DQ
5,4,Travel(여행),BOL4,8,2031853,-9.8%,https://www.youtube.com/watch?v=xRbPAVnqtcs
6,11,FAKE LOVE,BTS,7,1604944,71.5%,https://www.youtube.com/watch?v=cibTjNJkaMk
7,35,Way Back Home,Shaun,2,1233302,235.8%,https://www.youtube.com/watch?v=1rP7ziPDDt0
8,6,지나오다,Nilo,16,1211424,-9.4%,https://www.youtube.com/watch?v=
9,8,LOVE SCENARIO,iKON,26,1158404,-2.5%,https://www.youtube.com/watch?v=vecSVX1QYbQ
10,,LATATA,(G)I-DLE,4,1114206,,https://www.youtube.com/watch?v=9mQk7Evt6Vs
11,5,Bingle Bangle(빙글뱅글),AOA,8,1105207,-19.7%,https://www.youtube.com/watch?v=ntWSnDV0MYs
12,7,What is Love?,TWICE,15,1029441,-15.1%,https://www.youtube.com/watch?v=i0p1bmr0EmE
13,,너 없인 안 된다 (Only one for me),BTOB,3,993979,,https://www.youtube.com/watch?v=fHQkdIGue3k
14,9,밤 (Time for the moon night),GFRIEND  ,12,980791,-9.4%,https://www.youtube.com/watch?v=_XyBa8QsVQU
15,,Oh My! (어쩌나 ),SEVENTEEN,1,915636,,https://www.youtube.com/watch?v=_5PELxP8Udg
16,10,BBoom BBoom(뿜뿜),MOMOLAND,28,898044,-9%,https://www.youtube.com/watch?v=JQGRg8XBnB4
17,12,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,17,882776,14.1%,https://www.youtube.com/watch?v=1q_t6RNuH8c
18,21,Tale(동화),MeloMance,2,818552,45.3%,https://www.youtube.com/watch?v=FoYyqHqbnxc
19,22,My Way,ISU,34,714628,29.8%,https://www.youtube.com/watch?v=lXi8y3g4PP4
20,18,lie (미안해),Yang Da Il,18,692308,10.1%,https://www.youtube.com/watch?v=1icPJAhI2TA
21,16,Starry Night(별이 빛나는 밤),MAMAMOO,20,662322,-1.7%,https://www.youtube.com/watch?v=LjUXm0Zy_dk
22,,Cereal (feat. ZICO),Crush,1,646008,,https://www.youtube.com/watch?v=106613NbPQ0
23,15,Shine(빛나리),PENTAGON,14,645930,-6.6%,https://www.youtube.com/watch?v=Nu2yQ1zYDYU
24,17,넋두리,--,16,606834,-5.4%,https://www.youtube.com/watch?v=C2Joup07VbA
25,14,Bad Boy,Red Velvet,26,597419,-14.5%,https://www.youtube.com/watch?v=J_CFBjAyPWE
26,20,DNA,BTS,43,566027,-1%,https://www.youtube.com/watch?v=MBdVXkSdhwU
27,,Anpanman,BTS,2,532727,,https://www.youtube.com/watch?v=EBf6lwkChnQ
28,,Love U,CHUNG HA,1,527144,,https://www.youtube.com/watch?v=mtLgabce8KQ
29,25,Roller Coaster,CHUNG HA,27,507858,6.5%,https://www.youtube.com/watch?v=900X9fDFLc4
30,32,Miss Fortune(불행) (feat. VINXEN),OVAN,5,486157,16.1%,https://www.youtube.com/watch?v=iD19FVcVBY4
31,26,Heart Shaker,TWICE,33,456815,-3.4%,https://www.youtube.com/watch?v=rRzxEiBLQCA
32,23,You,MeloMance,18,449061,-10.2%,https://www.youtube.com/watch?v=jG2YdnrYFdo
33,27,Work Out,"Jvcki Wai, Kid Milli, NO:EL  , YANGHONGWON & Swings",3,445765,-5.5%,https://www.youtube.com/watch?v=eeT87k7shpA
34,36,Girls Like You (feat. Cardi B),Maroon 5,7,438364,26.3%,https://www.youtube.com/watch?v=aJOTlE1K90k
35,19,그 날 (The Day),Park Hyo Shin,2,430106,-28%,https://www.youtube.com/watch?v=zwvUnK-agb4
36,24,그때 헤어지면 돼 (Only then),Roy Kim,19,423001,-14.8%,https://www.youtube.com/watch?v=SkN_hWI6n28
37,30,가을 안부 (When Autumn Comes),Monday Kiz,31,418289,-5.4%,https://www.youtube.com/watch?v=rGVRvhm7ddk
38,28,붕붕 (feat. Sik-K),HAON,14,400704,-12.7%,https://www.youtube.com/watch?v=cDq1vUwM21k
39,33,Likey,TWICE,38,393635,-2.1%,https://www.youtube.com/watch?v=V2hlQkVJZhE
40,13,Down,Jessi,2,382714,-46.1%,https://www.youtube.com/watch?v=ptCYIPQHoGA
41,37,피카부 (Peek-A-Boo),Red Velvet,31,375997,9.7%,https://www.youtube.com/watch?v=6uJf2IT2Zh8
42,43,사랑했었다 (Still love you),Lee Hong Gi & --,8,368194,28.5%,https://www.youtube.com/watch?v=oXCXlPJ57rE
43,31,켜줘 (Light),Wanna One,7,367289,-12.9%,https://www.youtube.com/watch?v=J1L3nDC4mEk
44,29,#Cookie Jar,Red Velvet,4,354575,-21.9%,https://www.youtube.com/watch?v=rRgTMs_bGuI
45,39,Havana (feat. Young Thug),Camila Cabello,38,334568,1.9%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
46,34,그날처럼 (Good old days),Jang Deok Cheol,28,330866,-13.6%,https://www.youtube.com/watch?v=v6_GwXU1lkg
47,69,Lateness(지각),Jang Deok Cheol,2,328194,58.9%,https://www.youtube.com/watch?v=zEVuAH8AUwY
48,,God is a woman,Ariana Grande,1,307889,,https://www.youtube.com/watch?v=kHLHSlExFis
49,,Egotistic(너나 해),MAMAMOO,1,302955,,https://www.youtube.com/watch?v=pHtxTSiPh5I
50,46,Believer,Imagine Dragons,10,302157,15.8%,https://www.youtube.com/watch?v=7wtfhZwyrcc
51,42,Counting Stars,OneRepublic,20,300003,3.7%,https://www.youtube.com/watch?v=hT_nvWreIhg
52,,보릿고개,Jin Sung,1,291590,,https://www.youtube.com/watch?v=whSAYFi9KLs
53,73,폰서트,10CM,17,272951,44.5%,https://www.youtube.com/watch?v=mOo8bVzN9M8
54,41,Wag-zak,LOVELYZ,3,271540,-8.2%,https://www.youtube.com/watch?v=uer7k-jkk78
55,40,"Love, ing (열애중)",BEN,6,260709,-14.7%,https://www.youtube.com/watch?v=WBahioCWfFQ
56,,호랑수월가 (feat. 나래),상록수,12,256813,,https://www.youtube.com/watch?v=E73zqwpw0is
57,65,홍연,AHN YE EUN,6,245474,16.1%,https://www.youtube.com/watch?v=B61nm9OHt5A
58,61,Chandelier,Sia,10,244111,9%,https://www.youtube.com/watch?v=2vjPBrBU-TM
59,52,비 (Rain),Paul Kim,4,243005,0.5%,https://www.youtube.com/watch?v=9jFZdu0zTEA
60,53,Please don’t…(이러지마 제발),K.Will,2,240558,0.2%,https://www.youtube.com/watch?v=PdUiCJnRptk
61,,Spring Day (봄날),BTS,35,234101,,https://www.youtube.com/watch?v=xEeFrLSkMm8
62,44,ハイテンション,AKB48,2,226125,-20.3%,https://www.youtube.com/watch?v=1wtxuvVZeCk
63,56,Just Friends(욕심),MeloMance,12,219242,-4.4%,https://www.youtube.com/watch?v=2N1Y9RxAsxg
64,,Hate you love,Jin Mi-ryeong,25,219204,,https://www.youtube.com/watch?v=7Uu_K0R3yuY
65,60,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & --",4,213561,-5.4%,https://www.youtube.com/watch?v=jd2DxTR0znU
66,54,EVERYDAY,WINNER,16,213283,-10.8%,https://www.youtube.com/watch?v=d1D1SJ-KqaQ
67,58,Rolling in the Deep,Adele,19,211041,-7%,https://www.youtube.com/watch?v=rYEDA3JcQqw
68,62,"다시, 우리",GB9,8,208222,-4.7%,https://www.youtube.com/watch?v=3h2GGnCX4Us
69,,SHAKE IT,SISTAR,22,205369,,https://www.youtube.com/watch?v=x9-TIy7WPQI
70,,Thinking Of (feat. OVAN & SUMIN),SHAUN,1,204409,,https://www.youtube.com/watch?v=yuWDZIeS840
71,77,Hello,Huh Gak,4,201038,12.4%,https://www.youtube.com/watch?v=yY7dRwJnJZ0
72,51,캥거루 (Kangaroo),Wanna One,7,197971,-19.8%,https://www.youtube.com/watch?v=8S0iH0DtfVM
73,70,Only we know…(우리 둘만 아는),Yoon Gun,10,185502,-8.7%,https://www.youtube.com/watch?v=atBmuNBtCcQ
74,66,네 멋대로 (Get It),PRISTIN V,8,180544,-14.6%,https://www.youtube.com/watch?v=4CTGxKIzD7M
75,,Introduccion B (El Cosita Mix),El Chombo,3,179705,,https://www.youtube.com/watch?v=LE6-4nAWEY0
76,97,One Call Away,Charlie Puth,10,179375,38.2%,https://www.youtube.com/watch?v=BxuY9FET9Y4
77,,Way Back Home (feat. Conor Maynard),SHAUN,1,178704,,https://www.youtube.com/watch?v=NyTH_U88bK0
78,71,BOOMERANG (부메랑),Wanna One,18,178537,-10.6%,https://www.youtube.com/watch?v=pmMjkMtpnTc
79,76,Faded,Alan Walker,15,176999,-1.2%,https://www.youtube.com/watch?v=60ItHLz5WEA
80,,FRIENDS,Marshmello & Anne-Marie,19,174949,,https://www.youtube.com/watch?v=jzD_yyEcp0M
81,55,Dejavu,NU'EST,3,172799,-27.3%,https://www.youtube.com/watch?v=dx0VcSNWdBg
82,68,no tears left to cry,Ariana Grande,12,170479,-17.8%,https://www.youtube.com/watch?v=ffxKSjUwKdU
