Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,고고베베 (gogobebe),MAMAMOO,1,3042843,,https://www.youtube.com/watch?v=-iYg2atmA9w
2,2,Rooftop (옥탑방),N.Flying,6,2254366,19%,https://www.youtube.com/watch?v=VpaUh_BGqE0
3,1,달라달라(DALLA DALLA),ITZY,6,1931786,-0%,https://www.youtube.com/watch?v=pNfTK39k55U
4,4,CROWN (어느날 머리에서 뿔이 자랐다),TOMORROW X TOGETHER,3,1525278,28.1%,https://www.youtube.com/watch?v=W3iSnJ663II
5,3,Senorita,(G)I-DLE,4,1508533,6.4%,https://www.youtube.com/watch?v=2cevbhEqQF4
6,11,Spring(봄) (feat. Sandara Park),박봄 (Park Bom),2,1350926,98.2%,https://www.youtube.com/watch?v=
7,50,고고베베 (gogobebe),MAMAMOO,2,1350660,443.8%,https://www.youtube.com/watch?v=-iYg2atmA9w
8,5,벌써 12시 (Gotta Go),CHUNG HA,12,968492,0.9%,https://www.youtube.com/watch?v=HlN2BXNJzxA
9,6,TWIT (멍청이),Hwa Sa,6,927055,-0.9%,https://www.youtube.com/watch?v=ScSn235gQx0
10,7,YES or YES,TWICE,20,719805,-20.5%,https://www.youtube.com/watch?v=mAKsZ26SabQ
11,8,Lovedrunk (술이 달다) (feat. Crush),EPIK HIGH,2,704404,-7.7%,https://www.youtube.com/watch?v=47Vz-ptyKbQ
12,,Maybe It's Not Our Fault(그건 아마 우리의 잘못은 아닐 거야),Yerin Baek,1,701540,,https://www.youtube.com/watch?v=IRNBtocmQ58
13,10,SOLO,Jennie,19,700704,-0.7%,https://www.youtube.com/watch?v=b73BI9eUkjM
14,12,"모든 날, 모든 순간 (Every day, Every Moment)",Paul Kim,52,629590,-7.4%,https://www.youtube.com/watch?v=1q_t6RNuH8c
15,17,Dance The Night Away,TWICE,36,618870,20.8%,https://www.youtube.com/watch?v=Fm5iP0S1z9w
16,,I'm So Hot,MOMOLAND,1,601852,,https://www.youtube.com/watch?v=tsN-MkpiZB0
17,29,2002,Anne-Marie,15,591556,84.6%,https://www.youtube.com/watch?v=Il-an3K9pjg
18,13,IDOL,BTS,30,591140,-0.3%,https://www.youtube.com/watch?v=pBuZEGYXA6E
19,15,La Vie en Rose,--,21,533947,-3.9%,https://www.youtube.com/watch?v=WZwr2a_lFWY
20,14,이 노래가 클럽에서 나온다면 (Fire up),Woody,8,516957,-9.3%,https://www.youtube.com/watch?v=MBSpoTozBdg
21,16,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,34,511687,-7%,https://www.youtube.com/watch?v=IHNzOHi8sJs
22,21,7 rings,Ariana Grande,9,503917,14.1%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
23,20,"여자친구(Girlfriend) (HAEUN, YOSEP)",HAEUN,2,489170,2.8%,https://www.youtube.com/watch?v=B2Zwi7gRA88
24,18,신용재 (SHIN YONG JAE),HAEUN,19,486619,-2.1%,https://www.youtube.com/watch?v=Y0rK7r-30hs
25,19,However (그러나),10CM,2,486154,0.8%,https://www.youtube.com/watch?v=hNnoi32CyrA
26,22,Me After You (너를 만나),--,21,465239,9%,https://www.youtube.com/watch?v=YBzJ0jmHv-4
27,23,How about you(너는 어땠을까),--,19,443814,4.3%,https://www.youtube.com/watch?v=TmyMV2Nj42Q
28,24,What is Love?,TWICE,50,442332,4.5%,https://www.youtube.com/watch?v=i0p1bmr0EmE
29,,주저하는 연인들을 위해 (For Lovers Who Hesitate),JANNABI,1,436870,,https://www.youtube.com/watch?v=t8P-zdkoeJA
30,9,누아르(Noir),SUNMI,3,429006,-42.6%,https://www.youtube.com/watch?v=CNeNwplE_aw
31,38,180º,BEN,15,417499,43.2%,https://www.youtube.com/watch?v=rDG9I9nx0QU
32,25,너도 그냥 날 놓아주면 돼 Just let me go,Yoon Gun,14,403523,-4.4%,https://www.youtube.com/watch?v=0IaUogNqQqA
33,39,BAAM,MOMOLAND,34,347896,20.4%,https://www.youtube.com/watch?v=txWmd7QKFe8
34,27,If I Knew…(알았다면),Jang Deok Cheol,13,332823,-4%,https://www.youtube.com/watch?v=3lr0q5jcDSY
35,28,IndiGO,"JUSTHIS, Kid Milli, NO:EL   & YANGHONGWON",39,332503,-2.4%,https://www.youtube.com/watch?v=RL1QmNKVJSE
36,,SHE'S FINE,Heize,1,329120,,https://www.youtube.com/watch?v=EREAScyThOM
37,30,Home,SEVENTEEN,7,315367,-1.3%,https://www.youtube.com/watch?v=R9VDPMk5ls0
38,43,IMJMWDP,IMJMWDP,4,312795,15.4%,https://www.youtube.com/watch?v=uwy5hGT6i7Q
39,41,The Way To Say Goodbye(이별하러 가는 길),--,27,308941,11%,https://www.youtube.com/watch?v=42iMZrYDEM4
40,32,Love Shot,EXO,14,304801,1.7%,https://www.youtube.com/watch?v=pSudEWBAYRE
41,34,초록빛,Paul Kim,8,298574,0.8%,https://www.youtube.com/watch?v=GPLBLZ4GK-0
