Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Life Goes On,BTS,1,10033848,,https://www.youtube.com/watch?v=-5q5mZbe3V8
2,1,Dynamite,BTS,14,5183505,20.7%,https://www.youtube.com/watch?v=gdZLi9oWNZg
3,2,Black Mamba,aespa,2,3374859,26.8%,https://www.youtube.com/watch?v=ZeerrnuLi5E
4,3,Lovesick Girls,BLACKPINK,8,2335016,-9%,https://www.youtube.com/watch?v=dyRsYk0LyA8
5,8,테스형!,Na Hoon-a,9,1905316,31.5%,https://www.youtube.com/watch?v=MRrXRlVd0P0
6,4,I CAN'T STOP ME,TWICE,5,1823919,-8%,https://www.youtube.com/watch?v=CM4CkVFmTds
7,5,HERO,Lim Young-woong,4,1434335,-27.1%,https://www.youtube.com/watch?v=4jXLHKMRA-E
8,,VVS (feat. JUSTHIS),"Mirani, Munchman, Khundi Panda & MUSHVENOM",1,1350313,,https://www.youtube.com/watch?v=hq9hcJIzB6w
9,9,AYA,MAMAMOO,4,1231324,-13.6%,https://www.youtube.com/watch?v=UoI9riNffEU
10,,Blue & Grey,BTS,1,1215005,,https://www.youtube.com/watch?v=KCssqGPEWvM
11,6,MAGO,GFRIEND  ,3,1137498,-39.5%,https://www.youtube.com/watch?v=LmBYPXGqtss
12,11,잠이 오질 않네요,Jang Beom June,5,1130910,1.1%,https://www.youtube.com/watch?v=K0qKtn5VPUE
13,,내 방을 여행하는 법,BTS,1,1000558,,https://www.youtube.com/watch?v=YSuOwf24psk
14,12,When We Disco,J.Y. Park  & SUNMI,16,989863,-7.4%,https://www.youtube.com/watch?v=zrsBjYukE8s
15,14,취기를 빌려 (Slightly Tipsy),Sandeul,18,961107,-7.9%,https://www.youtube.com/watch?v=2COAu1l6hUQ
16,15,How You Like That,BLACKPINK,22,930554,-2.4%,https://www.youtube.com/watch?v=ioNng23DkIM
17,,내 손을 잡아 (Hold My Hand) (Live),IU,1,894367,,https://www.youtube.com/watch?v=3iM_06QeZi8
18,13,SO BAD,STAYC,3,869585,-18.5%,https://www.youtube.com/watch?v=gMe1c4UegBY
19,10,딩가딩가 (Dingga),MAMAMOO,6,865103,-25.3%,https://www.youtube.com/watch?v=dfl9KIX1WpU
20,,90's Love,NCT U,1,862238,,https://www.youtube.com/watch?v=A5H8zBb3iao
21,7,HAPPENING,AKMU,2,852175,-46%,https://www.youtube.com/watch?v=wgVyY-snqd4
22,,잠시 (Telepathy),BTS,1,804091,,https://www.youtube.com/watch?v=OGMeHzBLuM8
23,,병,BTS,1,770302,,https://www.youtube.com/watch?v=rSi4UIWbtM0
24,16,Savage Love (Laxed – Siren Beat)),"BTS, Jason Derulo & Jawsh 685",9,768104,-13.6%,https://www.youtube.com/watch?v=qvu4nPMyl3U
25,18,Make A Wish (Birthday Song),NCT U,7,754065,-5.1%,https://www.youtube.com/watch?v=tyrVtwE8Gv0
26,,Stay,BTS,1,700351,,https://www.youtube.com/watch?v=evBAiaYal1o
27,25,MORE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine & --",4,664172,9.6%,https://www.youtube.com/watch?v=3VTkBuxU4yk
28,22,힘든 건 사랑이 아니다,Im Chang-jung,6,619357,-3.9%,https://www.youtube.com/watch?v=JsCaNB_uSpc
29,,Freak,lIlBOI,1,602953,,https://www.youtube.com/watch?v=y46_4ZbzubI
30,19,ALIEN,LEE SUHYUN,6,577813,-24.4%,https://www.youtube.com/watch?v=GywDFkY3z-c
31,24,Pretty Savage,BLACKPINK,8,533788,-12.7%,https://www.youtube.com/watch?v=F8c8f2nK82w
32,26,METEOR,CHANGMO,51,523834,-13.3%,https://www.youtube.com/watch?v=abuTb3qMOsY
33,27,Ice Cream,BLACKPINK & Selena Gomez,13,519054,-9.4%,https://www.youtube.com/watch?v=vRXZj0DzXIA
34,23,곡예사 (Acrobat),Gwangil Jo,27,518584,-17.4%,https://www.youtube.com/watch?v=aKuS6T2SZoI
35,49,범 내려 온다 (Tiger is Coming) [Live],LEENALCHI,11,518260,29.6%,https://www.youtube.com/watch?v=t0BHhqw_Ecc
36,30,살짝 설렜어 (Nonstop),OH MY GIRL,31,513250,-3.2%,https://www.youtube.com/watch?v=iDjQSdN_ig8
37,31,에잇 (feat. SUGA of BTS),IU,30,512140,-3.2%,https://www.youtube.com/watch?v=TgOu00Mf3kI
38,40,ON,BTS,40,507499,15%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
39,35,WANNABE,ITZY,38,502113,1.1%,https://www.youtube.com/watch?v=fE2h3lGlOsk
40,28,눈누난나 (NUNU NANA),Jessi,17,478484,-12%,https://www.youtube.com/watch?v=tJQaUW36pMw
41,38,어떻게 지내 (I Need You),OVAN,38,471002,1%,https://www.youtube.com/watch?v=rVXeArOQIs4
42,29,Maria (마리아),Hwa Sa,22,461953,-13.7%,https://www.youtube.com/watch?v=tDukIfFzX18
43,,사라진 모든 것들에게(with ELLE),"CODE KUNST, Jung Hoon of Jannabi  & Simon Dominic",1,459810,,https://www.youtube.com/watch?v=XeR5lk8pPRU
44,56,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,6,426047,27.7%,https://www.youtube.com/watch?v=YJInKpVsBQA
45,34,덤디덤디 (DUMDi DUMDi),(G)I-DLE,17,419618,-15.8%,https://www.youtube.com/watch?v=HPQ5mqovXHo
46,47,숲의 아이 (Bon voyage),YooA,12,417176,-1.9%,https://www.youtube.com/watch?v=AAOOKbk-knM
47,41,DANCE MONKEY,Tones and I,52,413302,-4.8%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
