Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Next Level,aespa,16,4304473,10.8%,https://www.youtube.com/watch?v=4TWR90KJl84
2,2,Queendom,Red Velvet,3,2874316,-2.4%,https://www.youtube.com/watch?v=c9RzZpV460k
3,6,Butter,BTS,15,2702368,63.5%,https://www.youtube.com/watch?v=WMweEpGlu_U
4,4,Permission to Dance,BTS,8,2076730,-5.2%,https://www.youtube.com/watch?v=CuklIb9d3fI
5,7,STAY,The Kid Laroi & Justin Bieber,8,1949644,25.4%,https://www.youtube.com/watch?v=kTJczUoc26U
6,3,DUMB DUMB,JEON SOMI,5,1948623,-22.5%,https://www.youtube.com/watch?v=tg2uF3R_Ozo
7,5,Weekend,TAEYEON,9,1663876,0.6%,https://www.youtube.com/watch?v=RmuL-BPFi2Q
8,9,신호등,Lee Mujin,16,1384721,-2.5%,https://www.youtube.com/watch?v=9Ibf10h9U0c
9,8,낙하(NAKKA),AKMU & IU,6,1327195,-9.8%,https://www.youtube.com/watch?v=EtiPbWzUY9o
10,10,OHAYO MY NIGHT,디핵 (D-Hack) & Pateko,13,1324728,2.5%,https://www.youtube.com/watch?v=9Unrl9Yi55s
11,11,Dun Dun Dance,OH MY GIRL,17,1238498,-1.7%,https://www.youtube.com/watch?v=HzOjwL7IP_o
12,,은근히 낯가려요 (feat. RAVI),BOOKKU DDOONG,1,1159468,,https://www.youtube.com/watch?v=DtTejicVcv0
13,13,ASAP,STAYC,21,1124117,0.9%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
14,12,Celebrity,IU,32,1014701,-13.9%,https://www.youtube.com/watch?v=0-q1KafFCLU
15,14,Alcohol-Free,TWICE,13,994057,-9.5%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
16,15,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,26,988680,4.2%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
17,16,롤린 (Rollin'),Brave Girls,32,926738,-1.5%,https://www.youtube.com/watch?v=nw6mcjNlh8E
18,17,Black Mamba,aespa,42,887125,-1.8%,https://www.youtube.com/watch?v=ZeerrnuLi5E
19,18,Bad Habits,Ed Sheeran,10,881759,1.3%,https://www.youtube.com/watch?v=orJSJGHjBLI
20,30,소리꾼 (Thunderous),Stray Kids,2,871244,46.4%,https://www.youtube.com/watch?v=EaswWiwMVs8
21,21,사이렌 (Siren) [Remix],Homies,33,786970,-4.1%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
22,22,LILAC,IU,24,783049,-2.6%,https://www.youtube.com/watch?v=v7bnOxV4jAc
23,62,SPICY,CL,2,769509,145.1%,https://www.youtube.com/watch?v=QMwJtMJLXE0
24,27,비와 당신 (Rain and You),Lee Mujin,11,750551,5.9%,https://www.youtube.com/watch?v=sCmcSBsTxQc
25,26,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,24,746240,5.2%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
26,25,Lovesick Girls,BLACKPINK,48,733818,1.9%,https://www.youtube.com/watch?v=dyRsYk0LyA8
27,24,HAPPEN (헤픈 우연),Heize,16,691285,-4.8%,https://www.youtube.com/watch?v=AJPLgrfBiBo
28,34,다정히 내 이름을 부르면 (If you lovingly call my name),GyeongseoYeji & Gunho Jeon,11,680896,19%,https://www.youtube.com/watch?v=z127C11tKsg
29,23,좋아좋아 (I Like You),CHO JUNG SEOK,7,668291,-8.9%,https://www.youtube.com/watch?v=poiZpOXZXN8
30,38,자나깨나 (Feat. 조이 of Red Velvet) (feat. JOY),Crush,9,652553,27.4%,https://www.youtube.com/watch?v=29ycT6fA-Rs
31,35,WE GO,fromis_9,15,572740,3.8%,https://www.youtube.com/watch?v=HM6UpQZvbhY
32,29,비가 오는 날엔,Heize,4,562876,-8.1%,https://www.youtube.com/watch?v=1ulChc11CJM
33,19,Pose,Red Velvet,3,559166,-33.4%,https://www.youtube.com/watch?v=Xryh6KT9Cpg
34,33,안녕 (Hello),JOY,14,545585,-4.9%,https://www.youtube.com/watch?v=lNvBbh5jDcA
35,39,Panorama,IZ*ONE,39,540028,7%,https://www.youtube.com/watch?v=G8GaQdW2wHc
36,42,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,6,538667,14.2%,https://www.youtube.com/watch?v=UTHLKHL_whs
37,36,In the morning,ITZY,18,536664,-1.4%,https://www.youtube.com/watch?v=_ysomCGaZLw
38,28,Chi Mat Ba Ram,Brave Girls,11,536608,-14.4%,https://www.youtube.com/watch?v=e70PkoJhQYM
39,,Night Flower (야화),AHN YE EUN,1,529481,,https://www.youtube.com/watch?v=vYw6-1znJ8o
40,,Hate that… (feat. TAEYEON),KEY,1,505602,,https://www.youtube.com/watch?v=sz2Dmo1_BjM
41,31,Go Back (고백),10CM,4,496975,-15.1%,https://www.youtube.com/watch?v=X3PFu82F_S8
42,,Outsider,BTOB,1,475724,,https://www.youtube.com/watch?v=1-rD_vr_2xQ
43,41,Ah puh,IU,23,475559,-1.9%,https://www.youtube.com/watch?v=7n9D8ZeOQv0
44,40,상상더하기,LABOUM,29,472572,-3.1%,https://www.youtube.com/watch?v=bkGRmSF0rKE
45,43,Foolish Love,MSG WANNABE,10,466614,0.1%,https://www.youtube.com/watch?v=-UMAz1KMHuI
46,32,You can't sit with us,SUNMI,4,441856,-24%,https://www.youtube.com/watch?v=V0wInr_xATk
47,37,Rumors (feat. Cardi B),Lizzo,3,437265,-16.9%,https://www.youtube.com/watch?v=4P9XUrniiK4
48,20,LO$ER=LO♡ER,TOMORROW X TOGETHER,3,435293,-47.5%,https://www.youtube.com/watch?v=JzODRUBBXpc
49,47,멜로디,ASH ISLAND,27,419132,-3.4%,https://www.youtube.com/watch?v=NB8LX6A5BBM
50,46,Go Back,Jang Beom June,7,412230,-5.5%,https://www.youtube.com/watch?v=RFMmK9E-cbc
51,,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,28,405810,,https://www.youtube.com/watch?v=YJInKpVsBQA
52,,담아 갈게 (Scent of the day),Lee Mujin,1,387592,,https://www.youtube.com/watch?v=BcRngqfDAlo
53,54,In front of the Post Office in Autumn,Kim Dae-myung,10,376090,7.4%,https://www.youtube.com/watch?v=F5jrt858gYM
54,53,Off My Face,Justin Bieber,19,365826,4%,https://www.youtube.com/watch?v=AeZxDcjXbzE
55,,Don’t Go,"Skrillex, Justin Bieber & Don Toliver",1,365043,,https://www.youtube.com/watch?v=cds_rfHsJ3Y
56,,Pretty Savage,BLACKPINK,29,362301,,https://www.youtube.com/watch?v=F8c8f2nK82w
57,52,서울의 잠 못 이루는 밤 (feat. LEE SUHYUN),10CM,16,362076,1.8%,https://www.youtube.com/watch?v=_HFRhzwJjd8
58,67,사진을 보다가,Davichi,2,355422,23.7%,https://www.youtube.com/watch?v=Ri7Y9NZPZ8g
59,49,Superstar,Mido and Falasol,6,354811,-14.2%,https://www.youtube.com/watch?v=URRimPZBHf8
60,79,"You, Clouds, Rain (feat. Shin Yong Jae)",Heize,27,333980,25.8%,https://www.youtube.com/watch?v=afxLaQiLu-o
61,57,PTT (Paint The Town),Loona,10,332722,-2.7%,https://www.youtube.com/watch?v=_EEo-iE5u_A
62,,Wanna go to Maryang (마량에 가고싶다),Lim Young-woong,1,332310,,https://www.youtube.com/watch?v=A0R_aFLPATE
63,71,For you who’s like my galaxy (feat. Molly.D),GyeongseoYeji,6,319023,13.9%,https://www.youtube.com/watch?v=rQDiyAc_Mz8
