Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,롤린 (Rollin'),Brave Girls,9,7085813,25.2%,https://www.youtube.com/watch?v=nw6mcjNlh8E
2,1,On The Ground,ROSÉ,2,4208734,-33.6%,https://www.youtube.com/watch?v=CKZvWhCqx1s
3,3,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,3,3118960,-31%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
4,5,Celebrity,IU,9,2025026,-7.2%,https://www.youtube.com/watch?v=0-q1KafFCLU
5,4,Dynamite,BTS,31,1950878,-23.4%,https://www.youtube.com/watch?v=gdZLi9oWNZg
6,8,We Ride (운전만해),Brave Girls,3,1898878,41.3%,https://www.youtube.com/watch?v=4HjcypoChfQ
7,7,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,3,1675648,-1.2%,https://www.youtube.com/watch?v=5_Esp-dXcOA
8,,LILAC,IU,1,1498557,,https://www.youtube.com/watch?v=v7bnOxV4jAc
9,13,어떤X (What Type of X),Jessi,2,1435512,76.4%,https://www.youtube.com/watch?v=OEu1OWf8ezU
10,10,Lovesick Girls,BLACKPINK,25,1078415,-10.2%,https://www.youtube.com/watch?v=dyRsYk0LyA8
11,9,상상더하기,LABOUM,6,1038029,-13.8%,https://www.youtube.com/watch?v=bkGRmSF0rKE
12,6,Gone,ROSÉ,2,993118,-50%,https://www.youtube.com/watch?v=egvkZiONRwE
13,,사이렌 (Siren) [Remix],Homies,1,970948,,https://www.youtube.com/watch?v=vvTO3c-h0ZI
14,11,Panorama,IZ*ONE,16,958553,2.9%,https://www.youtube.com/watch?v=G8GaQdW2wHc
15,32,하이힐,Brave Girls,3,715194,46.9%,https://www.youtube.com/watch?v=gF2Pg5dbYN4
16,15,Don't Call Me,SHINee,5,705186,4.3%,https://www.youtube.com/watch?v=p6OoY6xneI0
17,,LUV,Apink,1,679864,,https://www.youtube.com/watch?v=8dVjSvLzD1I
18,16,How You Like That,Sup I'm Bianca,39,652931,0.8%,https://www.youtube.com/watch?v=ioNng23DkIM
19,12,꼬리 (TAIL),SUNMI,5,637682,-23.3%,https://www.youtube.com/watch?v=Aui0ZKIaXVc
20,25,멜로디,ASH ISLAND,4,599211,6.4%,https://www.youtube.com/watch?v=NB8LX6A5BBM
21,17,I CAN'T STOP ME,TWICE,22,591538,-1.7%,https://www.youtube.com/watch?v=CM4CkVFmTds
22,19,Black Mamba,aespa,19,589523,-0.3%,https://www.youtube.com/watch?v=ZeerrnuLi5E
