Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Dynamite,BTS,11,4163759,-20.9%,https://www.youtube.com/watch?v=gdZLi9oWNZg
2,2,Lovesick Girls,BLACKPINK,5,3101321,-33.7%,https://www.youtube.com/watch?v=dyRsYk0LyA8
3,3,I CAN'T STOP ME,TWICE,2,3006535,5.3%,https://www.youtube.com/watch?v=CM4CkVFmTds
4,,HERO,Lim Young-woong,1,2216871,,https://www.youtube.com/watch?v=4jXLHKMRA-E
5,,AYA,MAMAMOO,1,2058258,,https://www.youtube.com/watch?v=UoI9riNffEU
6,5,딩가딩가 (Dingga),MAMAMOO,3,1676515,-13.5%,https://www.youtube.com/watch?v=dfl9KIX1WpU
7,4,ALIEN,LEE SUHYUN,3,1625097,-26.4%,https://www.youtube.com/watch?v=GywDFkY3z-c
8,7,Savage Love (Laxed – Siren Beat)),"BTS, Jason Derulo & Jawsh 685",6,1179674,-24.3%,https://www.youtube.com/watch?v=qvu4nPMyl3U
9,9,잠이 오질 않네요,Jang Beom June,2,1172584,-6.2%,https://www.youtube.com/watch?v=K0qKtn5VPUE
10,6,테스형!,Na Hoon-a,6,1172310,-26.9%,https://www.youtube.com/watch?v=MRrXRlVd0P0
11,13,취기를 빌려 (Slightly Tipsy),Sandeul,15,1104050,-3%,https://www.youtube.com/watch?v=2COAu1l6hUQ
12,12,How You Like That,BLACKPINK,19,1033606,-11%,https://www.youtube.com/watch?v=ioNng23DkIM
13,8,Make A Wish (Birthday Song),NCT U,4,1004669,-20.7%,https://www.youtube.com/watch?v=tyrVtwE8Gv0
14,,Love poem,IU,27,947545,,https://www.youtube.com/watch?v=kcx0a2OAhN0
15,15,When We Disco,J.Y. Park  & SUNMI,13,916079,-4.5%,https://www.youtube.com/watch?v=zrsBjYukE8s
16,14,Pretty Savage,BLACKPINK,5,871958,-17.5%,https://www.youtube.com/watch?v=F8c8f2nK82w
17,,MORE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine & --",1,843485,,https://www.youtube.com/watch?v=3VTkBuxU4yk
18,16,눈누난나 (NUNU NANA),Jessi,14,782475,-15.3%,https://www.youtube.com/watch?v=tJQaUW36pMw
19,17,힘든 건 사랑이 아니다,Im Chang-jung,3,720255,-19.9%,https://www.youtube.com/watch?v=JsCaNB_uSpc
20,54,"POP/STARS (feat. Madison Beer, (G)I-DLE & Jaira Burns)",K/DA,27,708225,121.3%,https://www.youtube.com/watch?v=UOxkGD8qRB4
21,18,Ice Cream,BLACKPINK & Selena Gomez,10,704917,-17.4%,https://www.youtube.com/watch?v=vRXZj0DzXIA
